time,p_tank,p_inj,p_comb
4142.9025,770.2962266666667,6.622585,-0.46528699999999995
4142.905,770.2962266666667,6.625216666666668,-0.4800246666666666
4142.9075,770.304122,6.635743333333334,-0.4800246666666666
4142.91,770.2935949999999,6.651533333333334,-0.5052893333333333
4142.9125,770.2909633333334,6.704167666666667,-0.5979259999999998
4142.915,770.2988586666668,6.701536000000001,-0.5958206666666666
4142.9175,770.3120173333334,6.685745666666667,-0.5979259999999998
4142.92,770.2646463333334,6.714694333333333,-0.7074056666666666
4142.9225,770.2857000000001,6.722589666666666,-0.6168746666666666
4142.925,770.3146490000001,6.677850666666667,-0.5537133333333332
4142.9275,770.3041223333336,6.696272666666667,-0.5726616666666665
4142.93,770.2620150000002,6.72259,-0.6379279999999999
4142.9325,770.2935956666669,6.704168,-0.5705559999999998
4142.935,770.3093860000004,6.656797333333333,-0.5389753333333331
4142.9375,770.2672786666669,6.696273,-0.6316116666666665
4142.94,770.2646470000004,6.693641333333333,-0.6337169999999998
4142.9425,770.304122666667,6.648902333333333,-0.5368696666666665
4142.945,770.296227666667,6.625217000000001,-0.5326589999999997
4142.9475,770.259383666667,6.683114666666667,-0.6400329999999997
4142.95,770.2883323333338,6.664692666666668,-0.5789773333333331
4142.9525,770.3120176666671,6.643639000000002,-0.5600286666666664
4142.955,770.2725420000005,6.672588000000002,-0.6652973333333331
4142.9575,770.2620153333338,6.704168333333336,-0.6926669999999997
4142.96,770.304122666667,6.667324333333336,-0.5621339999999997
4142.9625,770.2988590000004,6.612058333333335,-0.4758136666666664
4142.965,770.2778050000005,6.662061000000002,-0.5495016666666664
4142.9675,770.2909636666674,6.641007333333335,-0.5179209999999997
4142.97,770.3067540000008,6.617322000000002,-0.48634033333333304
4142.9725,770.2778050000009,6.638376000000003,-0.5242369999999997
4142.975,770.2804370000009,6.601532000000002,-0.4568653333333331
4142.9775,770.3120176666675,6.593636666666669,-0.3873883333333331
4142.98,770.2962273333342,6.585741666666668,-0.4147583333333332
4142.9825,770.2804370000009,6.591005333333336,-0.44423366666666647
4142.985,770.2857003333341,6.575215333333335,-0.4821303333333331
4142.9875,770.2909636666674,6.575215333333335,-0.4800246666666665
4142.99,770.2883320000005,6.5673203333333365,-0.4884459999999998
4142.9925,770.2830686666673,6.559425333333337,-0.48634066666666664
4142.995,770.3014906666673,6.556793666666672,-0.44423299999999993
4142.9975,770.2988590000006,6.556793666666672,-0.4905513333333333
4143.0,770.2935956666672,6.541003333333339,-0.48212999999999995
4143.0025,770.2804370000005,6.543635000000006,-0.4737086666666665
4143.005,770.2883320000004,6.554161666666672,-0.46949799999999986
4143.0075,770.298858666667,6.527844666666671,-0.44423333333333315
4143.01,770.2909633333336,6.533108000000007,-0.45054966666666646
4143.0125,770.2830680000002,6.556793666666674,-0.4779196666666664
4143.015,770.3041216666667,6.551530000000006,-0.4484443333333331
4143.0175,770.3067533333332,6.546266333333339,-0.4716036666666664
4143.02,770.2778043333332,6.572583666666672,-0.5389753333333331
4143.0225,770.2856993333332,6.569952000000006,-0.538975333333333
4143.025,770.2962263333333,6.6041643333333395,-0.6252956666666662
4143.0275,770.2725409999999,6.619954666666672,-0.6505603333333329
4143.03,770.2804359999999,6.6304813333333374,-0.6400333333333328
4143.0325,770.2778043333332,6.6094276666666705,-0.5937149999999994
4143.035,770.2699093333334,6.609427666666672,-0.6337169999999994
4143.0375,770.2646459999999,6.6567986666666705,-0.749512666666666
4143.04,770.2699096666663,6.625218000000005,-0.7052999999999994
4143.0425,770.2751729999997,6.630481333333339,-0.7074053333333328
4143.045,770.2699096666663,6.63837633333334,-0.7242483333333329
4143.0475,770.2830683333331,6.633112666666673,-0.6737196666666663
4143.05,770.2883316666664,6.64100766666667,-0.6779303333333329
4143.0525,770.2883316666664,6.648903000000003,-0.7095106666666663
4143.055,770.2856999999997,6.646271333333336,-0.7158266666666662
4143.0575,770.2856999999993,6.656798000000004,-0.7179319999999996
4143.06,770.2856999999993,6.6515343333333385,-0.6421383333333329
4143.0625,770.2856999999997,6.646271000000003,-0.6421383333333329
4143.065,770.2751729999999,6.638375666666671,-0.6674029999999995
4143.0675,770.2830679999996,6.643639000000004,-0.6674029999999995
4143.07,770.2856996666665,6.627848666666669,-0.6421386666666661
4143.0725,770.2672776666666,6.614690000000001,-0.6547706666666661
4143.075,770.2620139999999,6.635743666666667,-0.6716136666666661
4143.0775,770.2856993333332,6.619953333333332,-0.6505596666666662
4143.08,770.288331333333,6.601531333333335,-0.6589809999999995
4143.0825,770.2725413333329,6.630480000000002,-0.6947723333333329
4143.085,770.2830683333331,6.614689666666669,-0.6947723333333329
4143.0875,770.2804366666663,6.559423666666671,-0.6126626666666662
4143.09,770.2593829999995,6.596267666666671,-0.6589809999999995
4143.0925,770.2514879999995,6.598899333333338,-0.6337163333333329
4143.095,770.2804369999998,6.583109000000004,-0.5726606666666662
4143.0975,770.2672786666662,6.588372666666669,-0.5537123333333329
4143.1,770.2541199999997,6.548897000000003,-0.45475966666666634
4143.1025,770.2751736666665,6.538370000000001,-0.40844133333333305
4143.105,770.2646469999997,6.527843333333336,-0.4105466666666665
4143.1075,770.264647,6.551529000000001,-0.4484436666666665
4143.11,770.2857006666668,6.548896999999999,-0.4884456666666665
4143.1125,770.290964,6.535738333333336,-0.4694973333333332
4143.115,770.2804370000002,6.559423666666669,-0.5305529999999999
4143.1175,770.2699100000003,6.556792,-0.5305529999999999
4143.12,770.2962270000004,6.538369999999998,-0.4863403333333333
4143.1225,770.2830683333334,6.527843333333332,-0.5747656666666666
