time,thrust
6223.03,2470.384185699996
6223.04,2485.119818299997
6223.05,2499.3558346999985
6223.06,2420.0031685999943
6223.07,2448.5076966999914
6223.08,2462.116146299994
6223.09,2447.719684099994
6223.1,2403.062928599998
6223.11,2472.100347300002
6223.12,2539.836935900006
6223.13,2596.391056900006
6223.14,2608.0203357000078
6223.15,2619.0454038000084
6223.16,2737.0127185000106
6223.17,2726.9462636000126
6223.18,2789.028658700013
6223.19,2820.311540500011
6223.2,2874.523964300007
6223.21,2849.499486700003
6223.22,2824.926897700003
6223.23,2835.007569300005
6223.24,2838.5972916000055
6223.25,2797.6571934000067
6223.26,2774.762177700008
6223.27,2768.103674300009
6223.28,2654.7060203000087
6223.29,2625.3860617000087
6223.3,2639.22908720001
6223.31,2621.6592494000097
6223.32,2582.013888500008
6223.33,2568.8197548000026
6223.34,2547.362659
6223.35,2601.2816090999986
6223.36,2631.3256050999976
6223.37,2609.253128399997
6223.38,2668.304315199994
6223.39,2679.0734822999975
6223.4,2674.196131099999
6223.41,2726.4568021000014
6223.42,2802.867622200004
6223.43,2826.853263500007
6223.44,2828.9502301000057
6223.45,2783.0261553000078
6223.46,2792.0598669000087
6223.47,2891.436786300008
6223.48,2969.3200527000126
6223.49,2859.7781768000104
6223.5,2869.485151700006
6223.51,2863.404456500005
6223.52,2862.9393666000046
6223.53,2807.1438092000026
6223.54,2771.4121088000015
6223.55,2756.2662222000013
6223.56,2780.186872800003
6223.57,2789.4602376000025
6223.58,2696.3092270000025
6223.59,2807.2890228000006
6223.6,2806.0521680000006
6223.61,2768.1483555999994
6223.62,2812.548194699996
6223.63,2924.567842199997
6223.64,2972.9625801999996
6223.65,3008.567345599993
6223.66,2965.145413999993
6223.67,2938.726682199992
6223.68,2961.8329177999867
6223.69,2907.812419699994
6223.7,2894.397926699993
6223.71,2883.984177599993
6223.72,2805.6886262999965
6223.73,2783.9959390999925
6223.74,2772.100604499993
6223.75,2773.448146699998
6223.76,2849.7868676999933
6223.77,2870.4447805999894
6223.78,2830.4988374999957
6223.79,2799.591683299991
6223.8,2793.9923256999928
6223.81,2804.391857999994
6223.82,2827.372173999995
6223.83,2806.7416791000055
6223.84,2893.209814700007
6223.85,2913.276718100009
6223.86,2863.8868095000157
6223.87,2848.2666937000236
6223.88,2951.8659796000225
6223.89,3031.2277851000194
6223.9,3022.1656402000226
6223.91,3029.166360500024
6223.92,3018.1646484000257
6223.93,2989.0193523000225
6223.94,2892.0785698000227
6223.95,2893.50735040002
6223.96,2920.93445410002
6223.97,2909.9825005000225
6223.98,2912.0083835000173
6223.99,2981.1250097000157
6224.0,3004.1114186000195
6224.01,3055.340361700021
6224.02,3091.651901300019
6224.03,3128.505707300012
6224.04,3162.9670420000098
6224.05,3140.4822803000106
6224.06,3116.6215430000098
6224.07,3108.2661722999997
6224.08,3086.4800609000026
6224.09,2992.378560800012
6224.1,2967.5074207000084
6224.11,2917.120310600009
6224.12,2908.806574500003
6224.13,2905.664678800013
6224.14,2858.4590681000145
6224.15,2851.2887627000105
6224.16,2893.7581739000043
6224.17,572.2527319000103
6224.18,-6492.817454999988
