time,mass
4142.9025,69.97666166666667
4142.905,69.978455
4142.9075,69.97755833333333
4142.91,69.98069666666667
4142.9125,69.98697366666667
4142.915,69.98069666666669
4142.9175,69.97890333333335
4142.92,69.97980000000001
4142.9225,69.97935166666667
4142.925,69.981145
4142.9275,69.97397133333334
4142.93,69.97621333333335
4142.9325,69.97711000000002
4142.935,69.97442000000001
4142.9375,69.97576500000001
4142.94,69.97531666666669
4142.9425,69.98069700000002
4142.945,69.97262666666668
4142.9475,69.9739716666667
4142.95,69.9739716666667
4142.9525,69.97173000000002
4142.955,69.97217833333337
4142.9575,69.97217833333337
4142.96,69.97711033333334
4142.9625,69.97890366666668
4142.965,69.978007
4142.9675,69.97666200000002
4142.97,69.97397200000002
4142.9725,69.97755900000001
4142.975,69.97442033333337
4142.9775,69.97442033333337
4142.98,69.97307533333337
4142.9825,69.9721786666667
4142.985,69.97083366666669
4142.9875,69.96366000000002
4142.99,69.96814366666668
4142.9925,69.96904033333334
4142.995,69.968592
4142.9975,69.967247
4143.0,69.965902
4143.0025,69.97262733333334
4143.005,69.97083366666668
4143.0075,69.972627
4143.01,69.973972
4143.0125,69.97307533333334
4143.015,69.97307533333333
4143.0175,69.97486866666665
4143.02,69.98024899999999
4143.0225,69.97935233333331
4143.025,69.98024899999999
4143.0275,69.98024899999999
4143.03,69.97800733333331
4143.0325,69.97845566666665
4143.035,69.97486866666667
4143.0375,69.97352366666668
4143.04,69.97307533333334
4143.0425,69.97621366666668
4143.045,69.97800700000002
4143.0475,69.97128166666668
4143.05,69.97442033333333
4143.0525,69.97486866666665
4143.055,69.97486866666665
4143.0575,69.97486866666665
4143.06,69.97352366666664
4143.0625,69.98249066666664
4143.065,69.9784553333333
4143.0675,69.97755866666664
4143.07,69.97711033333329
4143.0725,69.97755866666664
4143.075,69.97935199999996
4143.0775,69.97486833333329
4143.08,69.9784553333333
4143.0825,69.97800699999998
4143.085,69.97755866666664
4143.0875,69.9784553333333
4143.09,69.97890366666664
4143.0925,69.97666199999998
4143.095,69.97172999999997
4143.0975,69.97172999999997
4143.1,69.97128166666661
4143.1025,69.97262666666663
4143.105,69.97352333333332
4143.1075,69.97531666666664
4143.11,69.97890366666664
4143.1125,69.9798003333333
4143.115,69.98024866666665
4143.1175,69.97890366666664
4143.12,69.97711033333329
4143.1225,69.98473233333328
4143.125,69.98249033333329
4143.1275,69.98473199999998
4143.13,69.98428366666667
4143.1325,69.9842836666667
4143.135,69.98518033333336
4143.1375,69.98249033333337
4143.14,69.9878706666667
4143.1425,69.98652566666672
