,"Time      (s) efficiency_9,700e-01","Thrust    (N) efficiency_9,700e-01"
0,0.0,3724.631514679928
1,0.001,3724.5426915336607
2,0.002,3724.467872905232
3,0.003,3724.384822489553
4,0.004,3724.300750170138
5,0.005,3724.2153765504
6,0.006,3724.129459941497
7,0.007,3724.043213430768
8,0.008,3723.9567954329664
9,0.009,3723.870282425557
10,0.01,3723.783717869363
11,0.011,3723.697124866901
12,0.012,3723.610516029275
13,0.013,3723.523898167372
14,0.014,3723.437274975306
15,0.015,3723.3506484533527
16,0.016,3723.264019685349
17,0.017,3723.177389258504
18,0.018,3723.090757491029
19,0.019,3723.004124555432
20,0.02,3722.917490545256
21,0.021,3722.830855511312
22,0.022,3722.744219481272
23,0.023,3722.6575824702304
24,0.024,3722.5709444865
25,0.025,3722.484305534716
26,0.026,3722.397665617517
27,0.027,3722.311024736466
28,0.028,3722.224382892524
29,0.029,3722.1377400863703
30,0.03,3722.051096318468
31,0.031,3721.964451589231
32,0.032,3721.877805898981
33,0.033,3721.791159248049
34,0.034,3721.704511636728
35,0.035,3721.6178630652994
36,0.036,3721.531213534072
37,0.037,3721.444563043329
38,0.038,3721.357911593337
39,0.039,3721.271259184389
40,0.04,3721.184605816761
41,0.041,3721.097951490748
42,0.042,3721.011296206616
43,0.043,3720.9246399646654
44,0.044,3720.837982765156
45,0.045,3720.75132460838
46,0.046,3720.664665494624
47,0.047,3720.578005424146
48,0.048,3720.4913443972514
49,0.049,3720.404682414215
50,0.05,3720.3180194753086
51,0.051,3720.2313555808223
52,0.052,3720.1446907310274
53,0.053,3720.0580249262175
54,0.054,3719.971358166644
55,0.055,3719.884690452626
56,0.056,3719.798021784417
57,0.057,3719.7113521623
58,0.058,3719.624681586552
59,0.059,3719.5380100574585
60,0.06,3719.4513375753
61,0.061,3719.3646641403498
62,0.062,3719.277989752888
63,0.063,3719.191314413189
64,0.064,3719.104638121533
65,0.065,3719.0179608782087
66,0.066,3718.931282683491
