,"Time      (s) at_1,000e-03","P comb (psia) at_1,000e-03","P crit (psia) at_1,000e-03"
0,0.0,478.4309162808887,484.14255978576057
1,0.001,478.4371419888483,484.12371690444064
2,0.002,478.43225188632704,484.0973720066879
3,0.003,478.4280904113005,484.0777905323795
4,0.004,478.4220749337942,484.0565651577597
5,0.005,478.4151849398138,484.0357415716871
6,0.006,478.4074596074984,484.01482198446286
7,0.007,478.3991088239357,483.9939275319658
8,0.008,478.3902549849622,483.9730287339151
9,0.009,478.38100545311295,483.9521327645653
10,0.01,478.3714425295412,483.93123787730906
11,0.011,478.3616319087149,483.910344496786
12,0.012,478.3516253752743,483.88945251914623
13,0.013,478.341463906757,483.86856196918455
14,0.014,478.3311798904164,483.8476728403818
15,0.015,478.3207989333156,483.82678513383854
16,0.016,478.31034127942127,483.8058988488023
17,0.017,478.2998229333442,483.7850139849724
18,0.018,478.2892565479869,483.7641305419368
19,0.019,478.27865212644457,483.743248519313
20,0.02,478.2680175769228,483.7223679167103
21,0.021,478.2573591514427,483.7014887337391
22,0.022,478.2466817926974,483.6806109700132
23,0.023,478.2359894082351,483.65973462514063
24,0.024,478.2252850872622,483.63885969873536
25,0.025,478.21457127201626,483.61798619041
26,0.026,478.2038498932618,483.5971140997741
27,0.027,478.1931224774242,483.576243426441
28,0.028,478.1823902312451,483.5553741700247
29,0.029,478.1716541087569,483.5345063301348
30,0.03,478.1609148642023,483.5136399063862
31,0.031,478.1501730938821,483.4927748983903
32,0.032,478.1394292692308,483.471911305761
33,0.033,478.12868376297246,483.4510491281125
34,0.034,478.1179368697954,483.4301883650552
35,0.035,478.1071888226948,483.40932901620704
36,0.036,478.0964398058965,483.388471081178
37,0.037,478.0856899650638,483.3676145595839
38,0.038,478.0749394153866,483.3467594510381
39,0.039,478.0641882479601,483.32590575515496
40,0.04,478.0534365348352,483.3050534715487
41,0.041,478.04268433299615,483.28420259983534
42,0.042,478.0319316875231,483.2633531396274
43,0.043,478.0211786340911,483.2425050905417
44,0.044,478.010425200936,483.221658452193
45,0.045,477.9996714104077,483.20081322419634
46,0.046,477.9889172802048,483.1799694061667
47,0.047,477.97816282435656,483.15912699772
48,0.048,477.9674080539862,483.13828599847193
49,0.049,477.95665297791817,483.11744640804073
50,0.05,477.9458976031677,483.0966082260391
51,0.051,477.93514193529927,483.0757714520849
52,0.052,477.92438597875673,483.0549360857953
53,0.053,477.9136297370829,483.034102126786
54,0.054,477.9028732131095,483.01326957467296
55,0.055,477.8921164091133,482.9924384290761
56,0.056,477.8813593269196,482.9716086896092
57,0.057,477.87060196800303,482.95078035589165
58,0.058,477.8598443335771,482.9299534275417
59,0.059,477.8490864246178,482.9091279041749
60,0.06,477.8383282419391,482.8883037854099
61,0.061,477.8275697862152,482.86748107086544
62,0.062,477.81681105800624,482.8466597601585
63,0.063,477.8060520577969,482.8258398529085
64,0.064,477.7952927859952,482.8050213487336
65,0.065,477.7845332429625,482.7842042472516
66,0.066,477.7737734290165,482.7633885480833
67,0.067,477.7630133444423,482.7425742508461
68,0.068,477.7522529894901,482.7217613551595
69,0.069,477.7414923643981,482.7009498606431
70,0.07,477.730731469384,482.6801397669163
71,0.071,477.7199703046543,482.65933107359945
72,0.072,477.7092088704079,482.6385237803119
73,0.073,477.69844716683366,482.6177178866732
74,0.074,477.6876851941045,482.5969133923054
75,0.075,477.6769229523984,482.5761102968257
76,0.076,477.66616044188606,482.5553085998578
77,0.077,477.6553976627373,482.5345083010199
