,"Time      (s) at_1,300e-03","Thrust    (N) at_1,300e-03","P comb (psia) at_1,300e-03","P crit (psia) at_1,300e-03"
0,0.0,4676.011979349835,368.0469759584236,484.14255978576057
1,0.001,4675.881873330204,368.047452489736,484.1187808464804
2,0.002,4675.781983010435,368.0462171021399,484.0985732212471
3,0.003,4675.672071592166,368.0429094242761,484.0774984440519
4,0.004,4675.562655517898,368.03829482878,484.0566364359419
5,0.005,4675.451703933844,368.0326802229693,484.0357244270044
6,0.006,4675.340095378663,368.0263497842585,484.0148263580316
7,0.007,4675.22789571613,368.01949549687714,483.9939266686417
8,0.008,4675.115292423904,368.01226066725246,483.97302914514273
9,0.009,4675.0023879612345,368.0047486991997,483.95213286556
10,0.01,4674.889265152099,367.9970350504544,483.9312380538035
11,0.011,4674.77598225395,367.9891745775213,483.9103446548871
12,0.012,4674.662582149594,367.9812072104053,483.8894526817115
13,0.013,4674.549095925062,367.9731620017596,483.86856213065016
14,0.014,4674.435546230314,367.965060092877,483.8476730021007
15,0.015,4674.321949540561,367.9569168672968,483.826785295482
16,0.016,4674.2083178464745,367.948743519022,483.8058990104511
17,0.017,4674.094659873336,367.94054819344,483.7850141466057
18,0.018,4673.980981970809,367.9323368175929,483.7641307035603
19,0.019,4673.867288759769,367.92411370431927,483.74324868092594
20,0.02,4673.753583603075,367.9158819918637,483.7223680783121
21,0.021,4673.639868948214,367.9076439637776,483.70148889532993
22,0.022,4673.526146576588,367.8994012817048,483.68061113159257
23,0.023,4673.41241778489,367.8911551547533,483.65973478670907
24,0.024,4673.298683517119,367.88290646274015,483.6388598602933
25,0.025,4673.184944460635,367.874655845884,483.6179863519554
26,0.026,4673.0712011160695,367.8664037700624,483.5971142613103
27,0.027,4672.957453848127,367.858150574288,483.5762435879657
28,0.028,4672.843702922677,367.84989650527086,483.5553743315377
29,0.029,4672.729948533601,367.8416417425488,483.5345064916364
30,0.03,4672.616190822469,367.8333864168019,483.51364006787696
31,0.031,4672.502429892734,367.8251306231415,483.4927750598716
32,0.032,4672.3886658201,367.81687443080335,483.4719114672298
33,0.033,4672.274898660176,367.80861789019633,483.4510492895704
34,0.034,4672.161128453838,367.800361038043,483.4301885265031
35,0.035,4672.04735523129,367.7921039010839,483.40932917764303
36,0.036,4671.933579014967,367.7838464988097,483.38847124260303
37,0.037,4671.819799821669,367.7755888454368,483.3676147209986
38,0.038,4671.706017664058,367.76733095134966,483.3467596124416
39,0.039,4671.59223255181,367.759072824127,483.32590591654736
40,0.04,4671.478444492437,367.7508144693249,483.3050536329301
41,0.041,4671.364653491844,367.74255589101074,483.2842027612057
42,0.042,4671.250859554784,367.7342970921817,483.2633533009872
43,0.043,4671.137062685188,367.7260380750527,483.24250525189103
44,0.044,4671.023262886346,367.7177788412623,483.2216586135309
45,0.045,4670.909460161146,367.7095193920436,483.2008133855233
46,0.046,4670.79565451211,367.70125972832193,483.1799695674836
47,0.047,4670.681845941542,367.69299985080266,483.15912715902687
48,0.048,4670.568034451563,367.6847397600338,483.13828615976735
49,0.049,4670.454220044204,367.6764794564495,483.1174465693246
50,0.05,4670.340402721371,367.6682189404009,483.0966083873122
51,0.051,4670.22658248491,367.65995821217217,483.0757716133479
52,0.052,4670.112759336607,367.65169727199816,483.05493624704656
53,0.053,4669.998933278249,367.6434361200936,483.0341022880269
54,0.054,4669.885104311552,367.6351747566389,483.0132697359034
55,0.055,4669.771272438236,367.62691318179526,482.9924385902952
56,0.056,4669.657437660018,367.6186513957315,482.971608850818
57,0.057,4669.543599978576,367.6103893985818,482.9507805170898
58,0.058,4669.429759395612,367.602127190493,482.92995358872855
59,0.059,4669.3159159127845,367.59386477159256,482.9091280653508
60,0.06,4669.202069531775,367.5856021420103,482.8883039465749
61,0.061,4669.08822025427,367.5773393018849,482.86748123202
62,0.062,4668.974368081922,367.56907625133306,482.8466599213028
63,0.063,4668.860513016385,367.5608129904769,482.8258400140416
64,0.064,4668.746655059342,367.5525495194429,482.8050215098559
65,0.065,4668.632794212447,367.5442858383549,482.78420440836345
66,0.066,4668.51893047736,367.53602194733446,482.7633887091834
67,0.067,4668.405063855746,367.5277578465012,482.7425744119355
68,0.068,4668.291194349248,367.5194935359759,482.7217615162377
69,0.069,4668.177321959549,367.5112290158814,482.7009500217116
70,0.07,4668.063446688278,367.5029642863373,482.6801399279748
71,0.071,4667.949568537103,367.4946993474639,482.6593312346465
72,0.072,4667.835687507682,367.4864341993874,482.6385239413478
73,0.073,4667.721803601662,367.4781688422213,482.61771804769865
74,0.074,4667.607916820685,367.46990327608495,482.5969135533188
75,0.075,4667.494027166417,367.4616375011005,482.57611045782863
76,0.076,4667.38013464051,367.45337151738886,482.5553087608503
77,0.077,4667.266239244615,367.4451053250738,482.53450846200224
78,0.078,4667.152340980357,367.43683892426736,482.5137095609054
79,0.079,4667.038439849414,367.4285723150922,482.4929120571831
80,0.08,4666.924535853403,367.4203054976665,482.4721159504539
81,0.081,4666.810628994,367.4120384721118,482.4513212403409
82,0.082,4666.696719272844,367.4037712385522,482.4305279264658
83,0.083,4666.582806691559,367.3955037971019,482.409736008448
84,0.084,4666.468891251803,367.3872361478764,482.3889454859123
85,0.085,4666.354972955227,367.3789682910042,482.3681563584788
86,0.086,4666.241051803458,367.37070022659753,482.34736862577074
87,0.087,4666.127127798153,367.3624319547815,482.3265822874104
88,0.088,4666.013200940926,367.3541634756698,482.3057973430189
89,0.089,4665.89927123345,367.3458947893846,482.2850137922212
90,0.09,4665.785338677335,367.337625896045,482.26423163463807
91,0.091,4665.671403274247,367.32935679576985,482.24345086989536
92,0.092,4665.557465025782,367.3210874886745,482.222671497612
93,0.093,4665.443523933611,367.3128179748816,482.2018935174148
94,0.094,4665.329579999368,367.3045482545087,482.1811169289272
95,0.095,4665.215633224672,367.2962783276764,482.1603417317712
96,0.096,4665.10168361116,367.288008194502,482.139567925572
97,0.097,4664.987731160476,367.2797378551052,482.118795509952
98,0.098,4664.873775874233,367.27146730960254,482.0980244845371
99,0.099,4664.759817754073,367.263196558109,482.0772548489514
100,0.1,4664.645856801631,367.2549256007517,482.0564866028189
101,0.101,4664.53189301852,367.2466544376406,482.0357197457636
102,0.102,4664.417926406392,367.23838306890286,482.0149542774124
103,0.103,4664.303956966867,367.2301114946529,481.99419019738895
104,0.104,4664.189984701548,367.2218397150047,481.9734275053172
105,0.105,4664.0760096120885,367.21356773008114,481.95266620082447
106,0.106,4663.9620317001145,367.20529554000046,481.9319062835371
107,0.107,4663.848050967234,367.19702314487927,481.9111477530779
108,0.108,4663.734067415082,367.1887505448384,481.8903906090747
109,0.109,4663.620081045282,367.1804777399912,481.8696348511534
110,0.11,4663.5060918594345,367.1722047304543,481.8488804789391
111,0.111,4663.39209985919,367.1639315163514,481.82812749205925
112,0.112,4663.278105046155,367.1556580977973,481.80737589013927
113,0.113,4663.164107421948,367.14738447490834,481.7866256728072
114,0.114,4663.050106988184,367.1391106478013,481.7658768396886
115,0.115,4662.936103746485,367.13083661659647,481.7451293904102
116,0.116,4662.822097698479,367.1225623814108,481.7243833246013
117,0.117,4662.708088845765,367.1142879423636,481.7036386418868
118,0.118,4662.594077189964,367.1060132995688,481.682895341895
119,0.119,4662.4800627327,367.09773845314766,481.6621534242543
120,0.12,4662.366045475576,367.089463403213,481.6414128885917
121,0.1210000000000001,4662.25202542021,367.0811881498855,481.620673734536
122,0.1220000000000001,4662.138002568204,367.07291269327936,481.5999359617135
123,0.1230000000000001,4662.023976921171,367.06463703351073,481.5791995697538
124,0.1240000000000001,4661.909948480733,367.056361170699,481.5584645582855
125,0.125,4661.795917248488,367.0480851049609,481.537730926936
126,0.126,4661.681883226062,367.03980883641736,481.5169986753368
127,0.127,4661.567846415048,367.0315323651814,481.496267803114
128,0.128,4661.453806817048,367.0232556913679,481.4755383098972
129,0.1290000000000001,4661.33976443368,367.01497881509454,481.4548101953167
130,0.1300000000000001,4661.2257192665365,367.006701736477,481.4340834590012
131,0.1310000000000001,4661.111671317244,366.9984244556376,481.4133581005801
132,0.1320000000000001,4660.997620587388,366.9901469726886,481.392634119684
133,0.1330000000000001,4660.883567078575,366.9818692877456,481.3719115159421
134,0.1340000000000001,4660.769510792404,366.97359140092686,481.3511902889837
135,0.1350000000000001,4660.655451730484,366.9653133123442,481.3304704384408
136,0.1360000000000001,4660.541389894415,366.9570350221216,481.3097519639424
137,0.1370000000000001,4660.427325285792,366.9487565303704,481.28903486512047
138,0.1380000000000001,4660.313257906209,366.9404778372095,481.2683191416032
139,0.1390000000000001,4660.199187757279,366.9321989427531,481.2476047930241
140,0.1400000000000001,4660.085114840584,366.9239198471155,481.22689181901256
141,0.1410000000000001,4659.971039157729,366.9156405504142,481.20618021920046
142,0.1420000000000001,4659.8569607103045,366.90736105276665,481.1854699932195
143,0.1430000000000001,4659.742879499914,366.8990813542873,481.1647611407002
144,0.1440000000000001,4659.628795528136,366.89080145509206,481.1440536612743
145,0.1450000000000001,4659.514708796576,366.8825213552965,481.1233475545745
146,0.1460000000000001,4659.400619306825,366.87424105501503,481.1026428202327
147,0.1470000000000001,4659.286527060473,366.8659605543674,481.08193945788025
148,0.1480000000000001,4659.172432059109,366.8576798534668,481.0612374671492
149,0.1490000000000001,4659.058334304324,366.84939895242826,481.0405368476732
150,0.1500000000000001,4658.944233797708,366.8411178513708,481.019837599084
151,0.1510000000000001,4658.830130540847,366.8328365504023,480.9991397210151
152,0.1520000000000001,4658.716024535339,366.82455504964827,480.9784432130992
153,0.1530000000000001,4658.601915782739,366.81627334921217,480.9577480749679
154,0.1540000000000001,4658.487804284673,366.8079914492161,480.9370543062578
155,0.1550000000000001,4658.373690042698,366.7997093497761,480.91636190659807
156,0.1560000000000001,4658.259573058412,366.7914270510047,480.89567087562574
157,0.1570000000000001,4658.145453333394,366.7831445530158,480.874981212973
158,0.1580000000000001,4658.031330869223,366.774861855927,480.8542929182744
159,0.1590000000000001,4657.917205667491,366.76657895985454,480.8336059911635
160,0.1600000000000001,4657.803077729767,366.7582958649109,480.8129204312744
161,0.1610000000000001,4657.688947057638,366.7500125712136,480.7922362382412
162,0.1620000000000001,4657.574813652685,366.7417290788737,480.7715534116996
163,0.1630000000000001,4657.460677516472,366.7334453880064,480.7508719512824
164,0.1640000000000001,4657.3465386506,366.7251614987269,480.73019185662736
165,0.1650000000000001,4657.232397056622,366.71687741114994,480.7095131273664
166,0.1660000000000001,4657.118252736141,366.7085931253933,480.6888357631368
167,0.1670000000000001,4657.004105690706,366.7003086415683,480.6681597635717
168,0.1680000000000001,4656.889955921906,366.6920239597888,480.6474851283094
169,0.1690000000000001,4656.7758034313065,366.6837390801661,480.6268118569833
170,0.1700000000000001,4656.66164822048,366.6754540028194,480.60613994922994
171,0.1710000000000001,4656.547490291008,366.66716872786265,480.58546940468494
172,0.1720000000000001,4656.4333296444565,366.6588832554077,480.5648002229849
173,0.1730000000000001,4656.319166282396,366.6505975855714,480.5441324037658
174,0.1740000000000001,4656.205000206395,366.6423117184645,480.5234659466643
175,0.1750000000000001,4656.090831418024,366.6340256542039,480.5028008513167
176,0.1760000000000001,4655.976659918847,366.62573939290303,480.4821371173596
177,0.1770000000000001,4655.862485710441,366.617452934675,480.4614747444302
178,0.1780000000000001,4655.748308794361,366.609166279634,480.4408137321651
179,0.1790000000000001,4655.6341291721865,366.6008794278948,480.42015408020274
180,0.1800000000000001,4655.519946845464,366.5925923795695,480.399495788178
181,0.1810000000000001,4655.405761815766,366.5843051347708,480.3788388557305
182,0.1820000000000001,4655.291574084661,366.5760176936146,480.3581832824975
183,0.1830000000000001,4655.177383653706,366.5677300562137,480.3375290681157
184,0.1840000000000001,4655.063190524457,366.55944222267925,480.3168762122249
185,0.1850000000000001,4654.948994698489,366.55115419313006,480.2962247144616
186,0.1860000000000001,4654.834796177353,366.5428659676763,480.2755745744653
187,0.1870000000000001,4654.72059496261,366.5345775464289,480.2549257918735
188,0.1880000000000001,4654.606391055809,366.5262889295028,480.2342783663247
189,0.1890000000000001,4654.492184458524,366.518000117012,480.2136322974593
190,0.1900000000000001,4654.377975172297,366.5097111090688,480.1929875849131
191,0.1910000000000001,4654.263763198698,366.50142190578737,480.1723442283288
192,0.1920000000000001,4654.149548539273,366.4931325072811,480.1517022273432
193,0.1930000000000001,4654.035331195581,366.4848429136656,480.1310615815957
194,0.1940000000000001,4653.921111169171,366.476553125044,480.110422290728
195,0.1950000000000001,4653.806888461594,366.4682631415397,480.0897843543761
196,0.1960000000000001,4653.692663074417,366.4599729632613,480.069147772183
197,0.1970000000000001,4653.578435009166,366.4516825903172,480.0485125437872
198,0.1980000000000001,4653.464204267412,366.443392022824,480.02787866882994
199,0.1990000000000001,4653.349970850697,366.4351012608955,480.0072461469502
200,0.2000000000000001,4653.235734760571,366.42681030464325,479.9866149777896
201,0.2010000000000001,4653.121495998583,366.4185191541805,479.9659851609871
202,0.2020000000000001,4653.007254566278,366.41022780961816,479.9453566961856
203,0.2030000000000001,4652.893010465203,366.4019362710677,479.924729583024
204,0.2040000000000001,4652.7787636969015,366.3936445386437,479.9041038211443
205,0.2050000000000001,4652.664514262934,366.38535261245954,479.8834794101887
206,0.2060000000000001,4652.550262164819,366.3770604926264,479.86285634979566
207,0.2070000000000001,4652.436007404118,366.3687681792505,479.84223463961047
208,0.2080000000000001,4652.321749982366,366.3604756724528,479.8216142792718
209,0.2090000000000001,4652.207489901103,366.3521829723391,479.8009952684228
210,0.2100000000000001,4652.093227161873,366.3438900790201,479.78037760670566
211,0.2110000000000001,4651.978961766227,366.33559699261633,479.7597612937615
212,0.2120000000000001,4651.864693715689,366.32730371323527,479.7391463292328
213,0.2130000000000001,4651.750423011808,366.31901024099176,479.7185327127629
214,0.2140000000000001,4651.636149656099,366.3107165759852,479.6979204439932
215,0.2150000000000001,4651.521873650141,366.3024227183413,479.677309522568
216,0.2160000000000001,4651.407594995431,366.2941286681658,479.65669994812856
217,0.2170000000000001,4651.293313693523,366.2858344255717,479.6360917203184
218,0.2180000000000001,4651.179029745941,366.2775399906657,479.6154848387813
219,0.2190000000000001,4651.06474315424,366.2692453635662,479.5948793031613
220,0.2200000000000001,4650.950453919913,366.26095054437775,479.5742751130977
221,0.2210000000000001,4650.836162044546,366.252655533219,479.55367226824086
222,0.2220000000000001,4650.721867529623,366.244360330195,479.5330707682286
223,0.2230000000000001,4650.607570376707,366.23606493542087,479.5124706127087
224,0.2240000000000001,4650.493270587302,366.2277693490056,479.4918718013224
225,0.2250000000000001,4650.378968162963,366.21947357106416,479.4712743337165
226,0.2260000000000001,4650.264663105202,366.2111776017015,479.4506782095338
227,0.2270000000000001,4650.150355415549,366.2028814410343,479.43008342842
228,0.2280000000000001,4650.036045095531,366.19458508917137,479.40948999001824
229,0.2290000000000001,4649.921732146677,366.18628854622006,479.388897893975
230,0.2300000000000001,4649.807416570512,366.17799181229617,479.3683071399344
231,0.2310000000000001,4649.693098368551,366.1696948875068,479.3477177275415
232,0.2320000000000001,4649.578777542334,366.16139777196815,479.3271296564426
233,0.2330000000000001,4649.4644540933705,366.1531004657874,479.3065429262817
234,0.2340000000000001,4649.350128023194,366.1448029690727,479.2859575367061
235,0.2350000000000001,4649.235799333313,366.1365052819373,479.26537348735945
236,0.2360000000000001,4649.121468025251,366.12820740449166,479.2447907778891
237,0.2370000000000001,4649.007134100538,366.1199093368461,479.2242094079412
238,0.2380000000000001,4648.892797560686,366.11161107910885,479.2036293771623
239,0.2390000000000001,4648.778458407213,366.1033126313955,479.1830506851969
240,0.2400000000000001,4648.664116641636,366.0950139938113,479.1624733316936
241,0.2410000000000002,4648.5497722654745,366.0867151664708,479.141897316298
242,0.2420000000000002,4648.435425280242,366.0784161494782,479.12132263865686
243,0.2430000000000002,4648.321075687447,366.0701169429458,479.1007492984171
244,0.2440000000000002,4648.206723488608,366.06181754698207,479.08017729522624
245,0.2450000000000002,4648.092368685259,366.05351796170567,479.059606628732
246,0.2460000000000002,4647.978011278885,366.0452181872187,479.0390372985808
247,0.2470000000000002,4647.863651271013,366.0369182236339,479.0184693044204
248,0.2480000000000002,4647.749288663135,366.0286180710541,478.9979026458989
249,0.2490000000000002,4647.634923456799,366.0203177296017,478.9773373226645
250,0.2500000000000001,4647.520555653475,366.01201719937865,478.9567733343633
251,0.2510000000000001,4647.4061852546965,366.0037164804913,478.9362106806464
252,0.2520000000000001,4647.291812261952,365.995415573053,478.9156493611597
253,0.2530000000000001,4647.177436676771,365.9871144771767,478.8950893755524
254,0.2540000000000001,4647.063058500648,365.9788131929667,478.8745307234732
255,0.2550000000000001,4646.948677735094,365.9705117205372,478.8539734045714
256,0.2560000000000001,4646.834294381606,365.96221005999337,478.8334174184951
257,0.2570000000000002,4646.7199084417,365.9539082114473,478.81286276489374
258,0.2580000000000002,4646.60551991687,365.9456061750084,478.7923094434161
259,0.2590000000000002,4646.491128808626,365.9373039507841,478.771757453712
260,0.2600000000000002,4646.376735118459,365.929001538885,478.7512067954303
261,0.2610000000000002,4646.2623388478805,365.92069893941766,478.7306574682216
262,0.2620000000000002,4646.147939998388,365.912396152493,478.7101094717348
263,0.2630000000000002,4646.033538571474,365.9040931782166,478.6895628056202
264,0.2640000000000002,4645.919134568648,365.89579001670216,478.6690174695276
265,0.2650000000000002,4645.804727991411,365.8874866680601,478.64847346310825
266,0.2660000000000002,4645.69031884125,365.8791831323954,478.6279307860111
267,0.2670000000000002,4645.575907119655,365.8708794098136,478.60738943788687
268,0.2680000000000002,4645.461492828145,365.8625755004279,478.5868494183882
269,0.2690000000000002,4645.347075968196,365.8542714043476,478.5663107271626
270,0.2700000000000002,4645.232656541316,365.8459671216798,478.5457733638646
271,0.2710000000000002,4645.118234548973,365.8376626525285,478.52523732814194
272,0.2720000000000002,4645.003809992692,365.8293579970076,478.5047026196492
273,0.2730000000000002,4644.8893828739565,365.8210531552306,478.48416923803495
274,0.2740000000000002,4644.774953194236,365.812748127296,478.4636371829512
275,0.2750000000000002,4644.660520955052,365.8044429133168,478.4431064540512
276,0.2760000000000002,4644.546086157883,365.79613751340327,478.4225770509868
277,0.2770000000000002,4644.4316488042,365.78783192765616,478.40204897340783
278,0.2780000000000002,4644.317208895513,365.77952615618926,478.3815222209681
279,0.2790000000000002,4644.202766433305,365.771220199111,478.3609967933194
280,0.2800000000000002,4644.088321419059,365.762914056528,478.3404726901141
281,0.2810000000000002,4643.97387385426,365.7546077285463,478.3199499110056
282,0.2820000000000002,4643.859423740392,365.7463012152757,478.2994284556452
283,0.2830000000000002,4643.744971078949,365.73799451682186,478.27890832368666
284,0.2840000000000002,4643.630515871407,365.7296876332992,478.25838951478335
285,0.2850000000000002,4643.516058119253,365.7213805648089,478.2378720285876
286,0.2860000000000002,4643.401597823957,365.7130733114603,478.21735586475216
287,0.2870000000000002,4643.287134987018,365.7047658733644,478.1968410229322
288,0.2880000000000002,4643.172669609909,365.6964582506224,478.1763275027806
289,0.2890000000000002,4643.058201694119,365.6881504433485,478.15581530395184
290,0.2900000000000002,4642.943731241093,365.6798424516446,478.1353044260969
291,0.2910000000000002,4642.829258252358,365.6715342756215,478.114794868873
292,0.2920000000000002,4642.714782729354,365.6632259153855,478.0942866319325
293,0.2930000000000002,4642.600304673583,365.6549173710478,478.0737797149308
294,0.2940000000000002,4642.485824086511,365.6466086427102,478.0532741175227
295,0.2950000000000002,4642.371340969604,365.6382997304831,478.0327698393605
296,0.2960000000000002,4642.256855324346,365.6299906344679,478.0122668801015
297,0.2970000000000002,4642.142367152213,365.6216813547791,477.99176523939934
298,0.2980000000000002,4642.027876454672,365.6133718915198,477.9712649169092
299,0.2990000000000002,4641.913383233199,365.6050622447986,477.95076591228576
300,0.3000000000000002,4641.798887489258,365.59675241471854,477.9302682251856
301,0.3010000000000002,4641.684389224347,365.5884424013928,477.9097718552644
302,0.3020000000000002,4641.569888439895,365.58013220492177,477.88927680217546
303,0.3030000000000002,4641.455385137399,365.5718218254163,477.8687830655768
304,0.3040000000000002,4641.340879318327,365.5635112629852,477.84829064512337
305,0.3050000000000002,4641.226370984141,365.5552005177327,477.8277995404712
306,0.3060000000000002,4641.111860136299,365.5468895897616,477.8073097512768
307,0.3070000000000002,4640.99734677627,365.5385784791788,477.786821277196
308,0.3080000000000002,4640.882830905541,365.5302671860966,477.7663341178859
309,0.3090000000000002,4640.768312525547,365.52195571061975,477.7458482730018
310,0.3100000000000002,4640.653791637788,365.5136440528556,477.7253637422032
311,0.3110000000000002,4640.539268243692,365.5053322129045,477.7048805251449
312,0.3120000000000002,4640.424742344731,365.4970201908751,477.6843986214839
313,0.3130000000000002,4640.310213942387,365.48870798688006,477.66391803087816
314,0.3140000000000002,4640.195683038093,365.4803956010187,477.6434387529838
315,0.3150000000000002,4640.081149633334,365.4720830334002,477.6229607874609
316,0.3160000000000002,4639.966613729554,365.46377028413326,477.602484133964
317,0.3170000000000002,4639.852075328213,365.45545735331376,477.5820087921529
318,0.3180000000000002,4639.737534430767,365.4471442410536,477.56153476168487
319,0.3190000000000002,4639.6229910386855,365.4388309474606,477.54106204221824
320,0.3200000000000002,4639.5084451534085,365.4305174726383,477.52059063340937
321,0.3210000000000002,4639.393896776413,365.4222038166952,477.50012053491946
322,0.3220000000000002,4639.279345909138,365.41388997973553,477.4796517464051
323,0.3230000000000002,4639.164792553038,365.4055759618613,477.45918426752615
324,0.3240000000000002,4639.0502367095705,365.3972617631803,477.43871809793984
325,0.3250000000000002,4638.9356783801895,365.3889473838005,477.4182532373061
326,0.3260000000000002,4638.821117566359,365.3806328238278,477.3977896852846
327,0.3270000000000002,4638.70655426951,365.3723180833673,477.3773274415328
328,0.3280000000000002,4638.591988491093,365.3640031625188,477.3568665057111
329,0.3290000000000002,4638.4774202325725,365.3556880613957,477.33640687747817
330,0.3300000000000002,4638.3628494954,365.34737278010095,477.31594855649575
331,0.3310000000000002,4638.248276281005,365.3390573187354,477.2954915424201
332,0.3320000000000002,4638.133700590835,365.3307416774013,477.2750358349143
333,0.3330000000000002,4638.019122426361,365.32242585621646,477.2545814336369
334,0.3340000000000002,4637.904541789015,365.3141098552743,477.2341283382492
335,0.3350000000000002,4637.78995868024,365.3057936746865,477.2136765484099
336,0.3360000000000002,4637.675373101493,365.2974773145602,477.1932260637799
337,0.3370000000000002,4637.560785054207,365.2891607749959,477.1727768840206
338,0.3380000000000002,4637.44619453982,365.2808440560963,477.1523290087919
339,0.3390000000000002,4637.331601559785,365.272527157969,477.1318824377547
340,0.3400000000000002,4637.217006115534,365.2642100807169,477.1114371705702
341,0.3410000000000002,4637.102408208526,365.2558928244479,477.0909932069007
342,0.3420000000000002,4636.987807840185,365.24757538926445,477.0705505464056
343,0.3430000000000002,4636.8732050119615,365.2392577752762,477.0501091887469
344,0.3440000000000002,4636.758599725278,365.23093998258105,477.0296691335867
