,"Time      (s) at_1,900e-03","P comb (psia) at_1,900e-03","P crit (psia) at_1,900e-03"
0,0.0,251.7638511868859,484.1425597856948
1,0.001,251.7649870729475,484.1187808464962
2,0.002,251.76371065663483,484.09857322124327
3,0.003,251.76063037398376,484.0774984440528
4,0.004,251.75654790565596,484.0566364359418
5,0.005,251.7518406209469,484.0357244270045
6,0.006,251.7467617259569,484.0148263580316
7,0.007,251.7414575685645,483.9939266686417
8,0.008,251.73601788144535,483.97302914514273
9,0.009,251.7304963772338,483.95213286556
10,0.01,251.7249255198153,483.9312380538035
11,0.011,251.7193248536405,483.9103446548871
12,0.012,251.71370616370007,483.8894526817115
13,0.013,251.7080765515984,483.86856213065016
14,0.014,251.7024402978184,483.8476730021007
15,0.015,251.69679998215688,483.826785295482
16,0.016,251.69115715948612,483.8058990104511
17,0.017,251.68551276693532,483.7850141466057
18,0.018,251.67986736933636,483.7641307035603
19,0.019,251.6742213071361,483.74324868092594
20,0.02,251.66857478554456,483.7223680783121
21,0.021,251.66292792826707,483.70148889532993
22,0.022,251.65728080989405,483.68061113159257
23,0.023,251.65163347541235,483.65973478670907
24,0.024,251.64598595196364,483.6388598602933
25,0.025,251.6403382559423,483.6179863519554
26,0.026,251.634690397262,483.5971142613103
27,0.027,251.6290423819281,483.5762435879657
28,0.028,251.62339421359272,483.5553743315377
29,0.029,251.61774589448936,483.5345064916364
30,0.03,251.61209742600397,483.51364006787696
31,0.031,251.60644880899852,483.4927750598716
32,0.032,251.60080004402477,483.4719114672298
33,0.033,251.59515113145108,483.4510492895704
34,0.034,251.5895020715372,483.4301885265031
35,0.035,251.58385286446747,483.40932917764303
36,0.036,251.578203510386,483.38847124260303
37,0.037,251.57255400940988,483.3676147209986
38,0.038,251.5669043616545,483.3467596124416
39,0.039,251.56125456721253,483.32590591654736
40,0.04,251.5556046261792,483.3050536329301
41,0.041,251.54995453863708,483.2842027612057
42,0.042,251.5443043046774,483.2633533009872
43,0.043,251.53865392438172,483.24250525189103
44,0.044,251.53300339783556,483.2216586135309
45,0.045,251.527352725124,483.2008133855233
46,0.046,251.52170190633,483.1799695674836
47,0.047,251.516050941537,483.15912715902687
48,0.048,251.51039983082623,483.13828615976735
49,0.049,251.50474857428344,483.1174465693246
50,0.05,251.49909717199355,483.0966083873122
51,0.051,251.49344562403965,483.0757716133479
52,0.052,251.4877939305022,483.05493624704656
53,0.053,251.48214209146647,483.0341022880269
54,0.054,251.4764901070115,483.0132697359034
55,0.055,251.47083797721916,482.9924385902952
56,0.056,251.46518570217896,482.971608850818
57,0.057,251.4595332819692,482.9507805170898
58,0.058,251.453880716675,482.92995358872855
59,0.059,251.44822800637868,482.9091280653508
60,0.06,251.44257515115964,482.8883039465749
61,0.061,251.43692215110823,482.86748123202
62,0.062,251.4312690063007,482.8466599213028
63,0.063,251.42561571681892,482.8258400140416
64,0.064,251.41996228274783,482.8050215098559
65,0.065,251.4143087041704,482.78420440836345
66,0.066,251.40865498116847,482.7633887091834
67,0.067,251.40300111382453,482.7425744119355
68,0.068,251.39734710221924,482.7217615162377
69,0.069,251.3916929464368,482.7009500217116
70,0.07,251.3860386465592,482.6801399279748
71,0.071,251.3803842026668,482.6593312346465
72,0.072,251.37472961484812,482.6385239413478
73,0.073,251.36907488317996,482.61771804769865
74,0.074,251.36342000774252,482.5969135533188
75,0.075,251.3577649886209,482.57611045782863
76,0.076,251.35210982589712,482.5553087608503
77,0.077,251.34645451965503,482.53450846200224
78,0.078,251.3407990699723,482.5137095609054
79,0.079,251.33514347693333,482.4929120571831
80,0.08,251.3294877406164,482.4721159504539
81,0.081,251.32383186110815,482.4513212403409
82,0.082,251.3181758384931,482.4305279264658
83,0.083,251.3125196728464,482.409736008448
84,0.084,251.30686336424853,482.3889454859123
85,0.085,251.3012069127888,482.3681563584788
86,0.086,251.29555031854247,482.34736862577074
87,0.087,251.28989358159484,482.3265822874104
88,0.088,251.284236702023,482.3057973430189
89,0.089,251.278579679914,482.2850137922212
90,0.09,251.2729225153465,482.26423163463807
91,0.091,251.2672652084013,482.24345086989536
92,0.092,251.2616077591592,482.222671497612
93,0.093,251.25595016770328,482.2018935174148
94,0.094,251.25029243411345,482.1811169289272
95,0.095,251.2446345584716,482.1603417317712
96,0.096,251.2389765408597,482.139567925572
97,0.097,251.23331838136016,482.118795509952
98,0.098,251.2276600800504,482.0980244845371
99,0.099,251.22200163701115,482.0772548489514
100,0.1,251.2163430523285,482.0564866028189
101,0.101,251.2106843260773,482.0357197457636
102,0.102,251.2050254583442,482.0149542774124
103,0.103,251.1993664492094,481.99419019738895
104,0.104,251.19370729874927,481.9734275053172
105,0.105,251.1880480070477,481.95266620082447
106,0.106,251.18238857418575,481.9319062835371
107,0.107,251.1767290002428,481.9111477530779
108,0.108,251.17106928530364,481.8903906090747
109,0.109,251.1654094294443,481.8696348511534
110,0.11,251.1597494327417,481.8488804789391
111,0.111,251.15408929528468,481.82812749205925
112,0.112,251.14842901715167,481.80737589013927
113,0.113,251.1427685984196,481.7866256728072
114,0.114,251.13710803917064,481.7658768396886
115,0.115,251.13144733948604,481.7451293904102
116,0.116,251.1257864994455,481.7243833246013
117,0.117,251.12012551913116,481.7036386418868
118,0.118,251.11446439862044,481.682895341895
119,0.119,251.10880313799865,481.6621534242543
120,0.12,251.10314173733903,481.6414128885917
121,0.1210000000000001,251.09748019672708,481.620673734536
122,0.1220000000000001,251.09181851624,481.5999359617135
123,0.1230000000000001,251.0861566959568,481.5791995697538
124,0.1240000000000001,251.0804947359617,481.5584645582855
125,0.125,251.07483263633017,481.537730926936
126,0.126,251.0691703971465,481.5169986753368
127,0.127,251.0635080184906,481.496267803114
128,0.128,251.05784550043845,481.4755383098972
129,0.1290000000000001,251.05218284307176,481.4548101953167
130,0.1300000000000001,251.0465200464691,481.4340834590012
131,0.1310000000000001,251.0408571107132,481.4133581005801
132,0.1320000000000001,251.0351940358814,481.392634119684
133,0.1330000000000001,251.0295308220537,481.3719115159421
134,0.1340000000000001,251.0238674693106,481.3511902889837
135,0.1350000000000001,251.01820397772963,481.3304704384408
136,0.1360000000000001,251.0125403473942,481.3097519639424
137,0.1370000000000001,251.00687657838048,481.28903486512047
138,0.1380000000000001,251.0012126707693,481.2683191416032
139,0.1390000000000001,250.99554862463933,481.2476047930241
140,0.1400000000000001,250.98988444007,481.22689181901256
141,0.1410000000000001,250.98422011714024,481.20618021920046
142,0.1420000000000001,250.97855565593065,481.1854699932195
143,0.1430000000000001,250.97289105652052,481.1647611407002
144,0.1440000000000001,250.96722631898828,481.1440536612743
145,0.1450000000000001,250.9615614434121,481.1233475545745
146,0.1460000000000001,250.95589642987196,481.1026428202327
147,0.1470000000000001,250.9502312784484,481.08193945788025
148,0.1480000000000001,250.94456598922096,481.0612374671492
149,0.1490000000000001,250.9389005622655,481.0405368476732
150,0.1500000000000001,250.9332349976636,481.019837599084
151,0.1510000000000001,250.9275692954912,480.9991397210151
152,0.1520000000000001,250.92190345583225,480.9784432130992
153,0.1530000000000001,250.916237478759,480.9577480749679
154,0.1540000000000001,250.9105713643549,480.9370543062578
155,0.1550000000000001,250.90490511270025,480.91636190659807
156,0.1560000000000001,250.8992387238696,480.89567087562574
157,0.1570000000000001,250.893572197942,480.874981212973
158,0.1580000000000001,250.8879055349982,480.8542929182744
159,0.1590000000000001,250.8822387351164,480.8336059911635
160,0.1600000000000001,250.8765717983747,480.8129204312744
161,0.1610000000000001,250.8709047248512,480.7922362382412
162,0.1620000000000001,250.8652375146261,480.7715534116996
163,0.1630000000000001,250.85957016777436,480.7508719512824
164,0.1640000000000001,250.85390268437732,480.73019185662736
165,0.1650000000000001,250.84823506451292,480.7095131273664
166,0.1660000000000001,250.84256730826215,480.6888357631368
167,0.1670000000000001,250.83689941569963,480.6681597635717
168,0.1680000000000001,250.8312313869038,480.6474851283094
169,0.1690000000000001,250.82556322195109,480.6268118569833
170,0.1700000000000001,250.8198949209227,480.60613994922994
