,"Time      (s) at_1,200e-03","Thrust    (N) at_1,200e-03","P comb (psia) at_1,200e-03","P crit (psia) at_1,200e-03"
0,0.0,4706.295044457242,398.7083795631442,484.14255978576057
1,0.001,4706.163596278853,398.7084512136016,484.1187808464804
2,0.002,4706.063051514707,398.70702342251553,484.0985732212471
3,0.003,4705.9527610451005,398.7035203312892,484.0774984440519
4,0.004,4705.843174578005,398.69869544495606,484.0566364359419
5,0.005,4705.732167625848,398.6928245974654,484.0357244270044
6,0.006,4705.620570312337,398.686184419846,484.0148263580316
7,0.007,4705.508415022075,398.6789649295288,483.9939266686417
8,0.008,4705.395869347475,398.6713125271118,483.97302914514273
9,0.009,4705.283023858392,398.66333579648176,483.95213286556
10,0.01,4705.169954846553,398.6551162688428,483.9312380538035
11,0.011,4705.056717356989,398.64671491780007,483.9103446548871
12,0.012,4704.9433530996,398.6381774020409,483.8894526817115
13,0.013,4704.829893176099,398.6295378974607,483.86856213065016
14,0.014,4704.716360899222,398.6208219884131,483.8476730021007
15,0.015,4704.602773713902,398.6120488266648,483.826785295482
16,0.016,4704.489144681395,398.60323274886304,483.8058990104511
17,0.017,4704.375483579199,398.5943844870744,483.7850141466057
18,0.018,4704.26179772716,398.58551207506514,483.7641307035603
19,0.019,4704.148092605205,398.576621526698,483.74324868092594
20,0.02,4704.034372315909,398.56771734377867,483.7223680783121
21,0.021,4703.92063993081,398.5588028962245,483.70148889532993
22,0.022,4703.806897749628,398.54988070666974,483.68061113159257
23,0.023,4703.693147494285,398.5409526634804,483.65973478670907
24,0.024,4703.579390454197,398.5320201802405,483.6388598602933
25,0.025,4703.465627595002,398.523084315126,483.6179863519554
26,0.026,4703.35185963999,398.51414586027335,483.5971142613103
27,0.027,4703.238087130971,398.5052054086617,483.5762435879657
28,0.028,4703.124310473993,398.4962634041985,483.5553743315377
29,0.029,4703.010529973391,398.48732017919406,483.5345064916364
30,0.03,4702.896745857443,398.47837598244615,483.51364006787696
31,0.031,4702.782958297428,398.4694310002088,483.4927750598716
32,0.032,4702.669167421955,398.4604853719343,483.4719114672298
33,0.033,4702.55537332778,398.4515392020441,483.4510492895704
34,0.034,4702.441576087711,398.4425925687392,483.4301885265031
35,0.035,4702.327775756677,398.4336455305789,483.40932917764303
36,0.036,4702.213972376207,398.4246981314285,483.38847124260303
37,0.037,4702.100165977837,398.4157504041581,483.3676147209986
38,0.038,4701.986356585578,398.4068023734159,483.3467596124416
39,0.039,4701.872544217826,398.3978540576711,483.32590591654736
40,0.04,4701.758728888783,398.3889054707872,483.3050536329301
41,0.041,4701.644910609493,398.3799566231741,483.2842027612057
42,0.042,4701.531089388641,398.3710075226545,483.2633533009872
43,0.043,4701.417265233159,398.36205817511865,483.24250525189103
44,0.044,4701.303438148648,398.3531085850081,483.2216586135309
