,"Time      (s) efficiency_9,500e-01","Thrust    (N) efficiency_9,500e-01"
0,0.0,3637.073574676781
1,0.001,3636.986813372679
2,0.002,3636.9136314551456
3,0.003,3636.832349851593
4,0.004,3636.750038872698
5,0.005,3636.666439584872
6,0.006,3636.582300571924
7,0.007,3636.497834212674
8,0.008,3636.4131975668497
9,0.009,3636.328466599883
10,0.01,3636.243684452909
11,0.011,3636.158874067644
12,0.012,3636.074047967152
13,0.013,3635.989212915734
14,0.014,3635.9043725825663
15,0.015,3635.8195289546143
16,0.016,3635.7346831086215
17,0.017,3635.649835627981
18,0.018,3635.5649868289
19,0.019,3635.48013688278
20,0.02,3635.395285882601
21,0.021,3635.310433878865
22,0.022,3635.2255808990567
23,0.023,3635.140726958188
24,0.024,3635.055872064527
25,0.025,3634.971016222669
26,0.026,3634.886159435239
27,0.027,3634.80130170379
28,0.028,3634.716443029259
29,0.029,3634.631583412337
30,0.03,3634.5467228534576
31,0.031,3634.46186135304
32,0.032,3634.376998911405
33,0.033,3634.292135528876
34,0.034,3634.2072712057393
35,0.035,3634.1224059422752
36,0.036,3634.037539738769
37,0.037,3633.9526725954993
38,0.038,3633.867804512749
39,0.039,3633.7829354907976
40,0.04,3633.698065529905
41,0.041,3633.613194630363
42,0.042,3633.528322792437
43,0.043,3633.443450016421
44,0.044,3633.358576302569
45,0.045,3633.273701651164
46,0.046,3633.1888260624814
47,0.047,3633.103949536801
48,0.048,3633.019072074385
49,0.049,3632.934193675525
50,0.05,3632.849314340482
51,0.051,3632.7644340695456
52,0.052,3632.679552862977
53,0.053,3632.594670721046
54,0.054,3632.509787644052
55,0.055,3632.4249036322335
56,0.056,3632.340018685885
57,0.057,3632.255132805288
58,0.058,3632.17024599069
59,0.059,3632.0853582423897
60,0.06,3632.000469560653
61,0.061,3631.915579945746
62,0.062,3631.8306893979434
63,0.063,3631.745797917524
64,0.064,3631.660905504756
65,0.065,3631.576012159912
66,0.066,3631.491117883269
67,0.067,3631.406222675092
68,0.068,3631.321326535663
69,0.069,3631.236429465236
70,0.07,3631.1515314641033
71,0.071,3631.066632532528
72,0.072,3630.981732670781
73,0.073,3630.896831879134
74,0.074,3630.811930157863
75,0.075,3630.727027507232
76,0.076,3630.642123927513
77,0.077,3630.55721941898
78,0.078,3630.472313981904
79,0.079,3630.387407616552
80,0.08,3630.302500323195
81,0.081,3630.217592102111
82,0.082,3630.1326829535615
83,0.083,3630.047772877831
84,0.084,3629.9628618751626
85,0.085,3629.877949945846
86,0.086,3629.7930370901486
87,0.087,3629.708123308332
88,0.088,3629.623208600671
89,0.089,3629.538292967445
90,0.09,3629.453376408913
91,0.091,3629.368458925332
92,0.092,3629.283540516992
93,0.093,3629.19862118415
94,0.094,3629.113700927073
95,0.095,3629.028779746037
96,0.096,3628.943857641308
97,0.097,3628.858934613152
98,0.098,3628.774010661844
99,0.099,3628.689085787641
100,0.1,3628.604159990816
101,0.101,3628.51923327164
102,0.102,3628.434305630372
103,0.103,3628.349377067287
104,0.104,3628.26444758265
105,0.105,3628.179517176726
106,0.106,3628.094585849778
107,0.107,3628.009653602093
108,0.108,3627.924720433908
109,0.109,3627.8397863455175
110,0.11,3627.75485133717
111,0.111,3627.66991540913
112,0.112,3627.5849785616783
113,0.113,3627.500040795076
114,0.114,3627.4151021095736
115,0.115,3627.330162505456
116,0.116,3627.245221982982
117,0.117,3627.160280542413
118,0.118,3627.075338184023
119,0.119,3626.990394908066
120,0.12,3626.905450714823
121,0.1210000000000001,3626.820505604548
122,0.1220000000000001,3626.7355595774975
123,0.1230000000000001,3626.6506126339527
124,0.1240000000000001,3626.5656647741703
125,0.125,3626.4807159984193
126,0.126,3626.39576630696
127,0.127,3626.310815700047
128,0.128,3626.225864177964
129,0.1290000000000001,3626.140911740955
130,0.1300000000000001,3626.055958389296
131,0.1310000000000001,3625.9710041232506
132,0.1320000000000001,3625.886048943081
133,0.1330000000000001,3625.801092849045
134,0.1340000000000001,3625.716135841416
135,0.1350000000000001,3625.6311779204448
136,0.1360000000000001,3625.5462190863946
137,0.1370000000000001,3625.46125933954
138,0.1380000000000001,3625.3762986801385
139,0.1390000000000001,3625.291337108456
140,0.1400000000000001,3625.206374624736
141,0.1410000000000001,3625.121411229261
142,0.1420000000000001,3625.0364469222895
143,0.1430000000000001,3624.951481704076
144,0.1440000000000001,3624.866515574896
145,0.1450000000000001,3624.7815485349943
146,0.1460000000000001,3624.696580584639
147,0.1470000000000001,3624.611611724101
148,0.1480000000000001,3624.526641953633
149,0.1490000000000001,3624.4416712734887
150,0.1500000000000001,3624.356699683944
151,0.1510000000000001,3624.271727185244
152,0.1520000000000001,3624.1867537776543
153,0.1530000000000001,3624.101779461452
154,0.1540000000000001,3624.016804236881
155,0.1550000000000001,3623.9318281042
156,0.1560000000000001,3623.84685106368
157,0.1570000000000001,3623.761873115579
158,0.1580000000000001,3623.676894260149
159,0.1590000000000001,3623.591914497652
160,0.1600000000000001,3623.5069338283424
161,0.1610000000000001,3623.421952252501
162,0.1620000000000001,3623.336969770368
163,0.1630000000000001,3623.251986382202
164,0.1640000000000001,3623.1670020882775
165,0.1650000000000001,3623.082016888846
166,0.1660000000000001,3622.997030784152
167,0.1670000000000001,3622.912043774472
168,0.1680000000000001,3622.827055860059
169,0.1690000000000001,3622.742067041173
170,0.1700000000000001,3622.657077318071
171,0.1710000000000001,3622.572086691016
172,0.1720000000000001,3622.487095160249
173,0.1730000000000001,3622.40210272604
174,0.1740000000000001,3622.317109388652
175,0.1750000000000001,3622.232115148329
176,0.1760000000000001,3622.147120005342
177,0.1770000000000001,3622.062123959942
178,0.1780000000000001,3621.977127012392
179,0.1790000000000001,3621.892129162946
180,0.1800000000000001,3621.807130411844
181,0.1810000000000001,3621.7221307593727
182,0.1820000000000001,3621.6371302057705
183,0.1830000000000001,3621.552128751295
184,0.1840000000000001,3621.4671263962055
185,0.1850000000000001,3621.382123140756
186,0.1860000000000001,3621.2971189852087
187,0.1870000000000001,3621.212113929813
188,0.1880000000000001,3621.12710797483
189,0.1890000000000001,3621.042101120513
190,0.1900000000000001,3620.95709336711
191,0.1910000000000001,3620.872084714893
192,0.1920000000000001,3620.7870751641
193,0.1930000000000001,3620.7020647149984
194,0.1940000000000001,3620.617053367836
195,0.1950000000000001,3620.532041122873
196,0.1960000000000001,3620.44702798036
197,0.1970000000000001,3620.3620139405552
198,0.1980000000000001,3620.2769990037104
199,0.1990000000000001,3620.1919831700848
200,0.2000000000000001,3620.106966439933
201,0.2010000000000001,3620.021948813496
202,0.2020000000000001,3619.936930291046
203,0.2030000000000001,3619.851910872817
204,0.2040000000000001,3619.766890559087
205,0.2050000000000001,3619.681869350079
206,0.2060000000000001,3619.596847246073
207,0.2070000000000001,3619.511824247314
208,0.2080000000000001,3619.426800354061
209,0.2090000000000001,3619.341775566552
210,0.2100000000000001,3619.256749885048
211,0.2110000000000001,3619.171723309801
212,0.2120000000000001,3619.08669584107
213,0.2130000000000001,3619.001667479099
214,0.2140000000000001,3618.9166382241465
215,0.2150000000000001,3618.83160807646
216,0.2160000000000001,3618.746577036296
217,0.2170000000000001,3618.661545103897
218,0.2180000000000001,3618.5765122795297
219,0.2190000000000001,3618.4914785634337
220,0.2200000000000001,3618.406443955875
221,0.2210000000000001,3618.321408457088
222,0.2220000000000001,3618.236372067336
223,0.2230000000000001,3618.1513347868654
224,0.2240000000000001,3618.066296615916
225,0.2250000000000001,3617.9812575547617
226,0.2260000000000001,3617.896217603641
227,0.2270000000000001,3617.811176762801
228,0.2280000000000001,3617.7261350325
229,0.2290000000000001,3617.6410924129855
230,0.2300000000000001,3617.556048904497
231,0.2310000000000001,3617.471004507309
232,0.2320000000000001,3617.385959221645
233,0.2330000000000001,3617.3009130477817
234,0.2340000000000001,3617.215865985952
235,0.2350000000000001,3617.130818036401
236,0.2360000000000001,3617.0457691993897
237,0.2370000000000001,3616.9607194751657
238,0.2380000000000001,3616.8756688639696
239,0.2390000000000001,3616.790617366063
240,0.2400000000000001,3616.705564981689
241,0.2410000000000002,3616.62051171109
242,0.2420000000000002,3616.535457554515
243,0.2430000000000002,3616.450402512233
244,0.2440000000000002,3616.365346584468
245,0.2450000000000002,3616.280289771482
246,0.2460000000000002,3616.19523207352
247,0.2470000000000002,3616.11017349083
248,0.2480000000000002,3616.025114023656
249,0.2490000000000002,3615.940053672249
250,0.2500000000000001,3615.854992436859
251,0.2510000000000001,3615.76993031773
252,0.2520000000000001,3615.6848673151153
253,0.2530000000000001,3615.59980342925
254,0.2540000000000001,3615.514738660389
255,0.2550000000000001,3615.429673008784
256,0.2560000000000001,3615.344606474672
257,0.2570000000000002,3615.259539058305
258,0.2580000000000002,3615.174470759937
259,0.2590000000000002,3615.089401579804
260,0.2600000000000002,3615.004331518146
261,0.2610000000000002,3614.919260575227
262,0.2620000000000002,3614.834188751289
263,0.2630000000000002,3614.749116046562
264,0.2640000000000002,3614.66404246131
265,0.2650000000000002,3614.57896799577
266,0.2660000000000002,3614.493892650201
267,0.2670000000000002,3614.408816424814
268,0.2680000000000002,3614.3237393198906
269,0.2690000000000002,3614.23866133566
270,0.2700000000000002,3614.153582472376
271,0.2710000000000002,3614.068502730268
272,0.2720000000000002,3613.983422109593
273,0.2730000000000002,3613.8983406105976
274,0.2740000000000002,3613.81325823351
275,0.2750000000000002,3613.7281749786
276,0.2760000000000002,3613.643090846084
277,0.2770000000000002,3613.5580058362298
278,0.2780000000000002,3613.472919949266
279,0.2790000000000002,3613.387833185438
280,0.2800000000000002,3613.3027455450015
281,0.2810000000000002,3613.217657028193
282,0.2820000000000002,3613.1325676352526
283,0.2830000000000002,3613.0474773664246
284,0.2840000000000002,3612.962386221952
285,0.2850000000000002,3612.877294202088
286,0.2860000000000002,3612.792201307067
287,0.2870000000000002,3612.707107537125
288,0.2880000000000002,3612.622012892508
289,0.2890000000000002,3612.536917373467
290,0.2900000000000002,3612.451820980244
291,0.2910000000000002,3612.36672371307
292,0.2920000000000002,3612.281625572202
293,0.2930000000000002,3612.196526557868
294,0.2940000000000002,3612.111426670317
295,0.2950000000000002,3612.026325909784
296,0.2960000000000002,3611.941224276531
297,0.2970000000000002,3611.856121770775
298,0.2980000000000002,3611.771018392771
299,0.2990000000000002,3611.685914142752
300,0.3000000000000002,3611.6008090209616
301,0.3010000000000002,3611.51570302765
302,0.3020000000000002,3611.430596163047
303,0.3030000000000002,3611.345488427404
304,0.3040000000000002,3611.2603798209466
305,0.3050000000000002,3611.175270343926
306,0.3060000000000002,3611.090159996576
307,0.3070000000000002,3611.005048779147
308,0.3080000000000002,3610.919936691872
309,0.3090000000000002,3610.834823734992
310,0.3100000000000002,3610.7497099087454
311,0.3110000000000002,3610.66459521337
312,0.3120000000000002,3610.5794796491086
313,0.3130000000000002,3610.49436321621
314,0.3140000000000002,3610.409245914901
315,0.3150000000000002,3610.3241277454185
316,0.3160000000000002,3610.239008708007
317,0.3170000000000002,3610.153888802912
318,0.3180000000000002,3610.068768030367
319,0.3190000000000002,3609.9836463905976
320,0.3200000000000002,3609.898523883865
321,0.3210000000000002,3609.813400510392
322,0.3220000000000002,3609.728276270419
323,0.3230000000000002,3609.643151164195
324,0.3240000000000002,3609.558025191942
325,0.3250000000000002,3609.472898353908
326,0.3260000000000002,3609.387770650329
327,0.3270000000000002,3609.3026420814335
328,0.3280000000000002,3609.2175126474863
329,0.3290000000000002,3609.1323823486814
330,0.3300000000000002,3609.047251185305
331,0.3310000000000002,3608.962119157549
332,0.3320000000000002,3608.8769862656914
333,0.3330000000000002,3608.79185250994
334,0.3340000000000002,3608.7067178905386
335,0.3350000000000002,3608.621582407721
336,0.3360000000000002,3608.536446061732
337,0.3370000000000002,3608.4513088528
338,0.3380000000000002,3608.366170781177
339,0.3390000000000002,3608.2810318470806
340,0.3400000000000002,3608.195892050751
341,0.3410000000000002,3608.110751392424
342,0.3420000000000002,3608.025609872344
343,0.3430000000000002,3607.940467490745
344,0.3440000000000002,3607.855324247852
345,0.3450000000000002,3607.770180143908
346,0.3460000000000002,3607.6850351791454
347,0.3470000000000002,3607.599889353797
348,0.3480000000000002,3607.514742668106
349,0.3490000000000002,3607.429595122293
350,0.3500000000000002,3607.344446716624
351,0.3510000000000002,3607.2592974512895
352,0.3520000000000002,3607.174147326544
353,0.3530000000000002,3607.088996342632
354,0.3540000000000002,3607.003844499776
355,0.3550000000000002,3606.918691798218
356,0.3560000000000002,3606.833538238185
357,0.3570000000000002,3606.7483838199178
358,0.3580000000000002,3606.663228543634
359,0.3590000000000002,3606.578072409587
360,0.3600000000000002,3606.492915417996
361,0.3610000000000002,3606.407757569101
362,0.3620000000000002,3606.3225988631298
363,0.3630000000000002,3606.2374393003256
364,0.3640000000000002,3606.152278880911
365,0.3650000000000002,3606.0671176051264
366,0.3660000000000002,3605.981955473191
367,0.3670000000000002,3605.896792485354
368,0.3680000000000002,3605.8116286418426
369,0.3690000000000002,3605.726463942888
370,0.3700000000000003,3605.64129838872
371,0.3710000000000003,3605.5561319795647
372,0.3720000000000003,3605.470964715675
373,0.3730000000000003,3605.3857965972543
374,0.3740000000000003,3605.300627624552
375,0.3750000000000003,3605.2154577978094
376,0.3760000000000003,3605.130287117233
377,0.3770000000000003,3605.045115583072
378,0.3780000000000003,3604.959943195549
379,0.3790000000000003,3604.874769954893
380,0.3800000000000003,3604.789595861341
381,0.3810000000000003,3604.704420915125
382,0.3820000000000003,3604.619245116469
383,0.3830000000000003,3604.5340684656094
384,0.3840000000000003,3604.4488909627607
385,0.3850000000000003,3604.363712608181
386,0.3860000000000003,3604.27853340208
387,0.3870000000000003,3604.193353344697
388,0.3880000000000003,3604.108172436256
389,0.3890000000000003,3604.0229906769914
390,0.3900000000000003,3603.937808067125
391,0.3910000000000003,3603.852624606894
