,"Time      (s) efficiency_1,000e+00","Thrust    (N) efficiency_1,000e+00"
111,0.111,3846.05430294796
112,0.112,3845.964904859727
113,0.113,3845.8755058040624
114,0.114,3845.786105781221
115,0.115,3845.696704791512
116,0.116,3845.607302835202
117,0.117,3845.5178999125633
118,0.118,3845.428496023897
119,0.119,3845.339091169456
120,0.12,3845.249685349541
121,0.1210000000000001,3845.160278564421
122,0.1220000000000001,3845.07087081438
123,0.1230000000000001,3844.981462099681
124,0.1240000000000001,3844.892052420619
125,0.125,3844.802641777468
126,0.126,3844.713230170504
127,0.127,3844.623817599997
128,0.128,3844.534404066244
129,0.1290000000000001,3844.4449895695
130,0.1300000000000001,3844.355574110056
131,0.1310000000000001,3844.266157688195
132,0.1320000000000001,3844.1767403041767
133,0.1330000000000001,3844.087321958298
134,0.1340000000000001,3843.997902650814
135,0.1350000000000001,3843.908482382024
136,0.1360000000000001,3843.8190611521854
137,0.1370000000000001,3843.729638961588
138,0.1380000000000001,3843.6402158105016
139,0.1390000000000001,3843.5507916992105
140,0.1400000000000001,3843.4613666279706
141,0.1410000000000001,3843.371940597073
142,0.1420000000000001,3843.2825136067977
143,0.1430000000000001,3843.1930856574063
144,0.1440000000000001,3843.103656749192
145,0.1450000000000001,3843.014226882415
146,0.1460000000000001,3842.924796057349
147,0.1470000000000001,3842.835364274285
148,0.1480000000000001,3842.745931533485
149,0.1490000000000001,3842.656497835227
150,0.1500000000000001,3842.567063179792
151,0.1510000000000001,3842.4776275674394
152,0.1520000000000001,3842.38819099846
153,0.1530000000000001,3842.298753473116
154,0.1540000000000001,3842.209314991684
155,0.1550000000000001,3842.119875554438
156,0.1560000000000001,3842.030435161661
157,0.1570000000000001,3841.94099381362
158,0.1580000000000001,3841.85155151058
159,0.1590000000000001,3841.762108252824
160,0.1600000000000001,3841.6726640406273
161,0.1610000000000001,3841.583218874253
162,0.1620000000000001,3841.493772753978
163,0.1630000000000001,3841.40432568008
164,0.1640000000000001,3841.314877652829
165,0.1650000000000001,3841.225428672502
166,0.1660000000000001,3841.1359787393553
167,0.1670000000000001,3841.0465278536767
168,0.1680000000000001,3840.9570760157367
169,0.1690000000000001,3840.867623225801
170,0.1700000000000001,3840.778169484153
171,0.1710000000000001,3840.6887147910415
172,0.1720000000000001,3840.599259146757
173,0.1730000000000001,3840.5098025515713
174,0.1740000000000001,3840.420345005744
175,0.1750000000000001,3840.330886509556
176,0.1760000000000001,3840.2414270632753
177,0.1770000000000001,3840.151966667168
178,0.1780000000000001,3840.0625053215153
179,0.1790000000000001,3839.9730430265854
180,0.1800000000000001,3839.883579782628
181,0.1810000000000001,3839.794115589952
182,0.1820000000000001,3839.70465044878
183,0.1830000000000001,3839.61518435942
184,0.1840000000000001,3839.52571732213
185,0.1850000000000001,3839.4362493371777
186,0.1860000000000001,3839.346780404832
187,0.1870000000000001,3839.2573105253528
188,0.1880000000000001,3839.1678396990455
189,0.1890000000000001,3839.0783679261417
190,0.1900000000000001,3838.988895206921
191,0.1910000000000001,3838.899421541657
192,0.1920000000000001,3838.8099469306194
193,0.1930000000000001,3838.720471374066
194,0.1940000000000001,3838.630994872273
195,0.1950000000000001,3838.541517425511
196,0.1960000000000001,3838.452039034038
197,0.1970000000000001,3838.362559698132
198,0.1980000000000001,3838.27307941805
199,0.1990000000000001,3838.183598194079
200,0.2000000000000001,3838.094116026477
201,0.2010000000000001,3838.004632915497
202,0.2020000000000001,3837.915148861434
203,0.2030000000000001,3837.825663864525
204,0.2040000000000001,3837.736177925057
205,0.2050000000000001,3837.646691043296
206,0.2060000000000001,3837.5572032194927
207,0.2070000000000001,3837.467714453932
208,0.2080000000000001,3837.378224746873
209,0.2090000000000001,3837.2887340985776
210,0.2100000000000001,3837.1992425093295
211,0.2110000000000001,3837.109749979376
212,0.2120000000000001,3837.020256508982
213,0.2130000000000001,3836.930762098425
214,0.2140000000000001,3836.841266747964
215,0.2150000000000001,3836.7517704578704
216,0.2160000000000001,3836.662273228401
217,0.2170000000000001,3836.572775059826
218,0.2180000000000001,3836.483275952413
219,0.2190000000000001,3836.393775906413
220,0.2200000000000001,3836.304274922117
221,0.2210000000000001,3836.214772999765
222,0.2220000000000001,3836.125270139638
223,0.2230000000000001,3836.0357663419895
224,0.2240000000000001,3835.946261607081
225,0.2250000000000001,3835.856755935192
226,0.2260000000000001,3835.767249326573
227,0.2270000000000001,3835.677741781487
228,0.2280000000000001,3835.5882333002064
229,0.2290000000000001,3835.498723882992
230,0.2300000000000001,3835.409213530094
231,0.2310000000000001,3835.319702241801
232,0.2320000000000001,3835.230190018361
233,0.2330000000000001,3835.1406768600327
234,0.2340000000000001,3835.051162767088
235,0.2350000000000001,3834.961647739788
236,0.2360000000000001,3834.872131778393
237,0.2370000000000001,3834.782614883168
238,0.2380000000000001,3834.6930970543694
239,0.2390000000000001,3834.603578292264
240,0.2400000000000001,3834.514058597111
241,0.2410000000000002,3834.424537969177
242,0.2420000000000002,3834.335016408714
243,0.2430000000000002,3834.245493916007
244,0.2440000000000002,3834.1559704912834
245,0.2450000000000002,3834.066446134837
246,0.2460000000000002,3833.9769208469015
247,0.2470000000000002,3833.8873946277504
248,0.2480000000000002,3833.7978674776464
249,0.2490000000000002,3833.708339396848
250,0.2500000000000001,3833.6188103856166
251,0.2510000000000001,3833.529280444217
252,0.2520000000000001,3833.439749572903
253,0.2530000000000001,3833.350217771928
254,0.2540000000000001,3833.2606850415705
255,0.2550000000000001,3833.171151382074
256,0.2560000000000001,3833.081616793704
257,0.2570000000000002,3832.992081276719
258,0.2580000000000002,3832.902544831381
259,0.2590000000000002,3832.8130074579567
260,0.2600000000000002,3832.723469156692
261,0.2610000000000002,3832.63392992785
262,0.2620000000000002,3832.544389771698
263,0.2630000000000002,3832.454848688477
264,0.2640000000000002,3832.365306678462
265,0.2650000000000002,3832.2757637419018
266,0.2660000000000002,3832.1862198790654
267,0.2670000000000002,3832.0966750901966
268,0.2680000000000002,3832.007129375558
269,0.2690000000000002,3831.917582735418
270,0.2700000000000002,3831.8280351700296
271,0.2710000000000002,3831.738486679643
272,0.2720000000000002,3831.6489372645246
273,0.2730000000000002,3831.559386924921
274,0.2740000000000002,3831.4698356611
275,0.2750000000000002,3831.380283473312
276,0.2760000000000002,3831.2907303618217
277,0.2770000000000002,3831.201176326881
278,0.2780000000000002,3831.111621368746
279,0.2790000000000002,3831.02206548767
280,0.2800000000000002,3830.9325086839226
281,0.2810000000000002,3830.842950957748
282,0.2820000000000002,3830.753392309402
283,0.2830000000000002,3830.663832739148
284,0.2840000000000002,3830.57427224724
285,0.2850000000000002,3830.4847108339327
286,0.2860000000000002,3830.395148499472
287,0.2870000000000002,3830.3055852441257
288,0.2880000000000002,3830.2160210681454
289,0.2890000000000002,3830.126455971789
290,0.2900000000000002,3830.0368899553114
291,0.2910000000000002,3829.947323018962
292,0.2920000000000002,3829.857755162999
293,0.2930000000000002,3829.7681863876815
294,0.2940000000000002,3829.678616693259
295,0.2950000000000002,3829.5890460799774
296,0.2960000000000002,3829.499474548109
297,0.2970000000000002,3829.409902097904
298,0.2980000000000002,3829.3203287295946
299,0.2990000000000002,3829.230754443466
300,0.3000000000000002,3829.1411792397457
301,0.3010000000000002,3829.051603118704
302,0.3020000000000002,3828.9620260805937
303,0.3030000000000002,3828.872448125661
304,0.3040000000000002,3828.782869254158
305,0.3050000000000002,3828.693289466346
306,0.3060000000000002,3828.6037087624686
307,0.3070000000000002,3828.514127142793
308,0.3080000000000002,3828.424544607551
309,0.3090000000000002,3828.334961157012
310,0.3100000000000002,3828.245376791423
311,0.3110000000000002,3828.155791511025
312,0.3120000000000002,3828.066205316085
313,0.3130000000000002,3827.9766182068624
314,0.3140000000000002,3827.887030183582
315,0.3150000000000002,3827.7974412465232
316,0.3160000000000002,3827.707851395915
317,0.3170000000000002,3827.618260632028
318,0.3180000000000002,3827.528668955104
319,0.3190000000000002,3827.4390763653846
320,0.3200000000000002,3827.349482863142
321,0.3210000000000002,3827.25988844861
322,0.3220000000000002,3827.170293122044
323,0.3230000000000002,3827.080696883693
324,0.3240000000000002,3826.991099733816
325,0.3250000000000002,3826.90150167265
326,0.3260000000000002,3826.811902700449
327,0.3270000000000002,3826.722302817476
328,0.3280000000000002,3826.6327020239696
329,0.3290000000000002,3826.5431003201775
330,0.3300000000000002,3826.453497706362
331,0.3310000000000002,3826.363894182756
332,0.3320000000000002,3826.274289749623
333,0.3330000000000002,3826.184684407195
334,0.3340000000000002,3826.0950781557417
335,0.3350000000000002,3826.005470995495
336,0.3360000000000002,3825.915862926709
337,0.3370000000000002,3825.826253949642
338,0.3380000000000002,3825.736644064532
339,0.3390000000000002,3825.647033271626
340,0.3400000000000002,3825.5574215711767
341,0.3410000000000002,3825.4678089634335
342,0.3420000000000002,3825.378195448641
343,0.3430000000000002,3825.288581027058
344,0.3440000000000002,3825.198965698922
345,0.3450000000000002,3825.109349464477
346,0.3460000000000002,3825.019732323974
347,0.3470000000000002,3824.9301142776576
348,0.3480000000000002,3824.840495325776
349,0.3490000000000002,3824.750875468588
350,0.3500000000000002,3824.661254706332
351,0.3510000000000002,3824.571633039247
352,0.3520000000000002,3824.482010467594
353,0.3530000000000002,3824.3923869916057
354,0.3540000000000002,3824.302762611541
355,0.3550000000000002,3824.2131373276393
356,0.3560000000000002,3824.1235111401497
357,0.3570000000000002,3824.033884049316
358,0.3580000000000002,3823.944256055376
359,0.3590000000000002,3823.854627158594
360,0.3600000000000002,3823.764997359195
361,0.3610000000000002,3823.675366657432
362,0.3620000000000002,3823.5857350535616
363,0.3630000000000002,3823.49610254782
364,0.3640000000000002,3823.4064691404506
365,0.3650000000000002,3823.316834831695
366,0.3660000000000002,3823.227199621808
367,0.3670000000000002,3823.137563511029
368,0.3680000000000002,3823.0479264996047
369,0.3690000000000002,3822.958288587773
370,0.3700000000000003,3822.868649775783
371,0.3710000000000003,3822.779010063882
372,0.3720000000000003,3822.689369452311
373,0.3730000000000003,3822.599727941305
374,0.3740000000000003,3822.510085531121
375,0.3750000000000003,3822.420442221997
376,0.3760000000000003,3822.330798014183
377,0.3770000000000003,3822.241152907912
378,0.3780000000000003,3822.151506903427
379,0.3790000000000003,3822.0618600009752
