,"Time      (s) dt_6,000e-03","Thrust    (N) dt_6,000e-03","Impulse  (Ns) dt_6,000e-03","P tank (psia) dt_6,000e-03","P inj. (psia) dt_6,000e-03","P comb (psia) dt_6,000e-03","P crit (psia) dt_6,000e-03","O/F       (-) dt_6,000e-03","m. ox. (kg/s) dt_6,000e-03"
0,0.0,4645.6497905833685,27.87389874350021,795.5191442036203,645.7638776262093,341.7608158084669,484.14255978576057,4.495954355871878,1.884971234580893
1,0.0059999999999999,4645.033783296558,55.74410144327955,795.3337626568635,645.6035978707968,341.7401224446234,484.0209869586149,4.495664305652482,1.8847280298501936
2,0.0119999999999999,4644.315588967699,83.60999497708573,795.1484432847053,645.432903270572,341.69993182713927,483.8907429210981,4.495335951781168,1.8844527267568711
3,0.018,4643.636713039906,111.47181525532515,794.9631842241064,645.2681480032246,341.65636385109786,483.76544121269546,4.495028968000876,1.8841953592651155
4,0.0239999999999999,4642.955218169489,139.3295465643421,794.7779854033769,645.1033819797112,341.6112146177191,483.64012890331486,4.494721645449123,1.8839377253610508
5,0.0299999999999999,4642.27293736432,167.18318418852803,794.5928467284464,644.9386802499184,341.5655073608541,483.5148684677682,4.4944142585938165,1.8836800551705968
6,0.036,4641.590307817162,195.032726035431,794.4077681057709,644.7740417602535,341.51959842448053,483.3896590324787,4.494106804121463,1.883422345927532
7,0.0419999999999999,4640.907486773447,222.8781709560717,794.2227494420536,644.6094664182184,341.47361368100496,483.2645005238599,4.49379928222647,1.8831645978064215
8,0.0479999999999999,4640.224529947119,250.7195181357544,794.0377906442405,644.4449541194434,341.4275975767368,483.1393928584346,4.493491693058377,1.882906810944189
9,0.0539999999999999,4639.54145723996,278.5567668791942,793.852891619516,644.2805047599846,341.3815658152098,483.0143359530711,4.493184036766798,1.8826489854777924
10,0.0599999999999999,4638.858275910055,306.3899165346545,793.6680522753103,644.1161182361582,341.33552395443746,482.8893297248456,4.492876313500829,1.8823911215437172
11,0.0659999999999999,4638.174988751773,334.2189664671652,793.4832725192944,643.9517944445652,341.2894739715716,482.76437409106273,4.492568523409131,1.882133219278057
12,0.072,4637.491596983106,362.0439160490638,793.2985522593766,643.787533282075,341.2434165799413,482.6394689692413,4.4922606666398766,1.8818752788164643
13,0.078,4636.808101265053,389.8647646566541,793.1138914037059,643.6233346458338,341.19735204684406,482.514614277122,4.491952743340796,1.881617300294187
14,0.084,4636.1245020612805,417.6815116690218,792.929289860666,643.4591984332535,341.1512804821635,482.389809932658,4.491644753659127,1.881359283846032
15,0.09,4635.440799765166,445.4941564676128,792.7447475388793,643.295124542024,341.1052019401548,482.2650558540256,4.491336697741691,1.881101229606424
16,0.096,4634.7569947445145,473.3026984360799,792.5602643472046,643.1311128700981,341.0591164554359,482.14035195961054,4.491028575734808,1.880843137709339
17,0.102,4634.073087357444,501.1071369602245,792.3758401947335,642.967163315699,341.01302405562313,482.01569816801583,4.490720387784362,1.880585008288352
18,0.108,4633.389077957938,528.9074714279722,792.1914749907911,642.8032757773207,340.96692476582047,481.89109439806094,4.490412134035785,1.8803268414766323
19,0.114,4632.704966897874,556.7037012293594,792.0071686449363,642.6394501537205,340.9208186102248,481.7665405687766,4.4901038146340575,1.8800686374069395
20,0.12,4632.020754527553,584.4958257565247,791.8229210669595,642.4756863439172,340.8747056126129,481.64203659940176,4.489795429723675,1.8798103962115964
21,0.126,4631.336441196243,612.2838444037021,791.6387321668805,642.3119842472049,340.8285857966377,481.5175824093972,4.489486979448738,1.8795521180225632
22,0.132,4630.652027251949,640.0677565672138,791.4546018549496,642.14834376313,340.78245918579546,481.3931779184248,4.489178463952858,1.8792938029713573
23,0.138,4629.967513041626,667.8475616454635,791.270530041646,641.9847647915022,340.7363258035172,481.2688230463572,4.488869883379198,1.879035451189095
24,0.144,4629.28289891118,695.6232590389307,791.0865166376755,641.8212472323967,340.69018567314714,481.1445177132802,4.488561237870491,1.8787770628065008
25,0.15,4628.598185205458,723.3948481501634,790.902561553973,641.6577909861478,340.64403881796886,481.0202618394866,4.488252527569025,1.8785186379538945
26,0.156,4627.913372268212,751.1623283837727,790.718664701696,641.4943959533435,340.5978852611872,480.89605534547263,4.487943752616627,1.878260176761179
27,0.162,4627.228460442187,778.9256991464258,790.5348259922298,641.3310620348354,340.55172502593445,480.7718981519449,4.487634913154703,1.878001679357877
28,0.168,4626.543450069035,806.68495984684,790.3510453371825,641.1677891317281,340.50555813528314,480.6477901798137,4.487326009324201,1.877743145873097
29,0.174,4625.858341489436,834.4401098957766,790.167322648385,641.0045771453878,340.459384612233,480.5237313501979,4.487017041265654,1.877484576435568
30,0.18,4625.173135042842,862.1911487060336,789.9836578378911,640.8414259774199,340.4132044796777,480.3997215844083,4.4867080091190985,1.877225971173578
31,0.186,4624.487831067856,889.9380756924407,789.8000508179724,640.6783355297018,340.3670177604771,480.27576080397336,4.486398913024205,1.876967330215072
32,0.1920000000000001,4623.802429901964,917.6808902718524,789.616501501127,640.5153057043503,340.3208244774306,480.1518489306135,4.486089753120162,1.8767086536875688
33,0.1980000000000001,4623.11693188165,945.4195918631424,789.4330098000657,640.3523364037467,340.27462465323015,480.0279858862606,4.485780529545766,1.8764499417182217
34,0.2040000000000001,4622.431337342331,973.1541798871964,789.2495756277215,640.1894275305101,340.2284183105281,479.9041715930375,4.485471242439336,1.8761911944337657
35,0.2100000000000001,4621.745646618378,1000.8846537669068,789.0661988972449,640.0265789875112,340.18220547189173,479.7804059732678,4.485161891938773,1.875932411960546
36,0.2160000000000001,4621.059860043209,1028.611012927166,788.8828795220013,639.8637906778772,340.1359861598349,479.6566889494813,4.484852478181569,1.87567359442454
37,0.2220000000000001,4620.373977949159,1056.333256794861,788.699617415574,639.7010625049718,340.0897603967969,479.5330204443964,4.484543001304753,1.875414741951312
38,0.2280000000000001,4619.688000667573,1084.0513847988664,788.5164124917583,639.5383943724183,340.04352820512776,479.40940038094016,4.484233461444971,1.8751558546660672
39,0.2340000000000001,4619.00192852875,1111.7653963700388,788.3332646645654,639.3757861840711,339.9972896071276,479.2858286822246,4.483923858738395,1.8748969326935967
40,0.2400000000000001,4618.315761862007,1139.475290941211,788.1501738482193,639.2132378440393,339.9510446250297,479.1623052715653,4.483614193320804,1.8746379761583256
41,0.2460000000000001,4617.629500995661,1167.1810679471848,787.9671399571554,639.0507492566724,339.90479328100344,479.03883007247066,4.483304465327547,1.874378985184292
42,0.2520000000000001,4616.943146256958,1194.882726824727,787.7841629060208,638.8883203265599,339.8585355971158,478.9154030086417,4.482994674893537,1.874119959895144
43,0.2580000000000001,4616.256697972231,1222.58026701256,787.6012426096735,638.7259509585375,339.8122715954197,478.7920240039757,4.4826848221532885,1.873860900414161
44,0.2640000000000001,4615.570156466748,1250.2736879513604,787.418378983181,638.5636410576785,339.7660012978536,478.6686929825613,4.4823749072408825,1.8736018068642368
45,0.2700000000000001,4614.88352206483,1277.962989083749,787.2355719418181,638.4013905292992,339.7197247263213,478.5454098686813,4.48206493028999,1.8733426793678931
46,0.2760000000000001,4614.196795089741,1305.6481698542875,787.0528214010692,638.2391992789475,339.6734419026438,478.4221745868038,4.481754891433848,1.873083518047256
47,0.2820000000000001,4613.509975863831,1333.3292297094708,786.8701272766243,638.0770672124171,339.62715284858547,478.2989870615944,4.481444790805303,1.8728243230240984
48,0.2880000000000001,4612.823064708384,1361.0061680977212,786.6874894843816,637.914994235733,339.5808575858238,478.17584721790365,4.481134628536763,1.8725650944198016
49,0.2940000000000001,4612.13606194377,1388.6789844693835,786.5049079404414,637.7529802551617,339.53455613598805,478.0527549807753,4.480824404760246,1.8723058323553885
50,0.3000000000000001,4611.448967889309,1416.3476782767195,786.3223825611111,637.5910251771943,339.4882485206314,477.9297102754336,4.48051411960733,1.872046536951486
51,0.3060000000000001,4610.761782863419,1444.0122489739,786.1399132629012,637.4291289085702,339.44193476125275,477.8067130273014,4.480203773209214,1.871787208328379
52,0.3120000000000001,4610.074507183465,1471.6726960170008,785.9574999625237,637.2672913562495,339.3956148792639,477.6837631619784,4.479893365696662,1.8715278466059573
53,0.3180000000000001,4609.387141165956,1499.3290188639965,785.775142576894,637.1055124274347,339.3492888960489,477.5608606052586,4.479582897200063,1.8712684519037708
54,0.3240000000000002,4608.699685126248,1526.981216974754,785.5928410231282,636.9437920295453,339.30295683288466,477.43800528310976,4.479272367849336,1.8710090243409496
55,0.3300000000000002,4608.012139378934,1554.6292898110275,785.4105952185423,636.7821300702506,339.2566187110096,477.31519712169984,4.478961777774077,1.8707495640363228
56,0.3360000000000002,4607.324504237463,1582.2732368364525,785.2284050806537,636.6205264574266,339.21027455158264,477.1924360473624,4.478651127103395,1.8704900711082888
57,0.3420000000000002,4606.636780014478,1609.913057516539,785.0462705271751,636.4589810992023,339.16392437570363,477.06972198663374,4.4783404159660725,1.8702305456749424
58,0.3480000000000002,4605.948967021584,1637.5487513186686,784.8641914760201,636.2974939039168,339.117568204414,476.9470548662187,4.478029644490444,1.8699709878539772
59,0.3540000000000002,4605.26106556939,1665.1803177120848,784.6821678452994,636.1360647801371,339.07120605867595,476.8244346130042,4.477718812804431,1.869711397762716
60,0.3600000000000002,4604.573075967648,1692.8077561678908,784.5001995533163,635.9746936366655,339.02483795940026,476.7018611540663,4.477407921035602,1.8694517755181543
61,0.3660000000000002,4603.884998525169,1720.4310661590418,784.3182865185745,635.8133803825251,338.9784639274432,476.5793344166579,4.477096969311108,1.86919212123692
62,0.3720000000000002,4603.196833549667,1748.05024716034,784.1364286597699,635.6521249269567,338.9320839835568,476.456854328206,4.476785957757674,1.868932435035248
