,"Time      (s) dt_1,100e-02","Thrust    (N) dt_1,100e-02","Impulse  (Ns) dt_1,100e-02","P tank (psia) dt_1,100e-02","P inj. (psia) dt_1,100e-02","P comb (psia) dt_1,100e-02","P crit (psia) dt_1,100e-02","O/F       (-) dt_1,100e-02","m. ox. (kg/s) dt_1,100e-02"
0,0.0,4645.6497905833685,51.10214769641705,795.3645451036098,645.7638776262093,341.7608158084669,484.14255978576057,4.495954355871879,1.884971234580893
1,0.011,4644.423172729008,102.19080259643611,795.0247097566113,645.4594551915806,341.70789628274497,483.9108781603941,4.495383949626084,1.8844929685334944
2,0.022,4643.184212022031,153.26582892867847,794.6850761430056,645.1590508746636,341.6226541890855,483.6825356685586,4.49482719874851,1.8840262105636445
3,0.033,4641.931966309104,204.32708055807865,794.3456447078519,644.8570061035664,341.5380609386047,483.45282215399817,4.49426345523044,1.883553649144892
4,0.044,4640.679593853018,255.3745560904618,794.0064148747429,644.5551751406671,341.45362103311174,483.2232810975922,4.493699489168409,1.8830809604850296
5,0.0549999999999999,4639.426905734317,306.4082520535393,793.6673860706984,644.2535561293718,341.36918843154353,482.9939109749461,4.493135297056929,1.8826081417167069
6,0.0659999999999999,4638.1738721192505,357.42816464685103,793.328557725469,643.9521484304462,341.2847375518397,482.7647112748444,4.492570879819427,1.882135193685008
7,0.0769999999999999,4636.920489571328,408.43429003213566,792.9899292715199,643.6509514069767,341.2002640084694,482.5356814879033,4.492006238371192,1.8816621172278416
8,0.0879999999999999,4635.666759298466,459.4266243844188,792.6515001439994,643.3499644251414,341.11576715110795,482.3068211072143,4.491441373622271,1.881188913178368
9,0.0989999999999999,4634.412683316897,510.4051639009047,792.3132697807324,643.0491868541768,341.03124698687986,482.0781296283168,4.490876286477502,1.880715582365028
10,0.1099999999999999,4633.158263775229,561.3699048024322,791.9752376221883,642.748618066369,340.9467036380735,481.8496065491915,4.490310977836576,1.8802421256115984
11,0.1209999999999999,4631.903502835241,612.3208433336198,791.6374031114648,642.4482574370179,340.8621372465711,481.6212513702321,4.489745448594023,1.879768543737184
12,0.1319999999999999,4630.648402650984,663.2579757627806,791.2997656942698,642.1481043444218,340.777547956992,481.3930635942321,4.489179699639275,1.879294837556267
13,0.143,4629.392965365251,714.1812983817983,790.9623248188979,641.8481581698536,340.69293591383365,481.1650427263669,4.488613731856677,1.878821007878725
14,0.154,4628.137193108865,765.0908075059958,790.625079936208,641.5484182975372,340.608301260838,480.93718827417456,4.4880475461255225,1.8783470555098647
15,0.165,4626.881088000736,815.986499474004,790.2880304996122,641.2488841146239,340.5236441409944,480.7094997475373,4.487481143320082,1.8778729812504409
16,0.176,4625.624652147836,866.8683706476302,789.9511759650504,640.9495550111766,340.43896469646563,480.4819766586684,4.486914524309639,1.877398785896688
17,0.187,4624.36788764535,917.736417411729,789.614515790968,640.650430380143,340.3542630686388,480.2546185220909,4.486347689958508,1.876924470240348
18,0.198,4623.110796576636,968.590636174072,789.2780494383051,640.3515096173334,340.2695393980906,480.0274248546208,4.485780641126063,1.876450035068686
19,0.209,4621.853381013387,1019.4310233652192,788.9417763704706,640.0527921214056,340.1847938246001,479.8003951753542,4.485213378666783,1.8759754811645373
20,0.22,4620.59564301569,1070.2575754383918,788.6056960533258,639.7542772938375,340.1000264872093,479.57352900564536,4.484645903430256,1.8755008093063088
21,0.231,4619.337584632019,1121.070288869344,788.2698079551664,639.4559645389095,340.0152375241329,479.346825869093,4.484078216261224,1.875026020268021
22,0.242,4618.079207899335,1171.8691601562368,787.9341115467043,639.1578532636819,339.9304270728056,479.1202852915232,4.483510317999597,1.8745511148193208
23,0.253,4616.820514843244,1222.6541858195126,787.5986063010472,638.8599428779792,339.8455952699318,478.8939068009753,4.482942209480504,1.8740760937255256
24,0.264,4615.561507477922,1273.4253624017697,787.2632916936836,638.5622327943634,339.76074225142344,478.6676899276813,4.482373891534287,1.8736009577476265
25,0.2750000000000001,4614.302187806245,1324.1826864676384,786.9281672024628,638.2647224281183,339.6758681524193,478.4416342040537,4.481805364986556,1.873125707642325
26,0.2860000000000001,4613.0425578198965,1374.926154603657,786.5932323075768,637.9674111972297,339.5909731073318,478.2157391646696,4.481236630658207,1.8726503441620623
27,0.2970000000000001,4611.78261949934,1425.65576341815,786.2584864915448,637.6702985223626,339.5060572497909,477.990004346252,4.480667689365433,1.872174868055026
28,0.3080000000000001,4610.5223748139415,1476.3715095411033,785.9239292391942,637.3733838268442,339.4211207126912,477.764429287657,4.480098541919777,1.8716992800651893
29,0.3190000000000001,4609.261825722029,1527.0733896240456,785.5895600376437,637.0766665366452,339.3361636281751,477.5390135298584,4.47952918912814,1.871223580932334
30,0.3300000000000001,4608.000974170938,1577.761400339926,785.2553783762875,636.7801460803583,339.25118612764413,477.3137566159309,4.478959631792814,1.870747771392068
31,0.3410000000000001,4606.7398220971045,1628.435538382994,784.9213837467765,636.4838218891821,339.16618834177785,477.08865809103713,4.4783898707115055,1.8702718521758532
32,0.3520000000000001,4605.478371426065,1679.0958004686809,784.5875756430027,636.1876933968997,339.0811704005041,476.8637175024105,4.477819906677354,1.8697958240110224
33,0.3630000000000001,4604.216624072566,1729.742183333479,784.2539535610829,635.8917600398617,338.9961324330185,476.6389343993417,4.477249740478974,1.8693196876208136
34,0.3740000000000001,4602.954581940663,1780.3746837348262,783.9205169993406,635.5960212569678,338.9110745678285,476.4143083331645,4.476679372900463,1.8688434437243855
