,"Time      (s) at_1,100e-03","P comb (psia) at_1,100e-03","P crit (psia) at_1,100e-03"
0,0.0,434.9423662050308,484.14255978576057
1,0.001,434.9420224028664,484.1187808464804
2,0.002,434.94039585580987,484.0985732212471
3,0.003,434.9366796601586,484.0774984440519
4,0.004,434.9316235279031,484.0566364359419
5,0.005,434.92547089395737,484.0357244270044
6,0.006,434.9184902587739,484.0148263580316
7,0.007,434.9108685023203,483.9939266686417
8,0.008,434.9027542480106,483.97302914514273
9,0.009,434.89426070162415,483.95213286556
10,0.01,434.8854752669568,483.9312380538035
11,0.011,434.8764651373253,483.9103446548871
12,0.012,434.867282038828,483.8894526817115
13,0.013,434.85796577354944,483.86856213065016
14,0.014,434.848546972365,483.8476730021007
15,0.015,434.83904920711376,483.826785295482
16,0.016,434.829490617569,483.8058990104511
17,0.017,434.8198851631509,483.7850141466057
18,0.018,434.8102435862974,483.7641307035603
19,0.019,434.8005741537976,483.74324868092594
20,0.02,434.79088322729984,483.7223680783121
21,0.021,434.7811757023572,483.70148889532993
22,0.022,434.7714553463053,483.68061113159257
23,0.023,434.76172505826895,483.65973478670907
24,0.024,434.75198706923663,483.6388598602933
25,0.025,434.7422430960521,483.6179863519554
26,0.026,434.7324944599068,483.5971142613103
27,0.027,434.72274217751857,483.5762435879657
28,0.028,434.7129870312989,483.5553743315377
29,0.029,434.7032296233605,483.5345064916364
30,0.03,434.69347041708505,483.51364006787696
31,0.031,434.6837097690771,483.4927750598716
32,0.032,434.6739479537677,483.4719114672298
33,0.033,434.664185182384,483.4510492895704
34,0.034,434.65442161749775,483.4301885265031
35,0.035,434.6446573842394,483.40932917764303
36,0.036,434.63489257892456,483.38847124260303
37,0.037,434.62512727570174,483.3676147209986
38,0.038,434.6153615316725,483.3467596124416
39,0.039,434.60559539080174,483.32590591654736
40,0.04,434.5958288869544,483.3050536329301
41,0.041,434.5860620462212,483.2842027612057
42,0.042,434.5762948887128,483.2633533009872
43,0.043,434.5665274299356,483.24250525189103
44,0.044,434.556759681856,483.2216586135309
45,0.045,434.54699165371767,483.2008133855233
46,0.046,434.5372233526621,483.1799695674836
47,0.047,434.5274547842162,483.15912715902687
48,0.048,434.517685952669,483.13828615976735
49,0.049,434.5079168613558,483.1174465693246
50,0.05,434.498147512879,483.0966083873122
51,0.051,434.4883779092684,483.0757716133479
52,0.052,434.4786080521174,483.05493624704656
53,0.053,434.468837942692,483.0341022880269
54,0.054,434.45906758198765,483.0132697359034
55,0.055,434.4492969708112,482.9924385902952
56,0.056,434.43952610982143,482.971608850818
57,0.057,434.429754999547,482.9507805170898
58,0.058,434.4199836404394,482.92995358872855
59,0.059,434.4102120328663,482.9091280653508
60,0.06,434.4004401771519,482.8883039465749
61,0.061,434.3906680735882,482.86748123202
62,0.062,434.3808957224123,482.8466599213028
63,0.063,434.3711231238448,482.8258400140416
