,"Time      (s) at_1,280e-03","Thrust    (N) at_1,280e-03","P comb (psia) at_1,280e-03","P crit (psia) at_1,280e-03"
0,0.0,4682.073404207704,373.7960033732159,484.14255978576057
1,0.001,4681.943127344363,373.79650309940746,484.1187808464804
2,0.002,4681.843182143351,373.7953055388067,484.0985732212471
3,0.003,4681.733253083675,373.7920155909042,484.0774984440519
4,0.004,4681.623847071448,373.7874011099878,484.0566364359419
5,0.005,4681.512917609609,373.7817668636603,484.0357244270044
6,0.006,4681.401336104189,373.77539848735904,484.0148263580316
7,0.007,4681.289163754848,373.7684897965357,483.9939266686417
8,0.008,4681.176585659288,373.7611863434444,483.97302914514273
9,0.009,4681.063703133952,373.75359374945725,483.95213286556
10,0.01,4680.950598639575,373.7457895335903,483.9312380538035
11,0.011,4680.837330503015,373.7378303748431,483.9103446548871
12,0.012,4680.723941904021,373.7297577666829,483.8894526817115
13,0.013,4680.610464324526,373.7216020728007,483.86856213065016
14,0.014,4680.496920834345,373.71338551544414,483.8476730021007
15,0.015,4680.3833283105805,373.7051243576046,483.826785295482
16,0.016,4680.269699106911,373.6968305012158,483.8058990104511
17,0.017,4680.156042264386,373.68851265654416,483.7850141466057
18,0.018,4680.042364400244,373.6801771980827,483.7641307035603
19,0.019,4679.928670357714,373.671828790905,483.74324868092594
20,0.02,4679.814963681691,373.6634708490599,483.7223680783121
21,0.021,4679.701246966949,373.6551058710622,483.70148889532993
22,0.022,4679.587522112887,373.6467356854112,483.68061113159257
23,0.023,4679.473790509997,373.6383616302719,483.65973478670907
24,0.024,4679.360053176343,373.6299846849623,483.6388598602933
25,0.025,4679.246310857428,373.6216055661975,483.6179863519554
26,0.026,4679.132564099295,373.6132247985096,483.5971142613103
27,0.027,4679.01881330197,373.6048427657877,483.5762435879657
28,0.028,4678.905058758684,373.59645974899104,483.5553743315377
29,0.029,4678.791300684457,373.58807595376055,483.5345064916364
30,0.03,4678.677539237128,373.5796915306259,483.51364006787696
31,0.031,4678.563774532632,373.57130658977087,483.4927750598716
32,0.032,4678.450006656248,373.5629212118558,483.4719114672298
33,0.033,4678.336235670889,373.5545354559487,483.4510492895704
34,0.034,4678.222461623006,373.54614936530726,483.4301885265031
35,0.035,4678.108684547049,373.5377629716164,483.40932917764303
36,0.036,4677.994904468681,373.52937629809753,483.38847124260303
37,0.037,4677.88112140714,373.5209893617715,483.3676147209986
38,0.038,4677.767335376946,373.5126021751397,483.3467596124416
39,0.039,4677.6535463891805,373.50421474737215,483.32590591654736
40,0.04,4677.53975445241,373.4958270852216,483.3050536329301
41,0.041,4677.425959573345,373.487439193655,483.2842027612057
42,0.042,4677.312161757332,373.4790510763394,483.2633533009872
43,0.043,4677.198361008762,373.4706627359984,483.24250525189103
44,0.044,4677.084557331273,373.4622741746521,483.2216586135309
45,0.045,4676.970750728001,373.4538853938187,483.2008133855233
46,0.046,4676.856941201662,373.4454963946331,483.1799695674836
47,0.047,4676.743128754711,373.4371071779651,483.15912715902687
48,0.048,4676.629313389371,373.4287177444805,483.13828615976735
49,0.049,4676.515495107753,373.4203280947017,483.1174465693246
50,0.05,4676.401673911834,373.411938229049,483.0966083873122
51,0.051,4676.287849803495,373.40354814785866,483.0757716133479
52,0.052,4676.174022784565,373.39515785140566,483.05493624704656
53,0.053,4676.060192856852,373.3867673399325,483.0341022880269
54,0.054,4675.946360022088,373.37837661363886,483.0132697359034
55,0.055,4675.832524282014,373.36998567270825,482.9924385902952
56,0.056,4675.718685638349,373.3615945173156,482.971608850818
57,0.057,4675.604844092787,373.35320314761327,482.9507805170898
58,0.058,4675.490999647031,373.3448115637492,482.92995358872855
59,0.059,4675.377152302749,373.3364197658637,482.9091280653508
60,0.06,4675.263302061626,373.3280277540897,482.8883039465749
61,0.061,4675.1494489253455,373.3196355285692,482.86748123202
62,0.062,4675.035592895563,373.3112430894223,482.8466599213028
63,0.063,4674.921733973938,373.3028504367756,482.8258400140416
64,0.064,4674.807872162151,373.2944575707581,482.8050215098559
65,0.065,4674.694007461858,373.286064491497,482.78420440836345
66,0.066,4674.5801398747135,373.27767119911306,482.7633887091834
67,0.067,4674.466269402398,373.2692776937338,482.7425744119355
68,0.068,4674.352396046541,373.2608839754789,482.7217615162377
69,0.069,4674.238519808831,373.2524900444741,482.7009500217116
70,0.07,4674.1246406909,373.2440959008413,482.6801399279748
71,0.071,4674.010758694411,373.2357015447012,482.6593312346465
72,0.072,4673.896873821024,373.227306976183,482.6385239413478
73,0.073,4673.782986072384,373.2189121954014,482.61771804769865
74,0.074,4673.669095450138,373.2105172024796,482.5969135533188
75,0.075,4673.555201955952,373.2021219975412,482.57611045782863
76,0.076,4673.441305591473,373.1937265807071,482.5553087608503
77,0.077,4673.327406358353,373.1853309521057,482.53450846200224
78,0.078,4673.213504258224,373.1769351118493,482.5137095609054
79,0.079,4673.099599292756,373.16853906006287,482.4929120571831
80,0.08,4672.985691463569,373.1601427968644,482.4721159504539
81,0.081,4672.87178077234,373.1517463223793,482.4513212403409
82,0.082,4672.757867220703,373.14334963673423,482.4305279264658
83,0.083,4672.643950810293,373.1349527400444,482.409736008448
84,0.084,4672.530031542758,373.12655563242777,482.3889454859123
85,0.085,4672.416109419752,373.11815831401344,482.3681563584788
86,0.086,4672.302184442902,373.1097607849168,482.34736862577074
87,0.087,4672.188256613867,373.1013630452644,482.3265822874104
88,0.088,4672.074325934263,373.0929650951703,482.3057973430189
89,0.089,4671.960392405754,373.08456693476126,482.2850137922212
90,0.09,4671.846456029961,373.0761685641573,482.26423163463807
91,0.091,4671.732516808541,373.0677699834792,482.24345086989536
92,0.092,4671.618574743094,373.0593711928415,482.222671497612
93,0.093,4671.504629835293,373.0509721923721,482.2018935174148
94,0.094,4671.39068208677,373.0425729821903,482.1811169289272
95,0.095,4671.276731499145,373.03417356241584,482.1603417317712
96,0.096,4671.162778074053,373.02577393316886,482.139567925572
97,0.097,4671.048821813139,373.0173740945734,482.118795509952
98,0.098,4670.934862718015,373.008974046745,482.0980244845371
99,0.099,4670.820900790328,373.0005737898037,482.0772548489514
100,0.1,4670.706936031707,372.9921733238733,482.0564866028189
101,0.101,4670.592968443771,372.98377264907145,482.0357197457636
102,0.102,4670.478998028166,372.9753717655231,482.0149542774124
103,0.103,4670.365024786514,372.966970673347,481.99419019738895
104,0.104,4670.2510487204245,372.9585693726592,481.9734275053172
105,0.105,4670.13706983154,372.9501678635809,481.95266620082447
