,"Time      (s) at_1,220e-03","Thrust    (N) at_1,220e-03","P comb (psia) at_1,220e-03","P crit (psia) at_1,220e-03"
0,0.0,4700.240668507484,392.1721010319012,484.14255978576057
1,0.001,4700.151095922351,392.1776755798718,484.12282496776646
2,0.002,4700.003528530649,392.1744233722103,484.0975890631058
3,0.003,4699.9042826668165,392.1708777121162,484.07773775270937
4,0.004,4699.791687292034,392.1657173601562,484.056578037556
5,0.005,4699.6811550009015,392.1596947016776,484.0357384736842
6,0.006,4699.569237215329,392.1529474032605,484.0148227747573
7,0.007,4699.456998043859,392.1456807417825,483.9939273759656
8,0.008,4699.344345893958,392.1380225108866,483.9730288082237
9,0.009,4699.231427661712,392.1300739296124,483.9521327828148
10,0.01,4699.118300349834,392.1219088641324,483.9312379092013
11,0.011,4699.00501913368,392.1135826613259,483.91034452535416
12,0.012,4698.891621985063,392.1051364336338,483.8894525485212
13,0.013,4698.7781379259295,392.09660080645926,483.8685619983618
14,0.014,4698.664588376973,392.0879985720108,483.8476728696039
15,0.015,4698.550989329082,392.07934669792735,483.8267851630476
16,0.016,4698.437352675396,392.0706578144536,483.8058988780123
17,0.017,4698.3236872723055,392.06194132348753,483.7850140141799
18,0.018,4698.2099997122505,392.0532042236594,483.76413057114274
19,0.019,4698.09629490324,392.0444517246692,483.74324854851625
20,0.02,4697.982576499128,392.03568770452847,483.72236794591146
21,0.021,4697.868847220291,392.0269150499735,483.7014887629389
22,0.022,4697.755109092132,392.0181359098407,483.6806109992098
23,0.023,4697.641363622803,392.0093518837023,483.6597346543358
24,0.024,4697.527611935355,392.0005641622484,483.63885972792906
25,0.025,4697.413854866223,391.99177363183566,483.6179862196008
26,0.026,4697.300093038445,391.9829809522647,483.59711412896377
27,0.027,4697.1863269162295,391.9741866146926,483.5762434556289
28,0.028,4697.072556845568,391.9653909847561,483.55537419921006
29,0.029,4696.9587830843975,391.95659433463953,483.5345063593179
30,0.03,4696.845005825214,391.9477968669934,483.5136399355675
31,0.031,4696.731225211673,391.9389987326834,483.4927749275694
32,0.032,4696.617441351171,391.9302000440399,483.4719113349383
33,0.033,4696.503654324083,391.9214008847146,483.4510491572871
34,0.034,4696.389864190648,391.91260131700005,483.4301883942291
35,0.035,4696.276070996151,391.90380138730166,483.4093290453778
36,0.036,4696.162274774718,391.8950011301847,483.3884711103474
37,0.037,4696.048475552187,391.88620057142094,483.36761458875066
38,0.038,4695.934673348228,391.8773997302237,483.3467594802028
39,0.039,4695.8208681779015,391.8685986209253,483.3259057843182
40,0.04,4695.707060052839,391.859797254224,483.3050535007099
41,0.041,4695.59324898215,391.85099563811934,483.28420262899465
42,0.042,4695.479434973018,391.8421937785977,483.263353168785
43,0.043,4695.365618031251,391.8333916801545,483.2425051196971
44,0.044,4695.251798161566,391.8245893461581,483.22165848134665
45,0.045,4695.137975367926,391.81578677915854,483.2008132533481
