,"Time      (s) at_1,500e-03","P comb (psia) at_1,500e-03","P crit (psia) at_1,500e-03"
0,0.0,318.9711474353608,484.14255978576057
1,0.001,318.9726507863979,484.1187808464804
2,0.002,318.9719393635572,484.0985732212471
3,0.003,318.969083623689,484.0774984440519
4,0.004,318.9649089938977,484.0566364359419
5,0.005,318.95979260021284,484.0357244270044
6,0.006,318.9540391487099,484.0148263580316
7,0.007,318.9478464580543,483.9939266686417
8,0.008,318.9413529478784,483.97302914514273
9,0.009,318.93465290421545,483.95213286556
10,0.01,318.9278111638606,483.9312380538035
11,0.011,318.920872162051,483.9103446548871
12,0.012,318.91386638836894,483.8894526817115
13,0.013,318.9068147545083,483.86856213065016
14,0.014,318.8997316051276,483.8476730021007
15,0.015,318.8926267795985,483.826785295482
16,0.016,318.8855070270912,483.8058990104511
17,0.017,318.87837697705373,483.7850141466057
18,0.018,318.8712398049763,483.7641307035603
19,0.019,318.8640976890157,483.74324868092594
20,0.02,318.8569521232376,483.7223680783121
21,0.021,318.84980413247035,483.70148889532993
22,0.022,318.8426544196909,483.68061113159257
23,0.023,318.8355034671101,483.65973478670907
24,0.024,318.8283516055058,483.6388598602933
25,0.025,318.8211990617983,483.6179863519554
26,0.026,318.81404599166484,483.5971142613103
27,0.027,318.8068925019134,483.5762435879657
28,0.028,318.79973866583543,483.5553743315377
29,0.029,318.7925845337315,483.5345064916364
30,0.03,318.78543014014394,483.51364006787696
31,0.031,318.7782755087932,483.4927750598716
32,0.032,318.7711206559776,483.4719114672298
33,0.033,318.7639655929143,483.4510492895704
34,0.034,318.75681032733115,483.4301885265031
35,0.035,318.7496548645599,483.40932917764303
36,0.036,318.74249920828703,483.38847124260303
37,0.037,318.7353433610754,483.3676147209986
38,0.038,318.72818732472444,483.3467596124416
39,0.039,318.72103110049045,483.32590591654736
40,0.04,318.71387468927884,483.3050536329301
41,0.041,318.7067180917352,483.2842027612057
42,0.042,318.69956130833685,483.2633533009872
43,0.043,318.69240433944793,483.24250525189103
44,0.044,318.6852471853462,483.2216586135309
45,0.045,318.6780898462618,483.2008133855233
46,0.046,318.6709323223796,483.1799695674836
47,0.047,318.6637746138615,483.15912715902687
48,0.048,318.6566167208499,483.13828615976735
49,0.049,318.6494586434794,483.1174465693246
50,0.05,318.64230038187776,483.0966083873122
51,0.051,318.6351419361603,483.0757716133479
52,0.052,318.62798330643886,483.05493624704656
53,0.053,318.6208244928273,483.0341022880269
54,0.054,318.61366549543084,483.0132697359034
55,0.055,318.6065063143535,482.9924385902952
56,0.056,318.5993469497096,482.971608850818
57,0.057,318.5921874016034,482.9507805170898
58,0.058,318.5850276701414,482.92995358872855
59,0.059,318.5778677554265,482.9091280653508
60,0.06,318.5707076575635,482.8883039465749
61,0.061,318.5635473766673,482.86748123202
62,0.062,318.55638691283303,482.8466599213028
63,0.063,318.5492262661645,482.8258400140416
64,0.064,318.5420654367676,482.8050215098559
65,0.065,318.5349044247507,482.78420440836345
66,0.066,318.5277432302169,482.7633887091834
67,0.067,318.5205818532694,482.7425744119355
68,0.068,318.5134202940104,482.7217615162377
69,0.069,318.5062585525474,482.7009500217116
70,0.07,318.49909662898426,482.6801399279748
71,0.071,318.4919345234233,482.6593312346465
72,0.072,318.4847722359746,482.6385239413478
73,0.073,318.4776097667362,482.61771804769865
74,0.074,318.4704471158116,482.5969135533188
75,0.075,318.46328428330645,482.57611045782863
76,0.076,318.4561212693261,482.5553087608503
77,0.077,318.4489580739775,482.53450846200224
78,0.078,318.4417946973552,482.5137095609054
79,0.079,318.4346311395688,482.4929120571831
80,0.08,318.4274674007202,482.4721159504539
81,0.081,318.4203034809132,482.4513212403409
82,0.082,318.41313938025826,482.4305279264658
83,0.083,318.40597509885,482.409736008448
84,0.084,318.3988106367914,482.3889454859123
85,0.085,318.39164599419126,482.3681563584788
86,0.086,318.38448117115007,482.34736862577074
87,0.087,318.3773161677743,482.3265822874104
88,0.088,318.370150984162,482.3057973430189
89,0.089,318.3629856204222,482.2850137922212
90,0.09,318.3558200766554,482.26423163463807
91,0.091,318.34865435296393,482.24345086989536
92,0.092,318.34148844944906,482.222671497612
93,0.093,318.3343223662162,482.2018935174148
94,0.094,318.3271561033692,482.1811169289272
95,0.095,318.3199896610094,482.1603417317712
96,0.096,318.3128230392393,482.139567925572
97,0.097,318.305656238167,482.118795509952
98,0.098,318.29848925788804,482.0980244845371
99,0.099,318.2913220985055,482.0772548489514
100,0.1,318.2841547601265,482.0564866028189
101,0.101,318.27698724284875,482.0357197457636
102,0.102,318.2698195467805,482.0149542774124
103,0.103,318.2626516720233,481.99419019738895
104,0.104,318.25548361867453,481.9734275053172
105,0.105,318.2483153868397,481.95266620082447
106,0.106,318.2411469766216,481.9319062835371
107,0.107,318.2339783881216,481.9111477530779
108,0.108,318.22680962144426,481.8903906090747
109,0.109,318.21964067669,481.8696348511534
110,0.11,318.21247155395747,481.8488804789391
111,0.111,318.2053022533545,481.82812749205925
112,0.112,318.19813277497866,481.80737589013927
113,0.113,318.19096311893435,481.7866256728072
114,0.114,318.18379328532046,481.7658768396886
115,0.115,318.17662327424165,481.7451293904102
116,0.116,318.1694530857982,481.7243833246013
117,0.117,318.16228272009573,481.7036386418868
118,0.118,318.15511217723207,481.682895341895
119,0.119,318.1479414573121,481.6621534242543
120,0.12,318.1407705604322,481.6414128885917
121,0.1210000000000001,318.133599486699,481.620673734536
122,0.1220000000000001,318.1264282362119,481.5999359617135
123,0.1230000000000001,318.11925680906904,481.5791995697538
124,0.1240000000000001,318.1120852053773,481.5584645582855
125,0.125,318.10491342523454,481.537730926936
126,0.126,318.0977414687451,481.5169986753368
127,0.127,318.0905693360115,481.496267803114
128,0.128,318.0833970271272,481.4755383098972
129,0.1290000000000001,318.07622454219967,481.4548101953167
130,0.1300000000000001,318.0690518813251,481.4340834590012
131,0.1310000000000001,318.06187904461024,481.4133581005801
132,0.1320000000000001,318.05470603215343,481.392634119684
133,0.1330000000000001,318.0475328440557,481.3719115159421
134,0.1340000000000001,318.04035948041667,481.3511902889837
135,0.1350000000000001,318.0331859413374,481.3304704384408
136,0.1360000000000001,318.02601222692243,481.3097519639424
137,0.1370000000000001,318.0188383372686,481.28903486512047
138,0.1380000000000001,318.0116642724778,481.2683191416032
139,0.1390000000000001,318.00449003265044,481.2476047930241
140,0.1400000000000001,317.99731561788576,481.22689181901256
141,0.1410000000000001,317.990141028286,481.20618021920046
142,0.1420000000000001,317.98296626394927,481.1854699932195
143,0.1430000000000001,317.9757913249791,481.1647611407002
144,0.1440000000000001,317.96861621147457,481.1440536612743
145,0.1450000000000001,317.9614409235348,481.1233475545745
146,0.1460000000000001,317.95426546126225,481.1026428202327
147,0.1470000000000001,317.9470898247556,481.08193945788025
148,0.1480000000000001,317.93991401411694,481.0612374671492
149,0.1490000000000001,317.9327380294436,481.0405368476732
