,"Time      (s) at_1,800e-03","P comb (psia) at_1,800e-03","P crit (psia) at_1,800e-03"
0,0.0,265.7700994419652,484.14255978575807
1,0.001,265.7718796439131,484.1187808464809
2,0.002,265.77107396892086,484.098573221247
3,0.003,265.7682487294537,484.0774984440519
4,0.004,265.76426324798786,484.0566364359419
5,0.005,265.7595301662729,484.0357244270044
6,0.006,265.7543367499623,484.0148263580316
7,0.007,265.74885482225835,483.9939266686417
8,0.008,265.74319329326704,483.97302914514273
9,0.009,265.7374196381742,483.95213286556
10,0.01,265.7315760337115,483.9312380538035
11,0.011,265.7256887518413,483.9103446548871
12,0.012,265.7197741794931,483.8894526817115
13,0.013,265.71384253243497,483.86856213065016
14,0.014,265.7079001805534,483.8476730021007
15,0.015,265.70195109537485,483.826785295482
16,0.016,265.6959977531485,483.8058990104511
17,0.017,265.69004169780544,483.7850141466057
18,0.018,265.6840838919978,483.7641307035603
19,0.019,265.67812493594425,483.74324868092594
20,0.02,265.6721652039015,483.7223680783121
21,0.021,265.6662049292332,483.70148889532993
22,0.022,265.66024425747446,483.68061113159257
23,0.023,265.6542832793924,483.65973478670907
24,0.024,265.6483220516073,483.6388598602933
25,0.025,265.64236060945626,483.6179863519554
26,0.026,265.63639897500497,483.5971142613103
27,0.027,265.63043716204004,483.5762435879657
28,0.028,265.6244751791889,483.5553743315377
29,0.029,265.6185130318622,483.5345064916364
30,0.03,265.6125507234757,483.51364006787696
31,0.031,265.60658825618526,483.4927750598716
32,0.032,265.6006256313651,483.4719114672298
33,0.033,265.5946628499108,483.4510492895704
34,0.034,265.5886999124146,483.4301885265031
35,0.035,265.5827368192754,483.40932917764303
36,0.036,265.57677357077694,483.38847124260303
37,0.037,265.5708101671245,483.3676147209986
38,0.038,265.56484660848986,483.3467596124416
39,0.039,265.55888289500416,483.32590591654736
40,0.04,265.5529190267878,483.3050536329301
41,0.041,265.5469550039455,483.2842027612057
42,0.042,265.54099082657785,483.2633533009872
43,0.043,265.5350264947777,483.24250525189103
44,0.044,265.5290620086376,483.2216586135309
45,0.045,265.52309736825146,483.2008133855233
46,0.046,265.5171325737062,483.1799695674836
47,0.047,265.51116762509105,483.15912715902687
48,0.048,265.5052025224918,483.13828615976735
49,0.049,265.4992372659992,483.1174465693246
50,0.05,265.4932718557049,483.0966083873122
51,0.051,265.48730629169546,483.0757716133479
52,0.052,265.4813405740554,483.05493624704656
53,0.053,265.4753747028768,483.0341022880269
54,0.054,265.4694086782421,483.0132697359034
55,0.055,265.4634425002362,482.9924385902952
56,0.056,265.4574761689564,482.971608850818
57,0.057,265.45150968448263,482.9507805170898
58,0.058,265.44554304690627,482.92995358872855
59,0.059,265.4395762563123,482.9091280653508
60,0.06,265.4336093127882,482.8883039465749
61,0.061,265.4276422164264,482.86748123202
62,0.062,265.4216749673102,482.8466599213028
63,0.063,265.4157075655229,482.8258400140416
64,0.064,265.40974001115563,482.8050215098559
65,0.065,265.40377230429544,482.78420440836345
66,0.066,265.39780444502765,482.7633887091834
67,0.067,265.3918364334404,482.7425744119355
68,0.068,265.3858682696199,482.7217615162377
69,0.069,265.3798999536556,482.7009500217116
70,0.07,265.37393148563064,482.6801399279748
71,0.071,265.3679628656334,482.6593312346465
72,0.072,265.36199409375547,482.6385239413478
73,0.073,265.3560251700773,482.61771804769865
74,0.074,265.3500560946851,482.5969135533188
75,0.075,265.34408686766926,482.57611045782863
76,0.076,265.33811748911336,482.5553087608503
77,0.077,265.3321479591086,482.53450846200224
