,"Time      (s) at_1,260e-03","Thrust    (N) at_1,260e-03","P comb (psia) at_1,260e-03","P crit (psia) at_1,260e-03"
0,0.0,4688.131741494452,379.7272120570441,484.14255978576057
1,0.001,4688.001317271555,379.7277596938946,484.1187808464804
2,0.002,4687.9013329938025,379.72661895709257,484.0985732212471
3,0.003,4687.791397304332,379.72336088471576,484.0774984440519
4,0.004,4687.682009172115,379.7187571068375,484.0566364359419
5,0.005,4687.571107522858,379.7131109956267,484.0357244270044
6,0.006,4687.459557292242,379.7067102310594,484.0148263580316
7,0.007,4687.347415442175,379.69975089055777,483.9939266686417
8,0.008,4687.234864966017,379.6923811082067,483.97302914514273
9,0.009,4687.122006220506,379.68470898847767,483.95213286556
10,0.01,4687.008921428574,379.6768143260388,483.9312380538035
11,0.011,4686.895669075862,379.66875579747926,483.9103446548871
12,0.012,4686.782292705559,379.66057660396496,483.8894526817115
13,0.013,4686.668824247007,379.6523085395323,483.86856213065016
14,0.014,4686.555287231118,379.6439750061995,483.8476730021007
15,0.015,4686.4416989708125,379.6355932282263,483.826785295482
16,0.016,4686.32807221112,379.62717588307424,483.8058990104511
17,0.017,4686.214416332799,379.61873230158506,483.7850141466057
18,0.018,4686.100738240922,379.6102693514361,483.7641307035603
19,0.019,4685.987043018242,379.60179208734513,483.74324868092594
20,0.02,4685.873334406198,379.5933042296574,483.7223680783121
21,0.021,4685.759615159032,379.5848085165968,483.70148889532993
22,0.022,4685.645887304378,379.5763069635466,483.68061113159257
23,0.023,4685.532152335035,379.56780105385855,483.65973478670907
24,0.024,4685.418411350181,379.55929187930775,483.6388598602933
25,0.025,4685.30466515926,379.55078024347216,483.6179863519554
26,0.026,4685.1909143585,379.5422667378149,483.5971142613103
27,0.027,4685.077159387132,379.5337517976728,483.5762435879657
28,0.028,4684.963400568916,379.5252357434838,483.5553743315377
29,0.029,4684.849638142555,379.5167188111133,483.5345064916364
30,0.03,4684.735872284208,379.5082011742007,483.51364006787696
31,0.031,4684.622103123956,379.4996829605629,483.4927750598716
32,0.032,4684.508330757957,379.491164264304,483.4719114672298
33,0.033,4684.394555257489,379.4826451547178,483.4510492895704
34,0.034,4684.280776675408,379.4741256828378,483.4301885265031
35,0.035,4684.16699505107,379.465605886254,483.40932917764303
