,"Time      (s) efficiency_9,650e-01","Thrust    (N) efficiency_9,650e-01"
0,0.0,3702.742785188812
1,0.001,3702.654478077985
2,0.002,3702.580068922787
3,0.003,3702.497460851861
4,0.004,3702.413828926181
5,0.005,3702.328898902781
6,0.006,3702.243426681665
7,0.007,3702.157625184255
8,0.008,3702.07165249265
9,0.009,3701.98558495961
10,0.01,3701.899465967848
11,0.011,3701.813318580645
12,0.012,3701.727155387641
13,0.013,3701.6409831883407
14,0.014,3701.5548056707994
15,0.015,3701.468624832036
16,0.016,3701.3824417541737
17,0.017,3701.2962570234818
18,0.018,3701.210070957696
19,0.019,3701.1238837290393
20,0.02,3701.037695430932
21,0.021,3700.951506114109
22,0.022,3700.86531580618
23,0.023,3700.779124522243
24,0.024,3700.6929322705873
25,0.025,3700.606739055836
26,0.026,3700.5205448806296
27,0.027,3700.434349746528
28,0.028,3700.348153654488
29,0.029,3700.261956605184
30,0.03,3700.175758599089
31,0.031,3700.089559636586
32,0.032,3700.0033597180286
33,0.033,3699.917158843734
34,0.034,3699.830957013997
35,0.035,3699.7447542290897
36,0.036,3699.658550489324
37,0.037,3699.572345794977
38,0.038,3699.486140146321
39,0.039,3699.399933543652
40,0.04,3699.3137259872287
41,0.041,3699.227517477352
42,0.042,3699.141308014286
43,0.043,3699.055097598332
44,0.044,3698.9688862297503
45,0.045,3698.882673908829
46,0.046,3698.7964606358464
47,0.047,3698.710246411078
48,0.048,3698.6240312348086
49,0.049,3698.537815107313
50,0.05,3698.45159802888
51,0.051,3698.365379999779
52,0.052,3698.279161020287
53,0.053,3698.192941090691
54,0.054,3698.106720211252
55,0.055,3698.020498382281
56,0.056,3697.934275604018
57,0.057,3697.848051876768
58,0.058,3697.761827200792
59,0.059,3697.675601576381
60,0.06,3697.589375003807
61,0.061,3697.503147483344
62,0.062,3697.4169190152734
63,0.063,3697.330689599869
64,0.064,3697.2444592374063
65,0.065,3697.158227928173
66,0.066,3697.0719956724383
67,0.067,3696.985762470476
68,0.068,3696.899528322573
69,0.069,3696.81329322898
70,0.07,3696.727057190004
71,0.071,3696.6408202059065
72,0.072,3696.5545822769623
73,0.073,3696.468343403453
74,0.074,3696.382103585648
75,0.075,3696.295862823828
76,0.076,3696.2096211182647
77,0.077,3696.1233784692345
78,0.078,3696.0371348770095
79,0.079,3695.950890341872
80,0.08,3695.864644864089
81,0.081,3695.7783984439434
82,0.082,3695.692151081698
83,0.083,3695.605902777647
84,0.084,3695.519653532036
85,0.085,3695.433403345159
86,0.086,3695.34715221728
87,0.087,3695.2609001486817
88,0.088,3695.174647139637
89,0.089,3695.088393190419
90,0.09,3695.002138301296
91,0.091,3694.915882472535
92,0.092,3694.829625704425
93,0.093,3694.7433679972296
94,0.094,3694.6571093512207
95,0.095,3694.570849766675
96,0.096,3694.4845892438666
97,0.097,3694.398327783064
98,0.098,3694.312065384545
99,0.099,3694.225802048572
100,0.1,3694.1395377754175
101,0.101,3694.053272565367
102,0.102,3693.9670064186766
103,0.103,3693.8807393356224
104,0.104,3693.7944713164857
105,0.105,3693.708202361525
106,0.106,3693.621932471011
107,0.107,3693.5356616452304
108,0.108,3693.449389884431
109,0.109,3693.3631171889087
110,0.11,3693.276843558912
111,0.111,3693.190568994724
112,0.112,3693.1042934966135
113,0.113,3693.018017064852
114,0.114,3692.9317396997
115,0.115,3692.8454614014354
116,0.116,3692.7591821703263
117,0.117,3692.672902006636
118,0.118,3692.5866209106503
119,0.119,3692.5003388826176
120,0.12,3692.414055922831
121,0.1210000000000001,3692.327772031538
122,0.1220000000000001,3692.241487209022
123,0.1230000000000001,3692.155201455536
124,0.1240000000000001,3692.0689147713656
125,0.125,3691.982627156776
126,0.126,3691.896338612029
127,0.127,3691.810049137389
128,0.128,3691.723758733138
129,0.1290000000000001,3691.637467399528
130,0.1300000000000001,3691.5511751368376
131,0.1310000000000001,3691.464881945335
132,0.1320000000000001,3691.378587825279
133,0.1330000000000001,3691.292292776954
134,0.1340000000000001,3691.205996800608
135,0.1350000000000001,3691.1196998965256
136,0.1360000000000001,3691.033402064952
137,0.1370000000000001,3690.947103306171
138,0.1380000000000001,3690.8608036204464
139,0.1390000000000001,3690.77450300804
140,0.1400000000000001,3690.688201469228
141,0.1410000000000001,3690.601899004261
142,0.1420000000000001,3690.515595613421
143,0.1430000000000001,3690.429291296967
144,0.1440000000000001,3690.3429860551546
145,0.1450000000000001,3690.256679888272
146,0.1460000000000001,3690.170372796566
147,0.1470000000000001,3690.084064780316
148,0.1480000000000001,3689.997755839777
149,0.1490000000000001,3689.911445975221
150,0.1500000000000001,3689.8251351869103
151,0.1510000000000001,3689.738823475104
152,0.1520000000000001,3689.652510840068
153,0.1530000000000001,3689.566197282077
154,0.1540000000000001,3689.479882801391
155,0.1550000000000001,3689.393567398265
156,0.1560000000000001,3689.3072510729776
157,0.1570000000000001,3689.2209338257903
158,0.1580000000000001,3689.134615656958
159,0.1590000000000001,3689.0482965667497
160,0.1600000000000001,3688.9619765554335
161,0.1610000000000001,3688.8756556232606
162,0.1620000000000001,3688.789333770505
163,0.1630000000000001,3688.703010997425
164,0.1640000000000001,3688.616687304295
165,0.1650000000000001,3688.530362691364
166,0.1660000000000001,3688.4440371588976
167,0.1670000000000001,3688.357710707164
168,0.1680000000000001,3688.27138333642
169,0.1690000000000001,3688.1850550469335
170,0.1700000000000001,3688.098725838972
171,0.1710000000000001,3688.012395712776
172,0.1720000000000001,3687.9260646686257
173,0.1730000000000001,3687.8397327067823
174,0.1740000000000001,3687.7533998275007
175,0.1750000000000001,3687.667066031046
176,0.1760000000000001,3687.5807313176815
177,0.1770000000000001,3687.494395687665
178,0.1780000000000001,3687.4080591412594
179,0.1790000000000001,3687.3217216787366
180,0.1800000000000001,3687.235383300328
181,0.1810000000000001,3687.149044006335
182,0.1820000000000001,3687.062703796972
183,0.1830000000000001,3686.976362672527
184,0.1840000000000001,3686.890020633274
185,0.1850000000000001,3686.803677679451
186,0.1860000000000001,3686.717333811324
187,0.1870000000000001,3686.630989029139
188,0.1880000000000001,3686.5446433331936
189,0.1890000000000001,3686.458296723711
190,0.1900000000000001,3686.371949200968
191,0.1910000000000001,3686.285600765217
192,0.1920000000000001,3686.1992514167214
193,0.1930000000000001,3686.112901155739
194,0.1940000000000001,3686.0265499825286
195,0.1950000000000001,3685.94019789735
196,0.1960000000000001,3685.853844900456
197,0.1970000000000001,3685.767490992119
198,0.1980000000000001,3685.681136172583
199,0.1990000000000001,3685.59478044212
200,0.2000000000000001,3685.5084238009713
201,0.2010000000000001,3685.422066249415
202,0.2020000000000001,3685.3357077876967
203,0.2030000000000001,3685.2493484160655
204,0.2040000000000001,3685.162988134799
205,0.2050000000000001,3685.07662694415
206,0.2060000000000001,3684.990264844361
207,0.2070000000000001,3684.903901835703
208,0.2080000000000001,3684.817537918441
209,0.2090000000000001,3684.7311730928022
210,0.2100000000000001,3684.644807359082
211,0.2110000000000001,3684.5584407175097
212,0.2120000000000001,3684.4720731683474
213,0.2130000000000001,3684.385704711856
214,0.2140000000000001,3684.299335348286
215,0.2150000000000001,3684.2129650779143
216,0.2160000000000001,3684.126593900956
217,0.2170000000000001,3684.040221817702
218,0.2180000000000001,3683.953848828397
219,0.2190000000000001,3683.8674749332986
220,0.2200000000000001,3683.781100132665
221,0.2210000000000001,3683.694724426744
222,0.2220000000000001,3683.6083478158
223,0.2230000000000001,3683.521970300081
224,0.2240000000000001,3683.435591879834
225,0.2250000000000001,3683.3492125553353
226,0.2260000000000001,3683.262832326824
227,0.2270000000000001,3683.1764511945553
228,0.2280000000000001,3683.09006915879
229,0.2290000000000001,3683.003686219783
230,0.2300000000000001,3682.917302377773
231,0.2310000000000001,3682.830917633037
232,0.2320000000000001,3682.74453198581
233,0.2330000000000001,3682.658145436364
234,0.2340000000000001,3682.571757984941
235,0.2350000000000001,3682.4853696317928
236,0.2360000000000001,3682.398980377178
237,0.2370000000000001,3682.3125902213487
238,0.2380000000000001,3682.2261991645455
239,0.2390000000000001,3682.139807207055
240,0.2400000000000001,3682.053414349094
241,0.2410000000000002,3681.967020590931
242,0.2420000000000002,3681.880625932812
243,0.2430000000000002,3681.794230375008
244,0.2440000000000002,3681.707833917749
245,0.2450000000000002,3681.621436561301
246,0.2460000000000002,3681.5350383059113
247,0.2470000000000002,3681.448639151828
248,0.2480000000000002,3681.362239099308
249,0.2490000000000002,3681.275838148603
250,0.2500000000000001,3681.189436299968
251,0.2510000000000001,3681.103033553644
252,0.2520000000000001,3681.0166299098887
253,0.2530000000000001,3680.930225368946
254,0.2540000000000001,3680.843819931086
255,0.2550000000000001,3680.7574135965374
256,0.2560000000000001,3680.6710063655614
257,0.2570000000000002,3680.584598238406
258,0.2580000000000002,3680.498189215328
259,0.2590000000000002,3680.411779296581
260,0.2600000000000002,3680.3253684823967
261,0.2610000000000002,3680.2389567730406
262,0.2620000000000002,3680.152544168756
263,0.2630000000000002,3680.066130669789
264,0.2640000000000002,3679.97971627641
265,0.2650000000000002,3679.8933009888383
266,0.2660000000000002,3679.8068848073503
267,0.2670000000000002,3679.720467732175
268,0.2680000000000002,3679.634049763568
269,0.2690000000000002,3679.5476309017904
270,0.2700000000000002,3679.461211147071
271,0.2710000000000002,3679.3747904996726
272,0.2720000000000002,3679.2883689598434
273,0.2730000000000002,3679.2019465278254
274,0.2740000000000002,3679.115523203864
275,0.2750000000000002,3679.02909898822
276,0.2760000000000002,3678.942673881132
277,0.2770000000000002,3678.8562478828494
278,0.2780000000000002,3678.769820993624
279,0.2790000000000002,3678.683393213703
280,0.2800000000000002,3678.596964543317
281,0.2810000000000002,3678.510534982743
282,0.2820000000000002,3678.424104532212
283,0.2830000000000002,3678.3376731919634
284,0.2840000000000002,3678.2512409622623
285,0.2850000000000002,3678.164807843348
286,0.2860000000000002,3678.078373835465
287,0.2870000000000002,3677.991938938853
288,0.2880000000000002,3677.9055031537673
289,0.2890000000000002,3677.819066480456
290,0.2900000000000002,3677.732628919166
291,0.2910000000000002,3677.646190470135
292,0.2920000000000002,3677.55975113361
293,0.2930000000000002,3677.473310909851
294,0.2940000000000002,3677.386869799089
295,0.2950000000000002,3677.300427801564
296,0.2960000000000002,3677.213984917551
297,0.2970000000000002,3677.127541147261
298,0.2980000000000002,3677.0410964909615
299,0.2990000000000002,3676.9546509488846
300,0.3000000000000002,3676.8682045212745
301,0.3010000000000002,3676.781757208388
302,0.3020000000000002,3676.695309010466
303,0.3030000000000002,3676.608859927757
304,0.3040000000000002,3676.5224099604857
305,0.3050000000000002,3676.4359591089137
306,0.3060000000000002,3676.3495073732793
307,0.3070000000000002,3676.263054753837
308,0.3080000000000002,3676.176601250812
309,0.3090000000000002,3676.090146864464
310,0.3100000000000002,3676.0036915950177
311,0.3110000000000002,3675.917235442748
312,0.3120000000000002,3675.830778407868
313,0.3130000000000002,3675.74432049064
314,0.3140000000000002,3675.65786169129
315,0.3150000000000002,3675.571402010077
