,"Time      (s) at_1,600e-03","P comb (psia) at_1,600e-03","P crit (psia) at_1,600e-03"
0,0.0,299.0282382090011,484.14255978576057
1,0.001,299.0291383588704,484.1187808464804
2,0.002,299.02792943981217,484.0985732212471
3,0.003,299.02477436002425,484.0774984440519
4,0.004,299.0204569579632,484.0566364359419
5,0.005,299.0153342343329,484.0357244270044
6,0.006,299.009683638618,484.0148263580316
7,0.007,299.0036799789576,483.9939266686417
8,0.008,298.99744189403503,483.97302914514273
9,0.009,298.9910477171276,483.95213286556
10,0.01,298.98454968981537,483.9312380538035
11,0.011,298.97798252487024,483.9103446548871
12,0.012,298.9713693186489,483.8894526817115
13,0.013,298.9647254308359,483.86856213065016
14,0.014,298.9580610778112,483.8476730021007
15,0.015,298.95138305447057,483.826785295482
16,0.016,298.9446958801668,483.8058990104511
17,0.017,298.93800256074064,483.7850141466057
18,0.018,298.9313050954032,483.7641307035603
19,0.019,298.9246048138465,483.74324868092594
20,0.02,298.917902600461,483.7223680783121
21,0.021,298.9111990434732,483.70148889532993
22,0.022,298.9044945341392,483.68061113159257
23,0.023,298.8977893327097,483.65973478670907
24,0.024,298.8910836123001,483.6388598602933
25,0.025,298.88437748808013,483.6179863519554
26,0.026,298.8776710366822,483.5971142613103
27,0.027,298.8709643091004,483.5762435879657
28,0.028,298.864257339282,483.5553743315377
29,0.029,298.8575501498362,483.5345064916364
30,0.03,298.8508427558388,483.51364006787696
31,0.031,298.844135167347,483.4927750598716
32,0.032,298.8374273910765,483.4719114672298
33,0.033,298.83071943153266,483.4510492895704
34,0.034,298.8240112917474,483.4301885265031
35,0.035,298.8173029737658,483.40932917764303
36,0.036,298.8105944789808,483.38847124260303
37,0.037,298.80388580835034,483.3676147209986
38,0.038,298.79717696255244,483.3467596124416
39,0.039,298.7904679420654,483.32590591654736
40,0.04,298.78375874724566,483.3050536329301
41,0.041,298.77704937835506,483.2842027612057
42,0.042,298.770339835608,483.2633533009872
43,0.043,298.76363011917624,483.24250525189103
44,0.044,298.7569202292076,483.2216586135309
45,0.045,298.75021016583673,483.2008133855233
46,0.046,298.74349992918445,483.1799695674836
47,0.047,298.73678951936006,483.15912715902687
48,0.048,298.73007893647224,483.13828615976735
49,0.049,298.7233681806277,483.1174465693246
50,0.05,298.71665725193424,483.0966083873122
51,0.051,298.7099461504925,483.0757716133479
52,0.052,298.7032348763974,483.05493624704656
53,0.053,298.69652342975405,483.0341022880269
54,0.054,298.68981181065715,483.0132697359034
55,0.055,298.68310001920355,482.9924385902952
56,0.056,298.67638805549984,482.971608850818
57,0.057,298.6696759196396,482.9507805170898
58,0.058,298.66296361172294,482.92995358872855
59,0.059,298.65625113184774,482.9091280653508
60,0.06,298.6495384801097,482.8883039465749
61,0.061,298.6428256566178,482.86748123202
62,0.062,298.63611266145915,482.8466599213028
63,0.063,298.6293994947327,482.8258400140416
64,0.064,298.62268615653886,482.8050215098559
65,0.065,298.61597264697576,482.78420440836345
66,0.066,298.6092589661423,482.7633887091834
67,0.067,298.6025451141346,482.7425744119355
68,0.068,298.59583109104926,482.7217615162377
69,0.069,298.589116896986,482.7009500217116
70,0.07,298.5824025320429,482.6801399279748
71,0.071,298.57568799631565,482.6593312346465
72,0.072,298.56897328990726,482.6385239413478
73,0.073,298.5622584129103,482.61771804769865
74,0.074,298.5555433654195,482.5969135533188
75,0.075,298.54882814753705,482.57611045782863
76,0.076,298.5421127593598,482.5553087608503
77,0.077,298.5353972009882,482.53450846200224
78,0.078,298.52868147251223,482.5137095609054
79,0.079,298.521965574034,482.4929120571831
80,0.08,298.51524950564567,482.4721159504539
81,0.081,298.5085332674501,482.4513212403409
82,0.082,298.50181685954607,482.4305279264658
83,0.083,298.495100282026,482.409736008448
84,0.084,298.4883835349846,482.3889454859123
85,0.085,298.48166661852554,482.3681563584788
86,0.086,298.4749495327416,482.34736862577074
87,0.087,298.46823227773183,482.3265822874104
88,0.088,298.4615148535893,482.3057973430189
89,0.089,298.45479726041424,482.2850137922212
90,0.09,298.44807949830374,482.26423163463807
91,0.091,298.44136156735226,482.24345086989536
92,0.092,298.4346434676557,482.222671497612
93,0.093,298.4279251993121,482.2018935174148
94,0.094,298.4212067624184,482.1811169289272
95,0.095,298.4144881570704,482.1603417317712
96,0.096,298.40776938336626,482.139567925572
97,0.097,298.4010504414016,482.118795509952
98,0.098,298.3943313312694,482.0980244845371
99,0.099,298.3876120530673,482.0772548489514
100,0.1,298.38089260689605,482.0564866028189
101,0.101,298.37417299284385,482.0357197457636
102,0.102,298.3674532110148,482.0149542774124
103,0.103,298.36073326150284,481.99419019738895
104,0.104,298.35401314440065,481.9734275053172
105,0.105,298.34729285980603,481.95266620082447
106,0.106,298.3405724078167,481.9319062835371
107,0.107,298.3338517885266,481.9111477530779
108,0.108,298.32713100203387,481.8903906090747
109,0.109,298.3204100484329,481.8696348511534
110,0.11,298.3136889278149,481.8488804789391
111,0.111,298.3069676402825,481.82812749205925
112,0.112,298.30024618592864,481.80737589013927
113,0.113,298.29352456484725,481.7866256728072
114,0.114,298.2868027771336,481.7658768396886
