,"Time      (s) efficiency_9,900e-01","Thrust    (N) efficiency_9,900e-01"
0,0.0,3812.181304666075
1,0.001,3812.090413710594
2,0.002,3812.013955306357
3,0.003,3811.929134611315
4,0.004,3811.84330034722
5,0.005,3811.7561522611713
6,0.006,3811.6684581768063
7,0.007,3811.580431773571
8,0.008,3811.492232757969
9,0.009,3811.403938085116
10,0.01,3811.315591516911
11,0.011,3811.227216306508
12,0.012,3811.1388251475823
13,0.013,3811.050424894567
14,0.014,3810.9620192649327
15,0.015,3810.8736102713656
16,0.016,3810.785199004352
17,0.017,3810.696786054614
18,0.018,3810.608371742268
19,0.019,3810.5199562408
20,0.02,3810.431539644315
21,0.021,3810.343122003917
22,0.022,3810.2547033474234
23,0.023,3810.166283690021
24,0.024,3810.077863040061
25,0.025,3809.9894414022096
26,0.026,3809.901018779146
27,0.027,3809.8125951724137
28,0.028,3809.724170582992
29,0.029,3809.635745011578
30,0.03,3809.547318458629
31,0.031,3809.458890924567
32,0.032,3809.3704624097327
33,0.033,3809.282032914453
34,0.034,3809.193602439031
35,0.035,3809.105170983749
36,0.036,3809.016738548927
37,0.037,3808.928305134846
38,0.038,3808.839870741782
39,0.039,3808.751435370045
40,0.04,3808.662999019898
41,0.041,3808.5745616916506
42,0.042,3808.486123385574
43,0.043,3808.397684101973
44,0.044,3808.3092438411177
45,0.045,3808.220802603303
46,0.046,3808.132360388816
47,0.047,3808.0439171979424
48,0.048,3807.955473030956
49,0.049,3807.8670278881686
50,0.05,3807.778581769847
51,0.051,3807.690134676289
52,0.052,3807.601686607772
53,0.053,3807.513237564578
54,0.054,3807.424787547009
55,0.055,3807.3363365553264
56,0.056,3807.247884589833
57,0.057,3807.159431650823
58,0.058,3807.070977738552
59,0.059,3806.982522853328
60,0.06,3806.894066995432
61,0.061,3806.805610165138
62,0.062,3806.7171523627376
63,0.063,3806.628693588519
64,0.064,3806.540233842752
65,0.065,3806.45177312574
66,0.066,3806.363311437761
67,0.067,3806.274848779089
68,0.068,3806.186385150015
69,0.069,3806.097920550812
70,0.07,3806.009454981782
71,0.071,3805.9209884431993
72,0.072,3805.832520935341
73,0.073,3805.744052458498
74,0.074,3805.655583012945
75,0.075,3805.567112598975
76,0.076,3805.478641216861
77,0.077,3805.390168866888
78,0.078,3805.301695549342
79,0.079,3805.2132212644983
80,0.08,3805.1247460126456
81,0.081,3805.036269794061
82,0.082,3804.947792609026
83,0.083,3804.8593144578326
84,0.084,3804.770835340735
85,0.085,3804.682355258043
86,0.086,3804.593874210024
87,0.087,3804.5053921969584
88,0.088,3804.4169092191273
89,0.089,3804.328425276822
90,0.09,3804.239940370313
91,0.091,3804.151454499874
92,0.092,3804.0629676658
93,0.093,3803.974479868364
94,0.094,3803.8859911078393
95,0.095,3803.797501384513
96,0.096,3803.709010698667
97,0.097,3803.620519050573
98,0.098,3803.532026440521
99,0.099,3803.443532868779
100,0.1,3803.355038335629
101,0.101,3803.2665428413575
102,0.102,3803.178046386229
103,0.103,3803.089548970536
104,0.104,3803.001050594549
105,0.105,3802.912551258544
106,0.106,3802.824050962802
107,0.107,3802.735549707615
108,0.108,3802.647047493232
109,0.109,3802.55854431996
110,0.11,3802.47004018805
111,0.111,3802.381535097799
112,0.112,3802.293029049479
113,0.113,3802.204522043369
114,0.114,3802.1160140797406
115,0.115,3802.0275051588665
116,0.116,3801.938995281033
117,0.117,3801.850484446514
118,0.118,3801.761972655581
119,0.119,3801.673459908513
120,0.12,3801.584946205596
121,0.1210000000000001,3801.496431547098
122,0.1220000000000001,3801.4079159332846
123,0.1230000000000001,3801.319399364448
124,0.1240000000000001,3801.230881840855
125,0.125,3801.142363362784
126,0.126,3801.053843930513
127,0.127,3800.965323544301
128,0.128,3800.876802204448
129,0.1290000000000001,3800.7882799112062
130,0.1300000000000001,3800.699756664862
131,0.1310000000000001,3800.611232465694
132,0.1320000000000001,3800.52270731396
133,0.1330000000000001,3800.43418120996
134,0.1340000000000001,3800.345654153944
135,0.1350000000000001,3800.257126146198
136,0.1360000000000001,3800.1685971869865
137,0.1370000000000001,3800.0800672765913
138,0.1380000000000001,3799.991536415292
139,0.1390000000000001,3799.9030046033454
140,0.1400000000000001,3799.81447184104
141,0.1410000000000001,3799.725938128636
142,0.1420000000000001,3799.637403466421
143,0.1430000000000001,3799.548867854662
144,0.1440000000000001,3799.460331293613
145,0.1450000000000001,3799.3717937835786
146,0.1460000000000001,3799.283255324803
147,0.1470000000000001,3799.194715917583
148,0.1480000000000001,3799.10617556218
149,0.1490000000000001,3799.017634258862
150,0.1500000000000001,3798.9290920079056
151,0.1510000000000001,3798.840548809576
152,0.1520000000000001,3798.752004664144
153,0.1530000000000001,3798.663459571896
154,0.1540000000000001,3798.574913533093
155,0.1550000000000001,3798.4863665480034
156,0.1560000000000001,3798.397818616907
157,0.1570000000000001,3798.309269740072
158,0.1580000000000001,3798.22071991776
159,0.1590000000000001,3798.132169150252
160,0.1600000000000001,3798.0436174378183
161,0.1610000000000001,3797.955064780727
162,0.1620000000000001,3797.866511179229
163,0.1630000000000001,3797.777956633632
164,0.1640000000000001,3797.689401144178
165,0.1650000000000001,3797.600844711148
166,0.1660000000000001,3797.512287334805
167,0.1670000000000001,3797.4237290154274
168,0.1680000000000001,3797.335169753277
169,0.1690000000000001,3797.246609548627
170,0.1700000000000001,3797.1580484017536
171,0.1710000000000001,3797.069486312911
172,0.1720000000000001,3796.9809232823663
173,0.1730000000000001,3796.892359310399
174,0.1740000000000001,3796.80379439728
175,0.1750000000000001,3796.715228543263
176,0.1760000000000001,3796.626661748633
177,0.1770000000000001,3796.5380940136474
178,0.1780000000000001,3796.449525338584
179,0.1790000000000001,3796.3609557237055
180,0.1800000000000001,3796.272385169263
181,0.1810000000000001,3796.1838136755614
182,0.1820000000000001,3796.0952412428182
183,0.1830000000000001,3796.0066678713374
184,0.1840000000000001,3795.918093561392
185,0.1850000000000001,3795.829518313225
186,0.1860000000000001,3795.740942127112
187,0.1870000000000001,3795.652365003309
188,0.1880000000000001,3795.5637869421166
189,0.1890000000000001,3795.475207943766
190,0.1900000000000001,3795.3866280085385
191,0.1910000000000001,3795.298047136689
192,0.1920000000000001,3795.209465328501
193,0.1930000000000001,3795.1208825842286
194,0.1940000000000001,3795.0322989041415
195,0.1950000000000001,3794.943714288501
196,0.1960000000000001,3794.855128737576
197,0.1970000000000001,3794.766542251631
198,0.1980000000000001,3794.67795483093
199,0.1990000000000001,3794.589366475748
200,0.2000000000000001,3794.500777186332
