,"Time      (s) efficiency_9,550e-01","Thrust    (N) efficiency_9,550e-01"
0,0.0,3658.9638115218654
1,0.001,3658.8765353385297
2,0.002,3658.8029445421625
3,0.003,3658.721220879029
4,0.004,3658.638469624441
5,0.005,3658.554426767326
6,0.006,3658.4698433442486
7,0.007,3658.38493192249
8,0.008,3658.299849906702
9,0.009,3658.2146733936793
10,0.01,3658.129445606279
11,0.011,3658.044189527424
12,0.012,3657.958917702707
13,0.013,3657.873636908388
14,0.014,3657.788350820027
15,0.015,3657.7030614280006
16,0.016,3657.617769810868
17,0.017,3657.532476553012
18,0.018,3657.4471819711503
19,0.019,3657.361886236964
20,0.02,3657.276589443581
21,0.021,3657.191291641588
22,0.022,3657.105992858516
23,0.023,3657.020693109393
24,0.024,3656.9353924025017
25,0.025,3656.850090742445
26,0.026,3656.764788131852
27,0.027,3656.679484572274
28,0.028,3656.594180064671
29,0.029,3656.508874609709
30,0.03,3656.4235682078506
31,0.031,3656.3382608595034
32,0.032,3656.252952564984
33,0.033,3656.167643324618
34,0.034,3656.082333138699
35,0.035,3655.9970220074974
36,0.036,3655.911709931324
37,0.037,3655.8263969104487
38,0.038,3655.741082945141
39,0.039,3655.65576803569
40,0.04,3655.570452182365
41,0.041,3655.485135385456
42,0.042,3655.399817645232
43,0.043,3655.314498961975
44,0.044,3655.229179335948
45,0.045,3655.14385876745
46,0.046,3655.0585372567366
47,0.047,3654.97321480409
48,0.048,3654.887891409792
49,0.049,3654.80256707412
50,0.05,3654.717241797344
51,0.051,3654.631915579748
52,0.052,3654.546588421597
53,0.053,3654.461260323172
54,0.054,3654.375931284751
55,0.055,3654.290601306609
56,0.056,3654.2052703890176
57,0.057,3654.119938532255
58,0.058,3654.0346057365846
59,0.059,3653.949272002298
60,0.06,3653.8639373296696
61,0.061,3653.778601718956
62,0.062,3653.693265170448
63,0.063,3653.607927684411
64,0.064,3653.5225892611193
65,0.065,3653.437249900855
66,0.066,3653.351909603896
67,0.067,3653.2665683704968
68,0.068,3653.181226200951
69,0.069,3653.095883095508
70,0.07,3653.010539054465
71,0.071,3652.925194078084
72,0.072,3652.839848166639
73,0.073,3652.754501320404
74,0.074,3652.6691535396494
75,0.075,3652.583804824653
76,0.076,3652.498455175681
77,0.077,3652.41310459301
78,0.078,3652.327753076912
79,0.079,3652.242400627654
80,0.08,3652.157047245516
81,0.081,3652.071692930767
82,0.082,3651.986337683674
83,0.083,3651.90098150452
84,0.084,3651.815624393553
85,0.085,3651.7302663510654
86,0.086,3651.644907377328
87,0.087,3651.559547472595
88,0.088,3651.474186637154
89,0.089,3651.388824871272
90,0.09,3651.3034621752095
91,0.091,3651.2180985492505
92,0.092,3651.1327339936656
93,0.093,3651.047368508704
94,0.094,3650.962002094669
95,0.095,3650.876634751795
96,0.096,3650.791266480376
97,0.097,3650.7058972806735
98,0.098,3650.620527152962
99,0.099,3650.5351560975
100,0.1,3650.44978411456
101,0.101,3650.3644112044094
102,0.102,3650.2790373673374
103,0.103,3650.1936626035854
104,0.104,3650.10828691344
105,0.105,3650.022910297152
106,0.106,3649.9375327550174
107,0.107,3649.852154287285
108,0.108,3649.766774894216
109,0.109,3649.6813945761
110,0.11,3649.596013333181
111,0.111,3649.5106311657446
112,0.112,3649.425248074053
113,0.113,3649.339864058381
114,0.114,3649.25447911897
115,0.115,3649.169093256112
116,0.116,3649.083706470069
117,0.117,3648.998318761096
118,0.118,3648.912930129477
119,0.119,3648.8275405754734
120,0.12,3648.7421500993514
121,0.1210000000000001,3648.65675870137
122,0.1220000000000001,3648.571366381804
123,0.1230000000000001,3648.4859731409088
124,0.1240000000000001,3648.400578978963
125,0.125,3648.315183896227
126,0.126,3648.229787892965
127,0.127,3648.144390969437
128,0.128,3648.0589931259246
129,0.1290000000000001,3647.973594362675
130,0.1300000000000001,3647.888194679955
131,0.1310000000000001,3647.80279407805
132,0.1320000000000001,3647.717392557206
133,0.1330000000000001,3647.6319901176894
134,0.1340000000000001,3647.546586759769
135,0.1350000000000001,3647.4611824837134
136,0.1360000000000001,3647.375777289769
137,0.1370000000000001,3647.290371178218
138,0.1380000000000001,3647.204964149325
139,0.1390000000000001,3647.119556203341
140,0.1400000000000001,3647.03414734054
141,0.1410000000000001,3646.948737561175
142,0.1420000000000001,3646.863326865522
143,0.1430000000000001,3646.777915253837
144,0.1440000000000001,3646.692502726376
145,0.1450000000000001,3646.607089283421
146,0.1460000000000001,3646.521674925217
147,0.1470000000000001,3646.436259652041
148,0.1480000000000001,3646.350843464148
149,0.1490000000000001,3646.265426361801
150,0.1500000000000001,3646.1800083452617
151,0.1510000000000001,3646.094589414789
152,0.1520000000000001,3646.009169570653
153,0.1530000000000001,3645.923748813112
154,0.1540000000000001,3645.838327142421
155,0.1550000000000001,3645.7529045588494
156,0.1560000000000001,3645.667481062662
157,0.1570000000000001,3645.582056654117
158,0.1580000000000001,3645.496631333472
159,0.1590000000000001,3645.411205100989
160,0.1600000000000001,3645.325777956935
161,0.1610000000000001,3645.24034990156
162,0.1620000000000001,3645.154920935132
163,0.1630000000000001,3645.069491057908
164,0.1640000000000001,3644.984060270156
165,0.1650000000000001,3644.8986285721344
166,0.1660000000000001,3644.813195964092
167,0.1670000000000001,3644.7277624463018
168,0.1680000000000001,3644.642328019016
169,0.1690000000000001,3644.556892682501
170,0.1700000000000001,3644.4714564370174
171,0.1710000000000001,3644.386019282808
172,0.1720000000000001,3644.3005812201495
173,0.1730000000000001,3644.2151422492975
174,0.1740000000000001,3644.1297023705074
175,0.1750000000000001,3644.0442615840416
176,0.1760000000000001,3643.9588198901583
177,0.1770000000000001,3643.8733772891055
178,0.1780000000000001,3643.7879337811687
179,0.1790000000000001,3643.702489366589
180,0.1800000000000001,3643.617044045609
181,0.1810000000000001,3643.531597818525
182,0.1820000000000001,3643.446150685547
183,0.1830000000000001,3643.360702646976
184,0.1840000000000001,3643.275253703048
185,0.1850000000000001,3643.189803854024
186,0.1860000000000001,3643.104353100164
187,0.1870000000000001,3643.018901441711
188,0.1880000000000001,3642.93344887896
189,0.1890000000000001,3642.847995412128
190,0.1900000000000001,3642.762541041487
191,0.1910000000000001,3642.677085767298
192,0.1920000000000001,3642.591629589818
193,0.1930000000000001,3642.506172509296
194,0.1940000000000001,3642.420714525989
195,0.1950000000000001,3642.3352556401583
196,0.1960000000000001,3642.2497958520535
197,0.1970000000000001,3642.164335161936
198,0.1980000000000001,3642.0788735700617
199,0.1990000000000001,3641.993411076685
200,0.2000000000000001,3641.907947682061
201,0.2010000000000001,3641.8224833864506
202,0.2020000000000001,3641.7370181901
203,0.2030000000000001,3641.651552093267
204,0.2040000000000001,3641.5660850962136
205,0.2050000000000001,3641.480617199191
206,0.2060000000000001,3641.395148402441
207,0.2070000000000001,3641.309678706238
208,0.2080000000000001,3641.224208110828
209,0.2090000000000001,3641.138736616461
210,0.2100000000000001,3641.05326422341
211,0.2110000000000001,3640.967790931903
212,0.2120000000000001,3640.8823167422006
213,0.2130000000000001,3640.7968416545687
214,0.2140000000000001,3640.7113656692577
215,0.2150000000000001,3640.625888786517
216,0.2160000000000001,3640.540411006598
217,0.2170000000000001,3640.454932329758
218,0.2180000000000001,3640.369452756252
219,0.2190000000000001,3640.2839722863273
220,0.2200000000000001,3640.198490920247
221,0.2210000000000001,3640.113008658249
222,0.2220000000000001,3640.0275255006
223,0.2230000000000001,3639.9420414475458
224,0.2240000000000001,3639.8565564993314
225,0.2250000000000001,3639.771070656228
226,0.2260000000000001,3639.6855839184736
227,0.2270000000000001,3639.600096286319
228,0.2280000000000001,3639.514607760019
229,0.2290000000000001,3639.4291183398273
230,0.2300000000000001,3639.343628025996
231,0.2310000000000001,3639.2581368187775
232,0.2320000000000001,3639.1726447184246
233,0.2330000000000001,3639.087151725176
234,0.2340000000000001,3639.0016578392974
235,0.2350000000000001,3638.916163061034
236,0.2360000000000001,3638.830667390637
237,0.2370000000000001,3638.74517082836
238,0.2380000000000001,3638.6596733744423
239,0.2390000000000001,3638.574175029154
240,0.2400000000000001,3638.4886757927247
241,0.2410000000000002,3638.403175665408
242,0.2420000000000002,3638.317674647468
243,0.2430000000000002,3638.232172739155
244,0.2440000000000002,3638.146669940693
245,0.2450000000000002,3638.061166252362
246,0.2460000000000002,3637.975661674389
247,0.2470000000000002,3637.890156207032
248,0.2480000000000002,3637.8046498505423
249,0.2490000000000002,3637.719142605172
250,0.2500000000000001,3637.633634471165
251,0.2510000000000001,3637.548125448767
252,0.2520000000000001,3637.462615538234
253,0.2530000000000001,3637.377104739801
254,0.2540000000000001,3637.291593053733
255,0.2550000000000001,3637.206080480268
256,0.2560000000000001,3637.120567019661
257,0.2570000000000002,3637.0350526721513
258,0.2580000000000002,3636.949537438
259,0.2590000000000002,3636.864021317449
260,0.2600000000000002,3636.778504310737
261,0.2610000000000002,3636.6929864181207
262,0.2620000000000002,3636.607467639848
263,0.2630000000000002,3636.5219479761545
264,0.2640000000000002,3636.436427427304
265,0.2650000000000002,3636.3509059935313
266,0.2660000000000002,3636.265383675097
267,0.2670000000000002,3636.179860472226
268,0.2680000000000002,3636.094336385176
269,0.2690000000000002,3636.00881141421
