,"Time      (s) dt_1,000e-03","Thrust    (N) dt_1,000e-03","Impulse  (Ns) dt_1,000e-03","P tank (psia) dt_1,000e-03","P inj. (psia) dt_1,000e-03","P comb (psia) dt_1,000e-03","P crit (psia) dt_1,000e-03","O/F       (-) dt_1,000e-03","m. ox. (kg/s) dt_1,000e-03"
0,0.0,4645.6497905833685,4.645649790583368,795.6736840124615,645.7638776262093,341.7608158084669,484.14255978576057,4.495954355871877,1.884971234580893
1,0.001,4645.520941015308,9.291170731598676,795.6427850147111,645.7329402935114,341.76151645253344,484.1187808464804,4.495890609372074,1.884917782318228
2,0.002,4645.421587275638,13.936592318874316,795.6118876563321,645.7062931760393,341.76034344027545,484.0985732212471,4.495842503732813,1.884877445620724
3,0.003,4645.311940540123,18.58190425941444,795.5809919892109,645.6786044153895,341.75712756256024,484.0774984440519,4.49579058993962,1.88483391626093
4,0.004,4645.2025949717045,23.22710685438614,795.5500980001748,645.6511713075166,341.7526425472414,484.0566364359419,4.495739600452545,1.884791162414776
5,0.005,4645.091617622436,27.872198472008577,795.5192056918855,645.6236781892056,341.74721790379505,484.0357244270044,4.495688383680068,1.8847482184816997
6,0.006,4644.979934745769,32.51717840675435,795.4883150631523,645.596201872177,341.7411394264826,484.0148263580316,4.495637219865165,1.884705319440646
7,0.007,4644.867643135507,37.16204604988985,795.4574261137192,645.5687236637514,341.7345962444001,483.9939266686417,4.495586040807429,1.8846624081074583
8,0.008,4644.754946972785,41.80680099686264,795.4265388431056,645.5412481124083,341.72772516690105,483.97302914514273,4.495534863106189,1.8846194984001257
9,0.009,4644.641957530015,46.45144295439265,795.3956532508838,645.5137741105557,341.7206221283518,483.95213286556,4.495483682722208,1.8845765869319848
10,0.01,4644.52876149738,51.09597171589003,795.3647693366138,645.486301927159,341.7133551203602,483.9312380538035,4.4954325006395255,1.884533674528153
11,0.011,4644.415418190494,55.74038713408052,795.3338870998617,645.458831496144,341.7059721537886,483.9103446548871,4.495381316619484,1.8844907609885877
12,0.012,4644.301970010611,60.38468910409113,795.3030065401892,645.4313628329892,341.69850717324334,483.8894526817115,4.49533013072106,1.884447846362788
13,0.013,4644.188446811369,65.02887755090251,795.2721276571599,645.4038959333188,341.69098416769083,483.86856213065016,4.495278942930771,1.8844049306395056
14,0.014,4644.074869721932,69.67295242062444,795.2412504503376,645.3764307975913,341.68342009281474,483.8476730021007,4.495227753252767,1.8843620138222743
15,0.015,4643.961253669943,74.31691367429438,795.2103749192875,645.3489674250897,341.6758269324546,483.826785295482,4.495176561686923,1.8843190959110407
16,0.016,4643.847609208274,78.96076128350266,795.1795010635713,645.3215058153827,341.6682131565839,483.8058990104511,4.495125368234143,1.8842761769066176
17,0.017,4643.733943795673,83.60449522729834,795.1486288827545,645.2940459679681,341.6605847515865,483.7850141466057,4.495074172895068,1.8842332568096012
18,0.018,4643.6202627045,88.24811549000285,795.1177583764029,645.2665878823634,341.6529459485142,483.7641307035603,4.495022975670425,1.884190335620648
19,0.019,4643.506569661652,92.8916220596645,795.0868895440797,645.2391315580826,341.64529973777223,483.74324868092594,4.494971776560912,1.8841474133404024
20,0.02,4643.392867301701,97.5350149269662,795.0560223853489,645.2116769946373,341.63764823290506,483.7223680783121,4.4949205755672255,1.8841044899695
21,0.021,4643.279157487217,102.1782940844534,795.025156899778,645.1842241915414,341.6299929277185,483.70148889532993,4.494869372690069,1.884061565508583
22,0.022,4643.165441535118,106.82145952598852,794.9942930869299,645.1567731483108,341.6223348780109,483.68061113159257,4.494818167930146,1.8840186399582977
23,0.023,4643.051720376649,111.46451124636518,794.9634309463721,645.1293238644573,341.6146748300081,483.65973478670907,4.494766961288149,1.8839757133192792
24,0.024,4642.937994670501,116.10744924103568,794.9325704776685,645.1018763394976,341.6070133111417,483.6388598602933,4.494715752764787,1.8839327855921728
25,0.025,4642.824264882692,120.75027350591836,794.9017116803882,645.0744305729445,341.5993506942056,483.6179863519554,4.494664542360751,1.8838898567776152
26,0.026,4642.710531343105,125.39298403726148,794.8708545540923,645.0469865643165,341.5916872427088,483.5971142613103,4.494613330076755,1.8838469268762543
27,0.027,4642.596794285351,130.0355808315468,794.8399990983505,645.019544313123,341.58402314291504,483.5762435879657,4.494562115913481,1.8838039958887185
28,0.028,4642.48305387506,134.67806388542186,794.8091453127277,644.9921038188841,341.57635852649594,483.5553743315377,4.494510899871636,1.8837610638156557
29,0.029,4642.369310229763,139.32043319565162,794.7782931967921,644.9646650811123,341.5686934865396,483.5345064916364,4.494459681951915,1.883718130657699
30,0.03,4642.255563433048,143.96268875908467,794.7474427501105,644.9372280993265,341.5610280888791,483.51364006787696,4.494408462155021,1.8836751964154927
31,0.031,4642.14181354447,148.60483057262914,794.7165939722453,644.9097928730415,341.55336238006686,483.4927750598716,4.49435724048165,1.8836322610896756
32,0.032,4642.02806060658,153.24685863323572,794.6857468627697,644.8823594017691,341.5456963930322,483.4719114672298,4.4943060169324855,1.8835893246808728
33,0.033,4641.914304650019,157.88877293788573,794.6549014212479,644.8549276850329,341.53803015108633,483.4510492895704,4.4942547915082445,1.8835463871897395
34,0.034,4641.800545696882,162.53057348358263,794.624057647249,644.8274977223449,341.53036367073923,483.4301885265031,4.494203564209615,1.8835034486169056
35,0.035,4641.686783763291,167.1722602673459,794.5932155403389,644.8000695132239,341.5226969636887,483.40932917764303,4.49415233503729,1.883460508963007
36,0.036,4641.573018861125,171.81383328620703,794.5623751000882,644.7726430571856,341.51503003823296,483.38847124260303,4.4941011039919685,1.883417568228681
37,0.037,4641.45925099929,176.45529253720633,794.5315363260618,644.7452183537497,341.5073629002684,483.3676147209986,4.4940498710743455,1.8833746264145663
38,0.038,4641.345480184556,181.0966380173909,794.5006992178294,644.7177954024303,341.4996955540045,483.3467596124416,4.493998636285116,1.8833316835212963
39,0.039,4641.231706422212,185.7378697238131,794.4698637749594,644.6903742027465,341.4920280024415,483.32590591654736,4.493947399624969,1.8832887395495068
40,0.04,4641.117929716488,190.3789876535296,794.4390299970221,644.6629547542166,341.48436024773747,483.3050536329301,4.493896161094609,1.8832457944998364
41,0.041,4641.004150070862,195.01999180360048,794.4081978835839,644.6355370563597,341.47669229144674,483.2842027612057,4.493844920694723,1.8832028483729184
42,0.042,4640.89036748828,199.6608821710888,794.3773674342157,644.6081211086919,341.46902413470474,483.2633533009872,4.493793678426005,1.883159901169386
43,0.043,4640.776581971323,204.30165875306008,794.3465386484853,644.580706910734,341.4613557783429,483.24250525189103,4.493742434289151,1.883116952889876
44,0.044,4640.662793522289,208.9423215465824,794.3157115259634,644.5532944620028,341.4536872229817,483.2216586135309,4.493691188284847,1.8830740035350195
45,0.045,4640.549002143332,213.5828705487257,794.2848860662197,644.5258837620189,341.44601846909984,483.2008133855233,4.493639940413795,1.883031053105456
46,0.046,4640.435207836419,218.22330575656213,794.2540622688228,644.4984748103012,341.4383495170605,483.1799695674836,4.493588690676681,1.8829881016018135
47,0.047,4640.321410603458,222.8636271671656,794.2232401333414,644.4710676063685,341.4306803671573,483.15912715902687,4.493537439074197,1.882945149024728
