,"Time      (s) at_1,360e-03","Thrust    (N) at_1,360e-03","P comb (psia) at_1,360e-03","P crit (psia) at_1,360e-03"
0,0.0,4657.806438402042,351.8124579452715,484.14255978576057
1,0.001,4657.6769982966825,351.81300272109166,484.1187808464804
2,0.002,4657.57737345025,351.81175697446247,484.0985732212471
3,0.003,4657.467583480658,351.80847090228724,484.0774984440519
4,0.004,4657.358184616313,351.80391050157624,484.0566364359419
5,0.005,4657.247200297344,351.7983937236303,484.0357244270044
6,0.006,4657.135534983618,351.79220388580427,484.0148263580316
7,0.007,4657.023271401886,351.7855299918102,483.9939266686417
8,0.008,4656.910605992899,351.7785105199211,483.97302914514273
9,0.009,4656.797645829724,351.7712436961667,483.95213286556
10,0.01,4656.684475617616,351.7637999624435,483.9312380538035
11,0.011,4656.5711539544245,351.7562296468444,483.9103446548871
12,0.012,4656.457723228469,351.74856875250885,483.8894526817115
13,0.013,4656.344213636762,351.7408430237141,483.86856213065016
14,0.014,4656.230646803502,351.73307087170423,483.8476730021007
15,0.015,4656.117038186642,351.725265462759,483.826785295482
16,0.016,4656.003398842912,351.7174362124838,483.8058990104511
17,0.017,4655.889736679455,351.70958985420464,483.7850141466057
18,0.018,4655.776057351539,351.70173120309886,483.7641307035603
19,0.019,4655.662364903894,351.69386370261043,483.74324868092594
20,0.02,4655.548662229483,351.68598981522086,483.7223680783121
21,0.021,4655.434951397629,351.6781113019088,483.70148889532993
22,0.022,4655.321233888647,351.6702294219983,483.68061113159257
23,0.023,4655.207510761611,351.66234507607453,483.65973478670907
24,0.024,4655.093782774375,351.654458908179,483.6388598602933
25,0.025,4654.980050469359,351.6465713788952,483.6179863519554
26,0.026,4654.866314234969,351.63868281762586,483.5971142613103
27,0.027,4654.752574349388,351.6307934599503,483.5762435879657
28,0.028,4654.63883101207,351.6229034743623,483.5553743315377
29,0.029,4654.525084366092,351.61501298138376,483.5345064916364
30,0.03,4654.411334514289,351.6071220672361,483.51364006787696
31,0.031,4654.297581530652,351.5992307936055,483.4927750598716
32,0.032,4654.183825468549,351.5913392046305,483.4719114672298
33,0.033,4654.070066366681,351.5834473319097,483.4510492895704
34,0.034,4653.956304253166,351.5755551980784,483.4301885265031
35,0.035,4653.8425391485935,351.5676628193484,483.40932917764303
36,0.036,4653.728771068157,351.55977020734457,483.38847124260303
37,0.037,4653.615000023226,351.5518773704138,483.3676147209986
38,0.038,4653.501226022383,351.5439843145632,483.3467596124416
39,0.039,4653.38744907226,351.5360910441167,483.32590591654736
40,0.04,4653.273669178084,351.5281975622037,483.3050536329301
41,0.041,4653.159886344057,351.5203038710899,483.2842027612057
42,0.042,4653.046100573652,351.5124099724302,483.2633533009872
43,0.043,4652.932311869856,351.5045158674408,483.24250525189103
44,0.044,4652.818520235256,351.49662155702384,483.2216586135309
45,0.045,4652.704725672211,351.4887270418617,483.2008133855233
46,0.046,4652.59092818285,351.4808323224714,483.1799695674836
47,0.047,4652.4771277691925,351.4729373992544,483.15912715902687
48,0.048,4652.363324433141,351.4650422725325,483.13828615976735
49,0.049,4652.249518176564,351.4571469425704,483.1174465693246
50,0.05,4652.135709001255,351.449251409594,483.0966083873122
51,0.051,4652.021896908967,351.44135567379385,483.0757716133479
52,0.052,4651.908081901426,351.4334597353352,483.05493624704656
53,0.053,4651.794263980369,351.4255635943766,483.0341022880269
54,0.054,4651.680443147471,351.4176672510557,483.0132697359034
55,0.055,4651.566619404434,351.4097707055071,482.9924385902952
56,0.056,4651.452792752947,351.40187395786813,482.971608850818
57,0.057,4651.338963194681,351.3939770082591,482.9507805170898
58,0.058,4651.225130731321,351.38607985680807,482.92995358872855
59,0.059,4651.111295364522,351.378182503629,482.9091280653508
60,0.06,4650.997457095964,351.3702849488441,482.8883039465749
61,0.061,4650.88361592732,351.36238719257847,482.86748123202
62,0.062,4650.769771860239,351.3544892349422,482.8466599213028
63,0.063,4650.655924896381,351.3465910760489,482.8258400140416
64,0.064,4650.542075037419,351.3386927160197,482.8050215098559
65,0.065,4650.42822228501,351.33079415497104,482.78420440836345
66,0.066,4650.314366640811,351.3228953930171,482.7633887091834
67,0.067,4650.200508106493,351.3149964302749,482.7425744119355
68,0.068,4650.086646683688,351.3070972668562,482.7217615162377
69,0.069,4649.972782374083,351.29919790287886,482.7009500217116
70,0.07,4649.858915179306,351.29129833845656,482.6801399279748
71,0.071,4649.745045101025,351.28339857370395,482.6593312346465
72,0.072,4649.631172140904,351.27549860874365,482.6385239413478
73,0.073,4649.517296300576,351.2675984436817,482.61771804769865
74,0.074,4649.403417581694,351.2596980786326,482.5969135533188
75,0.075,4649.289535985918,351.25179751371314,482.57611045782863
76,0.076,4649.1756515149045,351.2438967490397,482.5553087608503
77,0.077,4649.061764170299,351.2359957847299,482.53450846200224
78,0.078,4648.947873953733,351.2280946208906,482.5137095609054
79,0.079,4648.833980866878,351.22019325764046,482.4929120571831
80,0.08,4648.720084911357,351.2122916950903,482.4721159504539
81,0.081,4648.606186088836,351.2043899333564,482.4513212403409
82,0.082,4648.492284400965,351.19648797256053,482.4305279264658
83,0.083,4648.378379849367,351.18858581280915,482.409736008448
84,0.084,4648.26447243569,351.18068345421153,482.3889454859123
85,0.085,4648.150562161588,351.17278089689216,482.3681563584788
86,0.086,4648.036649028694,351.1648781409566,482.34736862577074
87,0.087,4647.922733038661,351.1569751865293,482.3265822874104
88,0.088,4647.808814193105,351.14907203371257,482.3057973430189
89,0.089,4647.694892493696,351.1411686826272,482.2850137922212
90,0.09,4647.580967942044,351.1332651333859,482.26423163463807
91,0.091,4647.467040539815,351.12536138610284,482.24345086989536
92,0.092,4647.353110288611,351.1174574408882,482.222671497612
93,0.093,4647.239177190095,351.1095532978584,482.2018935174148
94,0.094,4647.125241245902,351.10164895712563,482.1811169289272
95,0.095,4647.01130245765,351.09374441880345,482.1603417317712
96,0.096,4646.897360826984,351.08583968300803,482.139567925572
97,0.097,4646.783416355534,351.0779347498522,482.118795509952
98,0.098,4646.669469044927,351.07002961944664,482.0980244845371
99,0.099,4646.555518896798,351.0621242919029,482.0772548489514
100,0.1,4646.441565912784,351.0542187673417,482.0564866028189
101,0.101,4646.327610094491,351.04631304586536,482.0357197457636
102,0.102,4646.213651443582,351.0384071275983,482.0149542774124
103,0.103,4646.099689961668,351.03050101265035,481.99419019738895
104,0.104,4645.98572565036,351.0225947011309,481.9734275053172
105,0.105,4645.871758511301,351.0146881931533,481.95266620082447
106,0.106,4645.757788546122,351.0067814888328,481.9319062835371
107,0.107,4645.643815756433,350.9988745882807,481.9111477530779
108,0.108,4645.529840143867,350.9909674916132,481.8903906090747
109,0.109,4645.415861710046,350.98306019893926,481.8696348511534
110,0.11,4645.301880456573,350.9751527103688,481.8488804789391
111,0.111,4645.187896385096,350.96724502602154,481.82812749205925
112,0.112,4645.073909497222,350.9593371460057,481.80737589013927
113,0.113,4644.95991979457,350.95142907043265,481.7866256728072
114,0.114,4644.845927278759,350.94352079941734,481.7658768396886
115,0.115,4644.7319319514045,350.9356123330706,481.7451293904102
116,0.116,4644.617933814135,350.92770367150484,481.7243833246013
117,0.117,4644.503932868552,350.91979481483406,481.7036386418868
118,0.118,4644.38992911627,350.9118857631673,481.682895341895
119,0.119,4644.275922558924,350.90397651662323,481.6621534242543
120,0.12,4644.161913198106,350.8960670753054,481.6414128885917
121,0.1210000000000001,4644.047901035442,350.8881574393339,481.620673734536
122,0.1220000000000001,4643.933886072531,350.88024760881314,481.5999359617135
123,0.1230000000000001,4643.819868310987,350.8723375838566,481.5791995697538
124,0.1240000000000001,4643.705847752429,350.86442736458093,481.5584645582855
125,0.125,4643.591824398455,350.8565169510905,481.537730926936
126,0.126,4643.477798250691,350.8486063435067,481.5169986753368
127,0.127,4643.363769310732,350.8406955419352,481.496267803114
128,0.128,4643.24973758018,350.8327845464866,481.4755383098972
129,0.1290000000000001,4643.1357030606505,350.82487335727444,481.4548101953167
130,0.1300000000000001,4643.0216657537385,350.81696197440823,481.4340834590012
131,0.1310000000000001,4642.907625661065,350.8090503980034,481.4133581005801
132,0.1320000000000001,4642.793582784223,350.8011386281685,481.392634119684
133,0.1330000000000001,4642.679537124813,350.7932266650159,481.3719115159421
134,0.1340000000000001,4642.565488684439,350.78531450865563,481.3511902889837
135,0.1350000000000001,4642.451437464704,350.7774021591976,481.3304704384408
136,0.1360000000000001,4642.337383467212,350.76948961675697,481.3097519639424
137,0.1370000000000001,4642.223326693557,350.7615768814423,481.28903486512047
138,0.1380000000000001,4642.109267145333,350.7536639533661,481.2683191416032
139,0.1390000000000001,4641.995204824151,350.74575083263886,481.2476047930241
140,0.1400000000000001,4641.881139731596,350.73783751936884,481.22689181901256
141,0.1410000000000001,4641.76707186927,350.7299240136687,481.20618021920046
142,0.1420000000000001,4641.653001238766,350.72201031565106,481.1854699932195
143,0.1430000000000001,4641.538927841683,350.7140964254229,481.1647611407002
144,0.1440000000000001,4641.424851679604,350.7061823430983,481.1440536612743
145,0.1450000000000001,4641.310772754135,350.698268068786,481.1233475545745
146,0.1460000000000001,4641.196691066862,350.69035360259727,481.1026428202327
147,0.1470000000000001,4641.082606619377,350.6824389446427,481.08193945788025
148,0.1480000000000001,4640.968519413267,350.6745240950321,481.0612374671492
149,0.1490000000000001,4640.85442945013,350.66660905387795,481.0405368476732
150,0.1500000000000001,4640.740336731547,350.65869382129137,481.019837599084
151,0.1510000000000001,4640.626241259113,350.6507783973772,480.9991397210151
152,0.1520000000000001,4640.512143034418,350.6428627822529,480.9784432130992
153,0.1530000000000001,4640.398042059017,350.63494697601874,480.9577480749679
154,0.1540000000000001,4640.283938334543,350.62703097879233,480.9370543062578
