,"Time      (s) efficiency_9,850e-01","Thrust    (N) efficiency_9,850e-01"
0,0.0,3790.294632727041
1,0.001,3790.204259261972
2,0.002,3790.1282110778025
3,0.003,3790.0438330844554
4,0.004,3789.9584393604982
5,0.005,3789.871734902624
6,0.006,3789.784485175741
7,0.007,3789.696903721761
8,0.008,3789.609149929972
9,0.009,3789.521300639165
10,0.01,3789.4333995376414
11,0.011,3789.34546984182
12,0.012,3789.257524225228
13,0.013,3789.1695695316794
14,0.014,3789.08160947295
15,0.015,3788.9936460587032
16,0.016,3788.905680377804
17,0.017,3788.81771302012
18,0.018,3788.7297443052994
19,0.019,3788.64177440661
20,0.02,3788.553803418005
21,0.021,3788.465831390512
22,0.022,3788.377858351917
23,0.023,3788.289884317388
24,0.024,3788.2019092952737
25,0.025,3788.113933290223
26,0.026,3788.025956304895
27,0.027,3787.937978340863
28,0.028,3787.849999399088
29,0.029,3787.762019480258
30,0.03,3787.674038584842
31,0.031,3787.58605671326
32,0.032,3787.498073865837
33,0.033,3787.410090042905
34,0.034,3787.322105244773
35,0.035,3787.234119471712
36,0.036,3787.146132724042
37,0.037,3787.05814500205
38,0.038,3786.970156306008
39,0.039,3786.8821666362105
40,0.04,3786.794175992943
41,0.041,3786.706184376499
42,0.042,3786.618191787152
43,0.043,3786.530198225205
44,0.044,3786.442203690924
45,0.045,3786.354208184604
46,0.046,3786.266211706533
47,0.047,3786.178214256985
48,0.048,3786.090215836258
49,0.049,3786.002216444632
50,0.05,3785.914216082389
51,0.051,3785.826214749819
52,0.052,3785.7382124472047
53,0.053,3785.6502091748266
54,0.054,3785.562204932962
55,0.055,3785.474199721917
56,0.056,3785.386193541958
57,0.057,3785.2981863933705
58,0.058,3785.210178276436
59,0.059,3785.1221691914498
60,0.06,3785.0341591386896
61,0.061,3784.946148118431
62,0.062,3784.8581361309584
63,0.063,3784.7701231765623
64,0.064,3784.682109255523
65,0.065,3784.5940943681176
66,0.066,3784.50607851464
67,0.067,3784.41806169536
68,0.068,3784.330043910572
69,0.069,3784.242025160534
70,0.07,3784.154005445557
71,0.071,3784.065984765906
72,0.072,3783.977963121864
73,0.073,3783.88994051372
74,0.074,3783.801916941742
75,0.075,3783.713892406229
76,0.076,3783.6258669074496
77,0.077,3783.5378404456833
78,0.078,3783.4498130212182
79,0.079,3783.361784634329
80,0.08,3783.273755285302
81,0.081,3783.185724974413
82,0.082,3783.097693701939
83,0.083,3783.009661468176
84,0.084,3782.9216282733737
85,0.085,3782.8335941178407
86,0.086,3782.7455590018394
87,0.087,3782.657522925659
88,0.088,3782.5694858895727
89,0.089,3782.4814478938647
90,0.09,3782.393408938816
91,0.091,3782.305369024685
92,0.092,3782.2173281517785
93,0.093,3782.12928632036
94,0.094,3782.041243530712
95,0.095,3781.953199783109
96,0.096,3781.8651550778336
97,0.097,3781.7771094151576
98,0.098,3781.689062795369
99,0.099,3781.601015218732
100,0.1,3781.512966685532
101,0.101,3781.4249171960487
102,0.102,3781.336866750549
103,0.103,3781.2488153493327
104,0.104,3781.1607629926502
105,0.105,3781.072709680781
106,0.106,3780.984655414021
107,0.107,3780.8966001926415
108,0.108,3780.808544016905
109,0.109,3780.7204868871063
110,0.11,3780.632428803501
111,0.111,3780.544369766381
112,0.112,3780.4563097760174
113,0.113,3780.36824883269
114,0.114,3780.280186936658
115,0.115,3780.192124088212
116,0.116,3780.104060287626
117,0.117,3780.0159955351673
118,0.118,3779.9279298311294
119,0.119,3779.839863175757
120,0.12,3779.751795569354
121,0.1210000000000001,3779.6637270121823
122,0.1220000000000001,3779.575657504523
123,0.1230000000000001,3779.4875870466326
124,0.1240000000000001,3779.399515638804
125,0.125,3779.311443281303
126,0.126,3779.2233699744
127,0.127,3779.1352957183785
128,0.128,3779.047220513512
129,0.1290000000000001,3778.959144360064
130,0.1300000000000001,3778.871067258304
131,0.1310000000000001,3778.782989208526
132,0.1320000000000001,3778.694910210989
133,0.1330000000000001,3778.6068302659673
134,0.1340000000000001,3778.518749373731
135,0.1350000000000001,3778.4306675345647
136,0.1360000000000001,3778.342584748722
137,0.1370000000000001,3778.254501016493
138,0.1380000000000001,3778.166416338144
139,0.1390000000000001,3778.078330713947
140,0.1400000000000001,3777.990244144162
141,0.1410000000000001,3777.9021566290735
142,0.1420000000000001,3777.814068168957
143,0.1430000000000001,3777.7259787640687
144,0.1440000000000001,3777.6378884147
145,0.1450000000000001,3777.5497971211066
146,0.1460000000000001,3777.461704883561
147,0.1470000000000001,3777.373611702342
148,0.1480000000000001,3777.2855175777136
149,0.1490000000000001,3777.197422509951
150,0.1500000000000001,3777.1093264993247
151,0.1510000000000001,3777.021229546093
152,0.1520000000000001,3776.933131650545
153,0.1530000000000001,3776.8450328129375
154,0.1540000000000001,3776.756933033543
155,0.1550000000000001,3776.66883231263
156,0.1560000000000001,3776.58073065048
157,0.1570000000000001,3776.492628047354
158,0.1580000000000001,3776.404524503514
159,0.1590000000000001,3776.31642001924
160,0.1600000000000001,3776.228314594797
161,0.1610000000000001,3776.1402082304503
162,0.1620000000000001,3776.0521009264726
163,0.1630000000000001,3775.963992683134
164,0.1640000000000001,3775.875883500706
165,0.1650000000000001,3775.787773379456
166,0.1660000000000001,3775.699662319637
167,0.1670000000000001,3775.611550321536
168,0.1680000000000001,3775.5234373854137
169,0.1690000000000001,3775.435323511541
170,0.1700000000000001,3775.3472087001896
171,0.1710000000000001,3775.259092951607
172,0.1720000000000001,3775.1709762660776
173,0.1730000000000001,3775.0828586438697
174,0.1740000000000001,3774.9947400852407
175,0.1750000000000001,3774.906620590471
176,0.1760000000000001,3774.818500159812
177,0.1770000000000001,3774.730378793538
178,0.1780000000000001,3774.642256491922
179,0.1790000000000001,3774.554133255233
180,0.1800000000000001,3774.466009083707
181,0.1810000000000001,3774.3778839776537
182,0.1820000000000001,3774.289757937291
183,0.1830000000000001,3774.20163096293
184,0.1840000000000001,3774.1135030548144
185,0.1850000000000001,3774.0253742132086
186,0.1860000000000001,3773.937244438384
187,0.1870000000000001,3773.849113730596
188,0.1880000000000001,3773.7609820901375
189,0.1890000000000001,3773.6728495172415
190,0.1900000000000001,3773.584716012191
191,0.1910000000000001,3773.496581575244
192,0.1920000000000001,3773.40844620667
193,0.1930000000000001,3773.3203099067296
194,0.1940000000000001,3773.2321726756822
195,0.1950000000000001,3773.1440345138058
196,0.1960000000000001,3773.0558954213457
197,0.1970000000000001,3772.96775539858
198,0.1980000000000001,3772.879614445768
199,0.1990000000000001,3772.791472563181
200,0.2000000000000001,3772.703329751075
201,0.2010000000000001,3772.6151860097207
202,0.2020000000000001,3772.527041339371
203,0.2030000000000001,3772.4388957402793
204,0.2040000000000001,3772.350749212737
205,0.2050000000000001,3772.262601756992
206,0.2060000000000001,3772.1744533732976
207,0.2070000000000001,3772.086304061937
208,0.2080000000000001,3771.998153823158
209,0.2090000000000001,3771.9100026572337
210,0.2100000000000001,3771.821850564408
211,0.2110000000000001,3771.733697544963
212,0.2120000000000001,3771.645543599149
213,0.2130000000000001,3771.5573887272394
214,0.2140000000000001,3771.469232929479
215,0.2150000000000001,3771.3810762061385
216,0.2160000000000001,3771.2929185574767
217,0.2170000000000001,3771.204759983761
218,0.2180000000000001,3771.116600485247
219,0.2190000000000001,3771.0284400621936
220,0.2200000000000001,3770.940278714873
221,0.2210000000000001,3770.8521164435306
222,0.2220000000000001,3770.763953248441
223,0.2230000000000001,3770.675789129858
224,0.2240000000000001,3770.587624088029
225,0.2250000000000001,3770.4994581232418
226,0.2260000000000001,3770.411291235736
227,0.2270000000000001,3770.3231234257696
228,0.2280000000000001,3770.2349546936166
229,0.2290000000000001,3770.146785039523
230,0.2300000000000001,3770.0586144637577
231,0.2310000000000001,3769.970442966581
232,0.2320000000000001,3769.882270548249
233,0.2330000000000001,3769.7940972090128
234,0.2340000000000001,3769.7059229491415
235,0.2350000000000001,3769.6177477688952
236,0.2360000000000001,3769.529571668523
237,0.2370000000000001,3769.441394648293
238,0.2380000000000001,3769.353216708456
239,0.2390000000000001,3769.265037849274
240,0.2400000000000001,3769.176858071
241,0.2410000000000002,3769.0886773739016
242,0.2420000000000002,3769.00049575822
243,0.2430000000000002,3768.9123132242426
244,0.2440000000000002,3768.824129772193
245,0.2450000000000002,3768.7359454023554
246,0.2460000000000002,3768.6477601149686
247,0.2470000000000002,3768.559573910296
248,0.2480000000000002,3768.471386788596
249,0.2490000000000002,3768.383198750125
250,0.2500000000000001,3768.295009795139
251,0.2510000000000001,3768.206819923903
252,0.2520000000000001,3768.1186291366607
253,0.2530000000000001,3768.030437433664
254,0.2540000000000001,3767.9422448151895
255,0.2550000000000001,3767.854051281475
256,0.2560000000000001,3767.765856832789
257,0.2570000000000002,3767.6776614693767
258,0.2580000000000002,3767.589465191497
259,0.2590000000000002,3767.5012679994193
260,0.2600000000000002,3767.4130698933777
261,0.2610000000000002,3767.324870873639
262,0.2620000000000002,3767.23667094046
263,0.2630000000000002,3767.1484700940823
264,0.2640000000000002,3767.060268334776
265,0.2650000000000002,3766.972065662785
266,0.2660000000000002,3766.8838620783768
267,0.2670000000000002,3766.7956575817857
268,0.2680000000000002,3766.70745217328
269,0.2690000000000002,3766.6192458531145
270,0.2700000000000002,3766.5310386215465
271,0.2710000000000002,3766.442830478813
272,0.2720000000000002,3766.354621425188
273,0.2730000000000002,3766.266411460911
274,0.2740000000000002,3766.178200586231
275,0.2750000000000002,3766.0899888014183
276,0.2760000000000002,3766.001776106716
277,0.2770000000000002,3765.913562502382
278,0.2780000000000002,3765.82534798866
279,0.2790000000000002,3765.737132565816
280,0.2800000000000002,3765.648916234093
281,0.2810000000000002,3765.560698993746
282,0.2820000000000002,3765.4724808450233
283,0.2830000000000002,3765.384261788185
284,0.2840000000000002,3765.296041823482
285,0.2850000000000002,3765.2078209511656
286,0.2860000000000002,3765.119599171477
287,0.2870000000000002,3765.031376484678
288,0.2880000000000002,3764.943152891022
289,0.2890000000000002,3764.854928390755
290,0.2900000000000002,3764.766702984136
291,0.2910000000000002,3764.678476671409
292,0.2920000000000002,3764.590249452821
293,0.2930000000000002,3764.502021328636
294,0.2940000000000002,3764.413792299096
295,0.2950000000000002,3764.325562364442
296,0.2960000000000002,3764.237331524945
297,0.2970000000000002,3764.149099780852
298,0.2980000000000002,3764.0608671323903
299,0.2990000000000002,3763.972633579841
300,0.3000000000000002,3763.884399123429
301,0.3010000000000002,3763.7961637634176
302,0.3020000000000002,3763.7079275000574
303,0.3030000000000002,3763.619690333589
304,0.3040000000000002,3763.5314522642752
305,0.3050000000000002,3763.443213292349
306,0.3060000000000002,3763.354973418068
307,0.3070000000000002,3763.26673264169
308,0.3080000000000002,3763.178490963444
309,0.3090000000000002,3763.0902483835966
310,0.3100000000000002,3763.002004902376
311,0.3110000000000002,3762.9137605200585
312,0.3120000000000002,3762.825515236867
313,0.3130000000000002,3762.737269053066
314,0.3140000000000002,3762.6490219688926
315,0.3150000000000002,3762.5607739846073
316,0.3160000000000002,3762.47252510045
317,0.3170000000000002,3762.384275316666
318,0.3180000000000002,3762.296024633508
319,0.3190000000000002,3762.207773051213
320,0.3200000000000002,3762.1195205700474
321,0.3210000000000002,3762.0312671902416
322,0.3220000000000002,3761.943012912048
323,0.3230000000000002,3761.854757735717
324,0.3240000000000002,3761.7665016614815
325,0.3250000000000002,3761.6782446896095
326,0.3260000000000002,3761.5899868203232
327,0.3270000000000002,3761.501728053895
328,0.3280000000000002,3761.413468390557
329,0.3290000000000002,3761.3252078305504
330,0.3300000000000002,3761.236946374136
331,0.3310000000000002,3761.148684021544
332,0.3320000000000002,3761.060420773027
333,0.3330000000000002,3760.972156628832
334,0.3340000000000002,3760.883891589207
335,0.3350000000000002,3760.7956256543857
336,0.3360000000000002,3760.7073588246167
337,0.3370000000000002,3760.619091100159
338,0.3380000000000002,3760.5308224812416
339,0.3390000000000002,3760.442552968116
340,0.3400000000000002,3760.354282561023
341,0.3410000000000002,3760.26601126021
342,0.3420000000000002,3760.177739065918
