,"Time      (s) at_1,320e-03","Thrust    (N) at_1,320e-03","P comb (psia) at_1,320e-03","P crit (psia) at_1,320e-03"
0,0.0,4669.947166351141,362.4718321846893,484.14255978576057
1,0.001,4669.817255741382,362.4723090129239,484.1187808464804
2,0.002,4669.717436597702,362.4710535711695,484.0985732212471
3,0.003,4669.607554003732,362.467741192291,484.0774984440519
4,0.004,4669.498135682728,362.4631360841863,484.0566364359419
5,0.005,4669.38716757915,362.4575480491177,484.0357244270044
6,0.006,4669.27553607657,362.4512603889313,484.0148263580316
7,0.007,4669.16331215739,362.4444636776926,483.9939266686417
8,0.008,4669.050685969804,362.4372992994257,483.97302914514273
9,0.009,4668.937761306352,362.4298686926123,483.95213286556
10,0.01,4668.824621482705,362.42224545508776,483.9312380538035
11,0.011,4668.711324776941,362.41448278386457,483.9103446548871
12,0.012,4668.597913840734,362.40661917875417,483.8894526817115
13,0.013,4668.484419414354,362.39868249090944,483.86856213065016
14,0.014,4668.37086376758,362.3906928709395,483.8476730021007
15,0.015,4668.2572630059485,362.3826648972987,483.826785295482
16,0.016,4668.143628783844,362.3746091172505,483.8058990104511
17,0.017,4668.029969533139,362.3665331614993,483.7850141466057
18,0.018,4667.916291354773,362.3584425506937,483.7641307035603
19,0.019,4667.802598663144,362.3503412788857,483.74324868092594
20,0.02,4667.688894652425,362.3422322356688,483.7223680783121
21,0.021,4667.575181634018,362.334117511592,483.70148889532993
22,0.022,4667.4614612806445,362.32599861912064,483.68061113159257
23,0.023,4667.347734802933,362.31787665249686,483.65973478670907
24,0.024,4667.234003077214,362.30975240338427,483.6388598602933
25,0.025,4667.120266737945,362.3016264445519,483.6179863519554
26,0.026,4667.006526244622,362.2934991904027,483.5971142613103
27,0.027,4666.892781930103,362.2853709407652,483.5762435879657
28,0.028,4666.779034035701,362.2772419125836,483.5553743315377
29,0.029,4666.66528273643,362.2691122628317,483.5345064916364
30,0.03,4666.551528159407,362.2609821051148,483.51364006787696
31,0.031,4666.437770397038,362.25285152164633,483.4927750598716
32,0.032,4666.324009516617,362.24472057193134,483.4719114672298
33,0.033,4666.210245567357,362.23658929905525,483.4510492895704
34,0.034,4666.0964785852775,362.2284577342256,483.4301885265031
35,0.035,4665.982708596913,362.2203259000421,483.40932917764303
36,0.036,4665.868935621923,362.212193812893,483.38847124260303
37,0.037,4665.755159675004,362.2040614846619,483.3676147209986
38,0.038,4665.641380767242,362.1959289239884,483.3467596124416
39,0.039,4665.52759890713,362.187796137148,483.32590591654736
40,0.04,4665.413814101278,362.1796631287185,483.3050536329301
41,0.041,4665.300026354925,362.1715299020398,483.2842027612057
42,0.042,4665.18623567232,362.1633964595646,483.2633533009872
43,0.043,4665.072442057013,362.1552628030981,483.24250525189103
44,0.044,4664.958645512024,362.1471289339793,483.2216586135309
45,0.045,4664.844846040021,362.1389948532131,483.2008133855233
46,0.046,4664.73104364337,362.13086056155856,483.1799695674836
47,0.047,4664.61723832426,362.122726059593,483.15912715902687
48,0.048,4664.503430084723,362.1145913477718,483.13828615976735
49,0.049,4664.38961892672,362.10645642645545,483.1174465693246
50,0.05,4664.275804852114,362.0983212959442,483.0966083873122
51,0.051,4664.161987862714,362.0901859564834,483.0757716133479
52,0.052,4664.048167960281,362.0820504082784,483.05493624704656
53,0.053,4663.934345146579,362.0739146515213,483.0341022880269
54,0.054,4663.820519423308,362.06577868637214,483.0132697359034
55,0.055,4663.706690792181,362.0576425129846,482.9924385902952
56,0.056,4663.592859254899,362.0495061315111,482.971608850818
57,0.057,4663.479024813143,362.0413695420838,482.9507805170898
58,0.058,4663.365187468601,362.03323274483466,482.92995358872855
59,0.059,4663.251347222938,362.025095739895,482.9091280653508
60,0.06,4663.13750407783,362.0169585273854,482.8883039465749
61,0.061,4663.023658034961,362.00882110744254,482.86748123202
62,0.062,4662.909809095976,362.0006834801786,482.8466599213028
63,0.063,4662.79595726254,361.9925456457142,482.8258400140416
64,0.064,4662.682102536323,361.9844076041723,482.8050215098559
65,0.065,4662.568244918984,361.9762693556741,482.78420440836345
66,0.066,4662.454384412182,361.9681309003381,482.7633887091834
67,0.067,4662.340521017583,361.9599922382842,482.7425744119355
68,0.068,4662.226654736827,361.9518533696283,482.7217615162377
69,0.069,4662.1127855716,361.94371429449495,482.7009500217116
70,0.07,4661.998913523531,361.9355750130012,482.6801399279748
71,0.071,4661.885038594285,361.9274355252628,482.6593312346465
72,0.072,4661.771160785524,361.9192958314046,482.6385239413478
73,0.073,4661.657280098885,361.9111559315386,482.61771804769865
74,0.074,4661.543396536021,361.9030158257827,482.5969135533188
75,0.075,4661.429510098592,361.8948755142572,482.57611045782863
76,0.076,4661.315620788253,361.8867349970814,482.5553087608503
77,0.077,4661.201728606651,361.87859427437655,482.53450846200224
78,0.078,4661.087833555415,361.8704533462527,482.5137095609054
79,0.079,4660.9739356362215,361.862312212832,482.4929120571831
80,0.08,4660.860034850686,361.8541708742279,482.4721159504539
81,0.081,4660.746131200487,361.8460293305632,482.4513212403409
82,0.082,4660.632224687259,361.8378875819613,482.4305279264658
83,0.083,4660.518315312637,361.8297456285318,482.409736008448
84,0.084,4660.404403078263,361.8216034703865,482.3889454859123
85,0.085,4660.290487985799,361.8134611076557,482.3681563584788
86,0.086,4660.17657003687,361.8053185404497,482.34736862577074
87,0.087,4660.062649233128,361.79717576888913,482.3265822874104
88,0.088,4659.948725576196,361.7890327930887,482.3057973430189
89,0.089,4659.834799067737,361.7808896131674,482.2850137922212
90,0.09,4659.720869709368,361.7727462292437,482.26423163463807
91,0.091,4659.606937502753,361.7646026414328,482.24345086989536
92,0.092,4659.493002449487,361.7564588498486,482.222671497612
93,0.093,4659.379064551243,361.7483148546133,482.2018935174148
94,0.094,4659.2651238096505,361.7401706558418,482.1811169289272
