time,Thrust,P_tank_r,P_inj_r,P_comb_r,Ox_w_r,Thrust_m_avg,Thrust_m_avg_integral
0.0,483.97439,744.98584,566.42925,13.76913,71.85974,483.97439,0.0
0.0024999999999977,483.97439,744.79635,557.20772,15.03236,71.58400499999999,483.97439,1.2099359749988996
0.0049999999999954,483.97439,743.84893,556.19714,15.03236,71.30827333333333,483.97439,2.419871949997799
0.0074999999999931,483.70779,743.53313,564.97654,14.1481,71.34526,483.90774,3.629724612496699
0.0100000000000051,483.1746,741.19617,566.23976,15.91661,71.28944,483.761112,4.839310677502475
0.0125000000000028,483.97439,742.26991,572.49272,16.67455,71.36431333333333,483.79665833333337,6.048757890418042
0.0150000000000005,473.31057,739.74346,561.06055,14.96919,71.3255642857143,482.2986457142857,7.256377020476467
0.0174999999999982,483.97439,739.6803,557.52352,17.05351,71.23765625,482.50811375,8.462385469805728
0.019999999999996,483.44119,738.92236,548.36516,15.66397,71.28585333333334,482.61178888888895,9.668785348103242
0.0224999999999937,483.70779,738.48024,550.63896,15.60081,71.25850399999999,482.721389,10.875451820463256
0.0250000000000056,483.70779,736.20643,555.24972,16.35874,71.2642509090909,482.8110618181818,12.082367383991746
0.0275000000000034,483.70779,734.88005,558.47094,16.61138,71.25783166666666,482.88578916666665,13.289488447721707
0.0300000000000011,483.97439,734.37476,560.74474,15.53764,71.22343,482.9695276923077,14.49680759379433
0.0324999999999988,483.70779,734.05896,548.74412,17.87461,71.21988285714285,483.02226071428566,15.704297329301474
0.0349999999999965,483.44119,734.81689,548.302,18.00093,71.21053133333334,483.0501893333333,16.911887891859898
0.0374999999999943,483.97439,731.72199,538.82782,17.30616,71.22756875,483.107951875,18.119585568369217
0.0400000000000062,483.70779,733.74315,548.11251,19.01151,71.24893117647059,483.1432364705883,19.327399553806966
0.0425000000000039,483.44119,731.97464,548.87045,19.01151,71.22383277777777,483.15978944444447,20.53527833619966
0.0450000000000017,483.97439,730.14296,554.93392,19.64312,71.24880631578947,483.20266315789473,21.743231401951487
0.0474999999999994,483.97439,729.06922,548.93361,19.26415,71.23967400000001,483.24124950000004,22.95128629277276
0.0499999999999971,484.24098,730.58509,544.95445,19.39047,71.22116380952382,483.2888557142857,24.159448924289517
0.0524999999999948,483.70779,728.6271,539.96472,20.59054,71.20555909090909,483.3078981818182,25.367694866658542
0.0550000000000068,483.1746,727.49019,536.7435,20.59054,71.19774391304348,483.3021026086957,26.575957367652457
0.0575000000000045,480.24205,726.41646,546.21768,19.8326,71.19450333333333,483.17460041666664,27.78405324643306
0.0600000000000022,484.24098,726.10065,545.90187,22.35905,71.1603172,483.2172556,28.992043066452798
0.0625,484.50758,724.20581,555.37604,21.85376,71.16238653846155,483.26688346153844,30.20014824027862
0.0649999999999977,484.50758,724.01633,544.51233,21.47479,71.18921074074075,483.3128351851852,31.408372888585923
0.0674999999999954,483.97439,723.63736,542.17536,22.67486,71.15167071428571,483.33646214285716,32.61668451024488
0.0699999999999931,484.77417,724.7111,530.74319,23.30647,71.15196896551724,483.38603827586206,33.82508763576718
0.0725000000000051,484.24098,721.74253,534.72235,22.86434,71.142832,483.4145363333334,35.03358835403445
0.0750000000000028,484.77417,720.92143,539.71208,23.43279,71.1468670967742,483.45839548387096,36.24217951880485
0.0775000000000005,484.24098,720.66879,542.04904,24.19072,71.1460265625,483.48285125,37.45085607722109
0.0799999999999983,484.77417,718.33183,547.85987,24.0644,71.12241212121212,483.52198212121215,38.65961211893401
0.082499999999996,483.97439,717.44757,536.55402,24.44337,71.12787852941176,483.53528823529405,39.868417074235936
0.0849999999999937,484.24098,716.18435,535.73293,31.77006,71.11458628571428,483.5554508571429,41.07723212764392
0.0875000000000056,484.24098,715.48958,524.30076,24.63285,71.12183444444445,483.5744933333333,42.28606737727091
0.0900000000000034,484.77417,714.35267,532.51171,25.2013,71.11742162162162,483.606917027027,43.4949531181789
0.0925000000000011,483.97439,714.60532,532.57487,26.59085,71.11040947368421,483.61658736842105,44.70390954734447
0.0949999999999988,484.24098,714.60532,540.72266,26.08556,71.12444974358975,483.6325974358975,45.912906369691854
0.0974999999999965,483.97439,715.42641,536.99615,27.91723,71.13476175,483.64114225000003,47.12231722272106
0.0999999999999943,484.24098,710.563,531.62745,26.14872,71.11865414634146,483.65577243902436,48.33214210643207
0.1025000000000062,483.44119,710.75249,521.64799,26.90665,71.13501785714286,483.65066333333334,49.54197708825603
0.1050000000000039,484.77417,709.93139,519.87948,29.68574,71.13623186046512,483.67679139534886,50.75185246325493
0.1075000000000017,483.97439,708.22604,529.22733,27.53826,71.14350431818183,483.683555,51.9617783299205
0.1099999999999994,484.24098,707.9734,530.17474,31.45426,71.13939444444445,483.69594222222224,53.17173449166182
0.1124999999999971,483.1746,708.85765,539.90156,30.69632,71.13663282608695,483.68460869565223,54.3816805549183
0.1149999999999948,483.97439,705.95224,529.98526,28.54884,71.13513340425533,483.6907742553192,55.59160642158386
0.1175000000000068,483.97439,706.89966,525.18501,30.63316,71.12360875,483.6966829166667,56.80156258371085
0.1200000000000045,483.44119,703.99424,515.07923,31.77006,71.13423979591836,483.68557458333333,58.01151874583097
0.1225000000000022,482.908,705.13115,519.1847,31.01213,71.1304572,483.66335812500006,59.22142441590562
0.125,510.90053,703.23631,522.15328,31.51742,71.13631725490195,484.224319375,60.43233991741968
0.1274999999999977,536.2271,701.21515,525.05869,32.97012,71.14143461538461,485.3184716666667,61.646274814767054
0.1299999999999954,496.50437,702.35205,529.47997,33.15961,71.1311320754717,485.5961752083333,62.86266360188716
