,time,Thrust,P_tank_r,P_inj_r,P_comb_r,Ox_w_r,Thrust_m_avg,Thrust_m_avg_integral,Time      (s),Ox_w_r_m_avg,Ox_w_r_derivative_m_avg,time,Time      (s),Time      (s)
0,0.0,483.97439,744.98584,566.42925,13.76913,71.85974,483.97439,0.0,0.0,71.85974,-110.29400000010612,0.0,0.0,0.0
1,0.0024999999999977,483.97439,744.79635,557.20772,15.03236,71.58400499999999,483.97439,1.2099359749988996,0.001,71.72187249999999,-110.29366666677052,0.0025000000000545,0.001,0.001
2,0.0049999999999954,483.97439,743.84893,556.19714,15.03236,71.30827333333333,483.97439,2.419871949997799,0.002,71.58400611111111,-89.44544444452696,0.0049999999999954,0.002,0.002
3,0.0074999999999931,483.70779,743.53313,564.97654,14.1481,71.34526,483.90774,3.629724612496699,0.003,71.52431958333332,-68.02575000003363,0.00750000000005,0.003,0.003
4,0.0100000000000051,483.1746,741.19617,566.23976,15.91661,71.28944,483.761112,4.839310677502475,0.004,71.47734366666666,-53.65846666666526,0.0099999999999909,0.004,0.004
5,0.0125000000000028,483.97439,742.26991,572.49272,16.67455,71.36431333333333,483.79665833333337,6.048757890418042,0.005,71.45850527777777,-43.51124603174364,0.0125000000000454,0.005,0.005
6,0.0150000000000005,473.31057,739.74346,561.06055,14.96919,71.3255642857143,482.2986457142857,7.256377020476467,0.006,71.43951370748299,-40.914127551021636,0.0149999999999863,0.006,0.006
7,0.0174999999999982,483.97439,739.6803,557.52352,17.05351,71.23765625,482.50811375,8.462385469805728,0.007,71.41428152529761,-36.79263541666874,0.0175000000000409,0.007,0.007
8,0.019999999999996,483.44119,738.92236,548.36516,15.66397,71.28585333333334,482.61178888888895,9.668785348103242,0.008,71.40001172619048,-32.24128148148367,0.0199999999999818,0.008,0.008
9,0.0224999999999937,483.70779,738.48024,550.63896,15.60081,71.25850399999999,482.721389,10.875451820463256,0.009,71.38586095357144,-29.449201818186957,0.0225000000000363,0.009,0.009
10,0.0250000000000056,483.70779,736.20643,555.24972,16.35874,71.2642509090909,482.8110618181818,12.082367383991746,0.01,71.37480549498228,-26.784225895322777,0.0249999999999772,0.01,0.01
11,0.0275000000000034,483.70779,734.88005,558.47094,16.61138,71.25783166666666,482.88578916666665,13.289488447721707,0.011,71.36505767595598,-25.23255555556207,0.0275000000000318,0.011,0.011
12,0.0300000000000011,483.97439,734.37476,560.74474,15.53764,71.22343,482.9695276923077,14.49680759379433,0.012,71.35416323934399,-23.87541758242408,0.0299999999999727,0.012,0.012
13,0.0324999999999988,483.70779,734.05896,548.74412,17.87461,71.21988285714285,483.02226071428566,15.704297329301474,0.013,71.34457178347247,-22.354297278917773,0.0325000000000272,0.013,0.013
14,0.0349999999999965,483.44119,734.81689,548.302,18.00093,71.21053133333334,483.0501893333333,16.911887891859898,0.014,71.33563575346321,-20.76153222222764,0.0349999999999681,0.014,0.014
15,0.0374999999999943,483.97439,731.72199,538.82782,17.30616,71.22756875,483.107951875,18.119585568369217,0.015,71.32888156574676,-18.983938419123934,0.0375000000000227,0.015,0.015
16,0.0400000000000062,483.70779,733.74315,548.11251,19.01151,71.24893117647059,483.1432364705883,19.327399553806966,0.016,71.32417860167168,-17.911188773557853,0.0399999999999636,0.016,0.016
17,0.0425000000000039,483.44119,731.97464,548.87045,19.01151,71.22383277777777,483.15978944444447,20.53527833619966,0.017,71.31860383367757,-16.917510071483818,0.0425000000000181,0.017,0.017
18,0.0450000000000017,483.97439,730.14296,554.93392,19.64312,71.24880631578947,483.20266315789473,21.743231401951487,0.018,71.31493028010452,-15.86036509696096,0.0450000000000727,0.018,0.018
19,0.0474999999999994,483.97439,729.06922,548.93361,19.26415,71.23967400000001,483.24124950000004,22.95128629277276,0.019,71.31116746609929,-15.343771904769657,0.0475000000000136,0.019,0.019
20,0.0499999999999971,484.24098,730.58509,544.95445,19.39047,71.22116380952382,483.2888557142857,24.159448924289517,0.02,71.30688157769093,-14.938019995884904,0.0500000000000682,0.02,0.02
21,0.0524999999999948,483.70779,728.6271,539.96472,20.59054,71.20555909090909,483.3078981818182,25.367694866658542,0.021,71.30227601010994,-14.471927236802285,0.052500000000009,0.021,0.021
22,0.0550000000000068,483.1746,727.49019,536.7435,20.59054,71.19774391304348,483.3021026086957,26.575957367652457,0.022,71.29773113632444,-13.938850031512661,0.0550000000000636,0.022,0.022
23,0.0575000000000045,480.24205,726.41646,546.21768,19.8326,71.19450333333333,483.17460041666664,27.78405324643306,0.023,71.29342997786648,-13.669953888895664,0.0575000000000045,0.023,0.023
24,0.0600000000000022,484.24098,726.10065,545.90187,22.35905,71.1603172,483.2172556,28.992043066452798,0.024,71.28810546675182,-13.380090092314306,0.0600000000000591,0.024,0.024
25,0.0625,484.50758,724.20581,555.37604,21.85376,71.16238653846155,483.26688346153844,30.20014824027862,0.025,71.28327012335605,-12.643213236911722,0.0625,0.025,0.025
26,0.0649999999999977,484.50758,724.01633,544.51233,21.47479,71.18921074074075,483.3128351851852,31.408372888585923,0.026,71.27978644251844,-12.25432255536573,0.0650000000000545,0.026,0.026
27,0.0674999999999954,483.97439,723.63736,542.17536,22.67486,71.15167071428571,483.33646214285716,32.61668451024488,0.027,71.27521088079584,-12.082680858556511,0.0674999999999954,0.027,0.027
28,0.0699999999999931,484.77417,724.7111,530.74319,23.30647,71.15196896551724,483.38603827586206,33.82508763576718,0.028,71.27096115957934,-11.726993341265928,0.07000000000005,0.028,0.028
