,time,Thrust_expérimental,P_TANK_X,P_INJ_X,P_COMB_X,OX_W_X,THRUST MAIN,Time      (s)
57,0.1425000000000409,5249.36815,644.81224,454.00239,92.59425,64.59654,4570.75608125,0.057
58,0.1449999999999818,4735.37211,644.8754,456.9078,95.31018,64.81175,4600.914692,0.058
59,0.1475000000000363,4724.70829,644.11747,456.97096,93.66799,64.89245,4619.02985325,0.059
60,0.1499999999999772,3920.12321,642.09631,455.83406,96.06812,65.08076,4621.3625635,0.06
61,0.1525000000000318,3661.52562,644.62276,454.19187,99.54198,65.05386,4610.26552775,0.061
62,0.1549999999999727,3637.79862,644.74908,452.17072,93.9838,64.97315,4582.34631875,0.062
63,0.1575000000000272,3988.10505,645.57018,447.30731,96.2576,64.66379,4543.7033075,0.063
64,0.1599999999999681,4796.42247,645.44385,450.84433,94.48909,64.05853,4545.14958775,0.064
65,0.1625000000000227,4541.29062,645.44385,449.51795,93.85748,64.65034,4523.58868025,0.065
66,0.1649999999999636,4593.01014,644.05431,451.03381,95.68915,64.7445,4514.904333500001,0.066
67,0.1675000000000182,4277.62771,644.74908,449.45479,94.8049,64.23338,4513.584686,0.067
68,0.1700000000000727,4146.99594,645.38069,444.78086,95.37335,64.91935,4496.12268375,0.068
69,0.1725000000000136,4383.7327,645.25437,443.01235,94.86806,65.10766,4509.39913725,0.069
70,0.1750000000000682,5254.70006,642.91741,444.7177,95.56283,64.8521,4524.981641750001,0.07
71,0.1775000000000091,5326.41423,645.50701,446.9915,93.79432,63.89712,4532.16638925,0.071
72,0.1800000000000636,4184.5859,644.74908,447.74943,94.86806,64.36789,4522.51563375,0.072
73,0.1825000000000045,4708.17937,640.89625,448.88634,95.87863,64.17958,4530.300221,0.073
74,0.1850000000000591,4750.56805,644.74908,449.96008,92.97322,64.00473,4527.181054250001,0.074
75,0.1875,4723.64191,645.88598,449.51795,95.68915,64.07198,4508.67932975,0.075
76,0.1900000000000545,4799.62161,646.26495,449.2653,95.87863,64.86555,4527.187719,0.076
77,0.1924999999999954,4220.30969,645.31753,447.30731,95.9418,64.23338,4527.90086175,0.077
78,0.19500000000005,4329.34723,646.0123,452.92865,96.32076,64.38134,4527.5676175,0.078
79,0.1974999999999909,4815.61734,645.82282,453.93923,96.2576,63.92403,4553.56067425,0.079
80,0.2000000000000454,5012.89798,647.27553,453.11813,96.19444,63.78952,4552.53428175,0.08
81,0.2024999999999863,4610.07225,646.26495,452.92865,97.3945,63.85677,4544.58973725,0.081
82,0.2050000000000409,4413.85799,646.8334,453.43394,97.58399,64.17958,4541.63052775,0.082
83,0.2074999999999818,5343.20975,645.00173,453.81291,98.78405,65.21526,4558.05280775,0.083
84,0.2100000000000363,4836.41179,646.70708,453.87607,97.01554,64.35444,4571.175969000001,0.084
85,0.2124999999999772,4238.70478,645.75966,458.36051,96.57341,65.02695,4564.1111895,0.085
86,0.2150000000000318,3688.98495,645.6965,458.8658,98.72089,64.34099,4536.43858125,0.086
87,0.2174999999999727,3795.08994,645.25437,457.41309,96.82605,64.39479,4506.66653375,0.087
88,0.2200000000000272,4476.50792,646.07546,455.58142,98.08928,64.16613,4509.465786,0.088
89,0.2224999999999681,4253.36753,646.26495,454.94981,96.82605,65.26906,4505.2202535,0.089
90,0.2250000000000227,4073.149,644.8754,454.12871,97.89979,64.40824,4495.88274775,0.09
91,0.2274999999999636,4096.87599,647.1492,455.13929,97.33134,64.73105,4490.817434,0.091
92,0.2300000000000182,4433.31946,646.77024,456.65516,97.3945,64.7983,4475.561509,0.092
93,0.2325000000000727,4484.23919,650.18094,457.60258,98.34192,65.45737,4472.96886825,0.093
94,0.2350000000000136,4593.54333,647.27553,458.42367,97.33134,64.9328,4482.45300175,0.094
95,0.2375000000000682,5251.76751,646.13863,457.79206,98.2156,65.00005,4507.11974625,0.095
96,0.2400000000000091,4625.53478,645.06489,454.88665,98.34192,64.91935,4499.915004,0.096
97,0.2425000000000636,4316.55065,646.13863,455.39193,98.59456,64.59654,4476.5945665,0.097
98,0.2450000000000045,4031.56011,646.95972,457.66574,99.22618,64.39479,4458.999266500001,0.098
99,0.2475000000000591,3568.7504,645.25437,457.91838,98.97353,64.879,4430.10031925,0.099
100,0.25,4312.28512,646.20179,460.69747,95.68915,65.45737,4439.904367,0.1
101,0.2525000000000545,4194.44993,646.70708,458.17103,98.65773,64.9328,4453.22747475,0.101
102,0.2549999999999954,4219.5099,647.59133,460.0027,98.5314,64.32754,4467.77025675,0.102
103,0.25750000000005,3884.39942,645.00173,457.60258,96.57341,64.66379,4465.177616,0.103
104,0.2599999999999909,3878.00113,653.97061,457.66574,98.72089,64.50239,4442.2170825,0.104
105,0.2625000000000455,4389.33121,648.91772,457.7289,98.97353,64.73105,4438.41809725,0.105
106,0.2649999999999863,5050.75453,647.08604,458.29735,98.72089,64.43514,4449.861707,0.106
107,0.2675000000000409,5101.40767,648.28611,459.81322,97.83663,64.86555,4470.456206000001,0.107
108,0.2699999999999818,3788.15846,647.02288,458.36051,99.22618,64.7714,4461.485269000001,0.108
109,0.2725000000000364,4383.9993,648.09662,457.53941,98.91037,64.23338,4461.491934,0.109
110,0.2749999999999772,5065.41728,647.71765,455.64458,99.60514,64.75795,4456.7598645,0.11
111,0.2775000000000318,5076.61429,647.84398,457.22361,99.85779,64.62344,4450.514866,0.111
112,0.2799999999999727,4474.64175,647.02288,459.93954,99.22618,64.20648,4457.76626225,0.112
113,0.2825000000000273,4686.85174,649.48617,460.76063,98.97353,63.53396,4457.2330715,0.113
114,0.2849999999999681,3922.78916,648.28611,459.1816,99.98411,64.63689,4436.53859925,0.114
115,0.2875000000000227,4203.24758,648.91772,459.68689,101.56314,63.78952,4423.528741,0.115
116,0.2899999999999636,4204.58056,647.71765,459.05528,99.16301,63.92403,4408.65271475,0.116
117,0.2925000000000182,4424.25521,647.65449,459.43425,100.42624,64.35444,4413.75135275,0.117
118,0.2950000000000727,4545.55615,648.66507,463.85553,100.42624,64.11233,4419.15657575,0.118
119,0.2975000000000136,5093.943,647.84398,460.63431,99.22618,64.6907,4426.1147172500005,0.119
120,0.3000000000000682,4380.26696,647.65449,461.64489,99.60514,64.28718,4410.29894175,0.12
121,0.3025000000000091,4845.20944,647.59133,459.1816,101.43682,64.40824,4416.1773715,0.1210000000000001
122,0.3050000000000636,4778.29398,648.15978,457.66574,100.11043,64.28718,4425.28827125,0.1220000000000001
123,0.3075000000000045,4671.6558,645.19121,454.19187,100.99469,64.38134,4408.4994225,0.1230000000000001
124,0.3100000000000591,4540.75743,647.33869,457.34993,101.12101,64.48894,4401.1080635,0.1240000000000001
125,0.3125,4948.11528,647.90714,458.0447,101.18417,64.30064,4418.843326,0.125
126,0.3150000000000545,4870.00281,648.41243,457.98154,101.12101,64.55619,4448.3687725,0.126
127,0.3174999999999954,5901.19404,648.98088,458.0447,100.74204,64.65034,4501.021375,0.127
128,0.32000000000005,5654.85983,649.61249,459.49741,101.37366,64.65034,4530.48017275,0.128
129,0.3224999999999909,4667.39027,647.9703,460.50799,106.04758,63.99128,4540.83074125,0.1290000000000001
130,0.3250000000000455,4495.96939,647.84398,459.62373,102.82636,64.27373,4551.401251,0.1300000000000001
131,0.3274999999999863,4680.72004,656.68654,460.19218,102.51056,64.38134,4565.99735225,0.1310000000000001
132,0.3300000000000409,4044.62329,649.29668,460.76063,102.13159,64.03163,4556.279948,0.1320000000000001
133,0.3324999999999818,4531.42659,648.98088,461.77121,102.25791,64.34099,4557.459633,0.1330000000000001
134,0.3350000000000364,4663.65793,649.9283,459.81322,101.18417,64.35444,4559.212498,0.1340000000000001
135,0.3374999999999772,4493.03684,649.29668,459.1816,101.43682,64.27373,4540.24423125,0.1350000000000001
136,0.3400000000000318,5016.09712,648.91772,458.42367,104.97384,63.85677,4550.008289750001,0.1360000000000001
