Time      (s),ISP     (m/s),C*      (m/s),Pe/Pb     (-),Thrust    (N),Impulse  (Ns),P tank (psia),P inj. (psia),P comb (psia),P crit (psia),O/F       (-),m. ox. (kg/s),Gox (kg/s-m2),r.     (mm/s),Ullage       
0.0,2016.1392145491948,1431.7482914086925,1.292827912043803,4645.6497905833685,4.645649790583368,795.6736840124615,645.7638776262093,341.7608158084669,484.14255978576057,4.495954355871877,1.8849712345808933,624.1535648699684,4.997418601647261,0.20012283393015787
0.001,2016.1352663306266,1431.745218711736,1.2928305624711587,4645.520941015308,9.291170731598676,795.6427850147111,645.7329402935114,341.76151645253344,484.1187808464804,4.495890609372074,1.8849177823182282,623.9347518300946,4.996542267221079,0.20024565146870424
0.002,2016.1313667324719,1431.742899619121,1.2928261251485678,4645.421587275638,13.936592318874315,795.6118876563321,645.7062931760393,341.76034344027545,484.0985732212471,4.495842503732813,1.8848774456207238,623.7204219564323,4.995683736211324,0.20036845347518478
0.003,2016.1261040886611,1431.740396597202,1.2928139599842798,4645.311940540123,18.581904259414436,795.5809919892109,645.6786044153895,341.75712756256024,484.07749844405186,4.49579058993962,1.88483391626093,623.5051763059204,4.994821389226992,0.20049123974644179
0.004,2016.1202179077043,1431.7379378862188,1.2927969938701955,4645.2025949717045,23.22710685438614,795.5500980001748,645.6511713075166,341.7526425472414,484.0566364359419,4.495739600452545,1.8847911624147757,623.2903279737822,4.993960485568931,0.20061401033787593
0.005,2016.1138081240097,1431.735468020187,1.2927764732893228,4645.0916176224355,27.872198472008577,795.5192056918855,645.6236781892056,341.74721790379505,484.03572442700437,4.495688383680068,1.8847482184816993,623.0755573680494,4.993099745230218,0.20073676524197057
0.006,2016.1070482424889,1431.7330005501585,1.2927534793568145,4644.979934745769,32.51717840675435,795.4883150631523,645.596201872177,341.7411394264826,484.0148263580316,4.495637219865165,1.884705319440646,622.8609420652604,4.992239479233576,0.20085950446651554
0.007,2016.10003586159,1431.7305322154962,1.2927287275185753,4644.867643135507,37.16204604988985,795.4574261137192,645.5687236637514,341.7345962444001,483.99392666864173,4.495586040807429,1.8846624081074586,622.6464630216481,4.991379611480339,0.20098222801557605
0.008,2016.0928460577127,1431.7280638360933,1.2927027353030662,4644.754946972785,41.806800996862634,795.4265388431056,645.5412481124083,341.72772516690105,483.97302914514273,4.495534863106189,1.8846194984001259,622.4321247000594,4.990520160069848,0.2011049358941156
0.009000000000000001,2016.0855304128859,1431.7255952309563,1.2926758656150519,4644.641957530015,46.45144295439265,795.3956532508838,645.5137741105557,341.7206221283518,483.95213286556003,4.495483682722208,1.8845765869319846,622.2179258444272,4.989661120179691,0.20122762810688144
0.010000000000000002,2016.0781257470046,1431.723126457252,1.2926483756561842,4644.5287614973795,51.09597171589003,795.3647693366138,645.486301927159,341.7133551203602,483.9312380538035,4.4954325006395255,1.8845336745281531,622.0038665903865,4.988802492566031,0.20135030465866652
0.011000000000000003,2016.070657997089,1431.7206575103307,1.2926204470440805,4644.415418190494,55.74038713408052,795.3338870998617,645.458831496144,341.7059721537886,483.9103446548871,4.495381316619484,1.8844907609885875,621.7899467351579,4.987944276627864,0.20147296555424873
0.012000000000000004,2016.0631455171983,1431.7181883978776,1.2925922081858916,4644.301970010611,60.38468910409113,795.3030065401892,645.4313628329892,341.69850717324334,483.8894526817115,4.49533013072106,1.884447846362788,621.576166158534,4.987086472094973,0.20159561079840824
0.013000000000000005,2016.0556012750405,1431.7157191226574,1.292563749828144,4644.188446811369,65.02887755090251,795.2721276571599,645.4038959333188,341.69098416769083,483.86856213065016,4.495278942930771,1.8844049306395059,621.3625247204336,4.986229078617103,0.20171824039592234
0.014000000000000005,2016.0480344376176,1431.7132496872816,1.2925351361115427,4644.074869721932,69.67295242062444,795.2412504503376,645.3764307975913,341.68342009281474,483.8476730021007,4.495227753252767,1.8843620138222743,621.149022285831,4.985372095863949,0.20184085435156401
0.015000000000000006,2016.0404514839724,1431.7107800934443,1.2925064123690897,4643.961253669943,74.31691367429438,795.2103749192875,645.3489674250897,341.6758269324546,483.826785295482,4.495176561686923,1.8843190959110412,620.935658718695,4.984515523500838,0.2019634526701033
0.016000000000000007,2016.0328569936246,1431.7083103423884,1.29247761064137,4643.847609208274,78.96076128350266,795.1795010635713,645.3215058153827,341.6682131565839,483.8058990104511,4.4951253682341425,1.8842761769066176,620.7224338834561,4.983659361194623,0.2020860353563123
0.017000000000000008,2016.0252542034,1431.705840434989,1.2924487535739464,4643.733943795673,83.60449522729834,795.1486288827545,645.2940459679681,341.6605847515865,483.78501414660565,4.495074172895068,1.8842332568096014,620.5093476446517,4.982803608612257,0.20220860241495442
0.01800000000000001,2016.017645401122,1431.7033703718757,1.2924198571722227,4643.6202627044995,88.24811549000285,795.1177583764029,645.2665878823634,341.6529459485142,483.7641307035603,4.495022975670425,1.8841903356206482,620.2963998670141,4.981948265421144,0.20233115385079226
0.01900000000000001,2016.0100322038418,1431.7009001535002,1.292390932748442,4643.506569661652,92.8916220596645,795.0868895440797,645.2391315580826,341.64529973777223,483.74324868092594,4.494971776560912,1.8841474133404024,620.0835904154487,4.981093331289057,0.20245368966858937
0.02000000000000001,2016.0024157545001,1431.698429780188,1.292361988297808,4643.392867301701,97.5350149269662,795.0560223853489,645.2116769946373,341.63764823290506,483.7223680783121,4.4949205755672255,1.8841044899695,619.8709191550338,4.980238805884135,0.20257620987310418
0.02100000000000001,2015.9947968609451,1431.6959592521794,1.2923330294711604,4643.279157487217,102.17829408445341,795.025156899778,645.1842241915414,341.6299929277185,483.70148889532993,4.494869372690069,1.884061565508583,619.658385951025,4.979384688874902,0.2026987144690902
0.022000000000000013,2015.987176094173,1431.6934885696485,1.2923040602624145,4643.165441535118,106.82145952598853,794.9942930869299,645.1567731483108,341.6223348780109,483.68061113159257,4.494818167930146,1.8840186399582979,619.4459906688555,4.978530979930267,0.2028212034613037
0.023000000000000013,2015.979553857783,1431.6910177327281,1.292275083494432,4643.051720376649,111.46451124636518,794.9634309463721,645.1293238644573,341.6146748300081,483.65973478670907,4.494766961288149,1.8839757133192792,619.2337331741289,4.977677678719499,0.20294367685449216
0.024000000000000014,2015.971930437052,1431.6885467415198,1.2922461011623994,4642.937994670501,116.10744924103568,794.9325704776685,645.1018763394976,341.6070133111417,483.63885986029334,4.494715752764787,1.8839327855921726,619.0216133326278,4.976824784912259,0.2030661346534067
0.025000000000000015,2015.9643060336302,1431.686075596102,1.2922171146765424,4642.824264882692,120.75027350591837,794.9017116803882,645.0744305729445,341.5993506942056,483.61798635195544,4.494664542360751,1.8838898567776152,618.809631010306,4.975972298178574,0.20318857686278902
0.026000000000000016,2015.956680790062,1431.683604296538,1.29218812503367,4642.710531343105,125.39298403726147,794.8708545540923,645.0469865643165,341.5916872427088,483.5971142613103,4.494613330076755,1.8838469268762545,618.5977860732953,4.975120218188857,0.20331100348738812
0.027000000000000017,2015.949054807117,1431.6811328428814,1.292159132938394,4642.596794285351,130.0355808315468,794.8399990983505,645.019544313123,341.58402314291504,483.5762435879657,4.494562115913481,1.8838039958887183,618.3860783878949,4.974268544613871,0.20343341453193975
0.028000000000000018,2015.9414281560332,1431.678661235176,1.2921301388888016,4642.48305387506,134.67806388542186,794.8091453127277,644.9921038188841,341.57635852649594,483.5553743315377,4.494510899871636,1.8837610638156554,618.1745078205845,4.973417277124782,0.203555810001184
0.02900000000000002,2015.933800887184,1431.6761894734614,1.2921011432370366,4642.369310229763,139.32043319565162,794.7782931967921,644.9646650811123,341.56869348653953,483.5345064916364,4.494459681951915,1.883718130657699,617.9630742380122,4.972566415393109,0.20367818989985456
0.03000000000000002,2015.926173036195,1431.673717557773,1.2920721462321303,4642.255563433048,143.96268875908467,794.7474427501105,644.9372280993265,341.5610280888791,483.51364006787696,4.494408462155021,1.8836751964154932,617.7517775070022,4.971715959090757,0.20380055423268464
0.03100000000000002,2015.9185446282659,1431.6712454881433,1.292043148050188,4642.14181354447,148.60483057262914,794.7165939722453,644.9097928730415,341.55336238006686,483.49277505987163,4.49435724048165,1.8836322610896754,617.5406174945502,4.970865907889995,0.20392290300440963
0.03200000000000002,2015.9109156812233,1431.6687732646024,1.2920141488157708,4642.02806060658,153.24685863323572,794.6857468627697,644.8823594017691,341.5456963930322,483.4719114672298,4.4943060169324855,1.8835893246808728,617.3295940678204,4.970016261463454,0.2040452362197503
