Time      (s),ISP     (m/s),C*      (m/s),Pe/Pb     (-),Thrust    (N),Impulse  (Ns),P tank (psia),P inj. (psia),P comb (psia),P crit (psia),O/F       (-),m. ox. (kg/s),Gox (kg/s-m2),r.     (mm/s),Ullage       
0.0,966.0057134101756,788.0107680363803,0.5357635867027956,2035.2206845252163,2.0352206845252163,681.4792697314699,545.6579543883411,141.62983237463845,408.5140582182538,4.279418625188461,1.7077743449934335,565.488732735327,4.756731174065773,0.48008559203517503
0.001,966.008812088796,788.0089555476336,0.5357752077607002,2035.1710927707588,4.070391777295975,681.4550726712409,545.6337190435879,141.63290441708824,408.4956283163578,4.279353451108594,1.707722327752891,565.2980690374145,4.75592896695093,0.48017117696799017
0.002,966.0086630425253,788.0076213376597,0.5357784547256641,2035.130287454701,6.1055220647506765,681.4308761998709,545.6136597142643,141.63376275669,408.4806386083356,4.279306426754916,1.7076847968041524,565.1123180196605,4.755147296859735,0.4802567555253898
0.003,966.0054584763647,788.0061112622295,0.5357754986043005,2035.0787316002743,8.14060079635095,681.4066803738909,545.5924486562859,141.6329813019893,408.46470010477447,4.279254392398871,1.7076432677666713,564.9253603321137,4.754360420088223,0.48034232750791805
0.004,966.0006394701795,788.0046224258938,0.5357689593777802,2035.0249654575664,10.175625761808517,681.3824851775447,545.5715562731657,141.63125264857047,408.4490241195756,4.279203740072557,1.7076028422232563,564.738884222932,4.753575440391002,0.4804278929717861
0.005,965.9947374217396,788.0031107224471,0.5357601160123258,2034.9685896009398,12.210594351409457,681.3582906150261,545.55057674183,141.6289148928922,408.4332763376459,4.2791527055634955,1.7075621121443194,564.5524237416714,4.752790397061339,0.4805134519026451
0.006,965.9881834837217,788.001594728963,0.5357498606365119,2034.910931698519,14.245505283107976,681.3340966850265,545.5296220687142,141.62620387035642,408.41754902915324,4.279101775805275,1.7075214661501354,564.3661073135821,4.752005830825594,0.48059900430561775
0.007,965.9812180025032,788.0000732999397,0.535738721374872,2034.8523824104,16.280357665518377,681.3099033877512,545.5086613395641,141.6232591914009,408.40181672719785,4.279050816399118,1.7074807969787287,564.1798993643871,4.7512215921030005,0.4806845501804547
0.008,965.973998121686,787.9985492280105,0.5357270340354024,2034.7933047509553,18.315150970269332,681.285710722989,545.4877030867793,141.6201696273264,408.3860864606885,4.278999864441064,1.7074401342356518,563.9938095713179,4.750437721816622,0.4807700895283889
0.009000000000000001,965.966619453029,787.9970232824306,0.5357150054208225,2034.7338913376507,20.349884861606984,681.2615186906448,545.4667449551638,141.6169898467123,408.370356289447,4.278948909691902,1.7073994697493269,563.8078351256277,4.749654208315932,0.48085562235024265
0.010000000000000002,965.9591420423972,787.9954962086352,0.5357027646999429,2034.6742711047468,22.384559132711733,681.237327290592,545.4457875946334,141.6137539955099,408.3546267488699,4.27889795497789,1.7073588057752942,563.6219766640255,4.748871054459924,0.4809411486469515
0.011000000000000003,965.9516030710865,787.9939683964851,0.5356903920451017,2034.61452171019,24.419173654421922,681.2131365227098,545.424830825644,141.61048326738512,408.33889769105554,4.278846999518903,1.7073181416909888,563.4362338726653,4.7480882591036115,0.4810266684194201
0.012000000000000004,965.9440257065322,787.9924401087735,0.5356779373559494,2034.5546921450343,26.453728346566955,681.1889463868793,545.403874697597,141.60719085337894,408.3231691567044,4.278796043530278,1.7072774776682766,563.2506067001704,4.747305822207445,0.4811121816685601
0.013000000000000005,965.936424344034,787.9909115033063,0.5356654316514854,2034.4948126833174,28.48822315925027,681.1647568829782,545.382919196702,141.60388495340553,408.3074411344611,4.278745086952571,1.7072368136597358,563.065095022908,4.746523743427166,0.4811976883952827
0.014000000000000005,965.9288079391946,787.9893826797683,0.5356528942243789,2034.434902204701,30.522658061454973,681.1405680108861,545.3619643266094,141.60057066750875,408.2917136273369,4.27869412980219,1.7071961496784753,562.8796987373569,4.745742022503002,0.4812831886004977
0.015000000000000006,965.9211820603605,787.9878536997195,0.5356403370708949,2034.3749724351248,32.5570330338901,681.1163797704844,545.3410100861557,141.59725116691695,408.27598663437755,4.278643172074604,1.707155485720897,562.6944177346168,4.7449606591522535,0.4813686822851141
0.016000000000000007,965.913550170576,787.9863246015603,0.5356277676510758,2034.3150306705072,34.591348064560606,681.0921921616505,545.3200564755085,141.5939284237031,408.26026015572586,4.278592213771065,1.7071148217880159,562.5092519074436,4.7441796530989295,0.48145416945004266
0.017000000000000008,965.905914423307,787.9847954091359,0.5356151906037888,2034.2550814467056,36.625603146007315,681.0680051842637,545.2991034944646,141.59060366415747,408.2445341912186,4.278541254891218,1.7070741578795658,562.3242011483051,4.7433990040655685,0.48153965009619276
0.01800000000000001,965.8982761577167,787.9832661372823,0.5356026088136406,2034.1951275846423,38.65979827359196,681.0438188382047,545.2781511429245,141.5872776508303,408.2288087407784,4.278490295435162,1.7070334939956409,562.1392653499202,4.742618711775506,0.4816251242244731
0.01900000000000001,965.8906362065559,787.9817367952224,0.5355900240743481,2034.1351708384016,40.693933444430364,681.0196331233533,545.2571994207611,141.58395085789252,408.21308380430526,4.278439335402869,1.706992830136237,561.9544444051099,4.741838775952242,0.481710591835792
