Time      (s),ISP     (m/s),C*      (m/s),Pe/Pb     (-),Thrust    (N),Impulse  (Ns),P tank (psia),P inj. (psia),P comb (psia),P crit (psia),O/F       (-),m. ox. (kg/s),Gox (kg/s-m2),r.     (mm/s),Ullage       
0.0,1991.4799374111249,1479.6317810658281,0.872090833593848,3637.07357467678,3.63707357467678,700.1305744740964,584.2052401961344,230.5383972387665,439.18477609331865,3.9536078378945017,1.457632752318544,482.67158745018617,4.3945805025595845,0.5400732411527375
0.001,1991.4776213504429,1479.6285640212643,0.8720970403501461,3636.986813372682,7.274060388049461,700.107990214329,584.1826305786357,230.5400380032254,439.16750071099506,3.9535579444447175,1.4575959626972057,482.5226305196059,4.393902161678911,0.5401464767541929
0.002,1991.4728365543274,1479.6260321104126,0.8720927963202537,3636.9136314551456,10.910974019504607,700.0854064844323,584.1629727630938,230.5389160881549,439.1526762108803,3.9535189853368036,1.4575672359860203,482.3764277265218,4.393236259651388,0.5402197072102072
0.003,1991.4657695689452,1479.6233323667768,0.8720822148490144,3636.8323498515956,14.547806369356202,700.0628233114664,584.1426741102108,230.53611886184981,439.1373196203397,3.95347764862901,1.457536756448087,482.22972925039,4.39256799896092,0.5402929324334202
0.004,1991.4576711784714,1479.6206587944905,0.8720683463754731,3636.7500388726985,18.1845564082289,700.0402406894352,584.1225154435197,230.53245271201888,439.1220792565692,3.9534368276331886,1.4575066574820814,482.0832411336413,4.391900595101017,0.5403661524436617
0.005,1991.4489691583015,1479.6179738906856,0.8720526650488594,3636.6664395848734,21.82122284781377,700.0176586195264,584.1023270550265,230.52830733201367,439.10681421145193,3.953395893483076,1.4574764753949319,481.93680987308534,4.3912333490302675,0.5404393672374643
0.006,1991.4399495962418,1479.6152883344284,0.8720360083823833,3636.5823005719244,25.457805148385695,699.9950771013682,584.0821458305583,230.52390411959058,439.0915551111343,3.9533549828670367,1.457446310972463,481.7904687352931,4.390566412421352,0.5405125768164236
0.007,1991.4307556902488,1479.6126011738438,0.8720188216990982,3636.4978342126765,29.09430298259837,699.9724961349265,584.061963752697,230.51936079650315,439.07629529880643,3.9533140660744257,1.457416142308074,481.6442104030527,4.389899752064338,0.540585781181035
0.008,1991.4214675917801,1479.6099133577904,0.8720013481032416,3636.4131975668506,32.730716180165224,699.9499157200944,584.0417825639774,230.51474162768795,439.0610362212845,3.9532731495634668,1.457385974163592,481.4980363780486,4.389233374930356,0.5406589803320323
0.009000000000000001,1991.4121281690313,1479.60722508201,0.8719837189054895,3636.3284665998826,36.36704464676511,699.9273358567799,584.0216018855111,230.5100813252997,439.0457775639844,3.953232231930456,1.4573558055040632,481.3519462456911,4.388567279257979,0.5407321742700979
0.010000000000000002,1991.4027607690023,1479.6045365217644,0.8719660053332589,3636.2436844529084,40.003288331218016,699.90475654489,584.0014217995322,230.50539871840377,439.03051939518764,3.9531913134806587,1.4573256365545821,481.20594000791505,4.387901465183975,0.540805362995924
0.011000000000000003,1991.3933780144466,1479.6018477569664,0.8719482459564146,3636.158874067644,43.63944720528566,699.882177784329,583.981242288042,230.50070400299558,439.01526169995344,3.953150394147846,1.457295467266338,481.0600175762399,4.387235932432791,0.5408785465102018
0.012000000000000004,1991.3839867498798,1479.5991588341874,0.8719304616747227,3636.074047967151,47.27552125325281,699.8595995750029,583.961063354828,230.49600270395752,439.00000448142987,3.9531094739465438,1.4572652976500604,480.9141788819343,4.38657068081874,0.5409517248136229
0.013000000000000005,1991.3745906822435,1479.596469777947,0.8719126638098628,3635.9892129157324,50.911510466168544,699.8370219168187,583.9408849989422,230.49129781419,438.98474773883333,3.953068552873723,1.4572351277035371,480.76842385207686,4.385905710136847,0.5410248979068757
0.014000000000000005,1991.3651918201147,1479.5937806016875,0.8718948584955333,3635.9043725825672,54.54741483875111,699.8144448096815,583.920707220468,230.4865909551456,438.96949147223614,3.9530276309301775,1.457204957427371,480.6227524147584,4.385241020186581,0.5410980657906522
0.015000000000000006,1991.3557912516146,1479.5910913126609,0.8718770490546165,3635.8195289546143,58.18323436770572,699.7918682534977,583.9005300192623,230.48188300523177,438.9542356815229,3.9529867081158616,1.4571747868215514,480.4771644979499,4.384576610766689,0.5411712284656417
0.016000000000000007,1991.3463895662442,1479.5884019148018,0.8718592372872453,3635.7346831086193,61.81896905081434,699.7692922481732,583.8803533952324,230.47717444031701,438.9389803666201,3.9529457844309146,1.4571446158861991,480.33166002974855,4.383912481676317,0.5412443859325345
0.017000000000000008,1991.3369870833676,1479.5857124102452,0.8718414241686292,3635.6498356279794,65.45461888644232,699.7467167936146,583.8601773482745,230.4724655181984,438.9237255274451,3.9529048598754364,1.4571144446214062,480.18623893832427,4.38324863271477,0.54131753819202
0.01800000000000001,1991.3275839760008,1479.583022800149,0.8718236102270874,3635.564986828898,69.09018387327122,699.7241418897263,583.8400018782881,230.46775637853867,438.90847116391734,3.9528639344495384,1.4570842730272784,480.0409011519346,4.382585063681575,0.5413906852447884
0.01900000000000001,1991.3181803378795,1479.5803330851409,0.871805795748866,3635.48013688278,72.72566401015399,699.7015675364164,583.819826985169,230.46304709700647,438.8932172759538,3.9528230081533224,1.4570541011039078,479.8956465989142,4.381921774376441,0.5414638270915281
0.02000000000000001,1991.308776219773,1479.5776432655646,0.8717879808890084,3635.3952858826015,76.36105929603659,699.6789937335893,583.7996526688182,230.45833771458874,438.87796386347605,3.952782080986898,1.4570239288513964,479.7504752076836,4.381258764599289,0.5415369637329294
0.02100000000000001,1991.2993716491953,1479.5749533416065,0.8717701657315621,3635.310433878864,79.99636972991544,699.6564204811518,583.7794789291318,230.45362825350256,438.8627109264004,3.952741152950369,1.4569937562698405,479.6053869067434,4.380596034150234,0.5416100951696804
