Time      (s),ISP     (m/s),C*      (m/s),Pe/Pb     (-),Thrust    (N),Impulse  (Ns),P tank (psia),P inj. (psia),P comb (psia),P crit (psia),O/F       (-),m. ox. (kg/s),Gox (kg/s-m2),r.     (mm/s),Ullage       
0.0,2061.6321693046134,1468.9656114306451,1.2473110836887786,5423.377007233268,5.4233770072332685,653.4147852104189,468.73892288819474,329.72838036465345,347.3742455934789,7.522664505745574,2.3219609636683045,461.8739744415998,2.8353851512264283,0.20011943238841584
0.001,2061.6368927360786,1468.9672089363748,1.2473268417329366,5423.271682096496,10.846648689329765,653.3894724695716,468.7203622334539,329.73254602503835,347.3606554877962,7.522577750942066,2.3219074081480633,461.7978603956162,2.8351514836091796,0.2002388556261066
0.002,2061.6381189986528,1468.968802936972,1.2473204222970673,5423.139427037336,16.269788116367103,653.3641604450839,468.70031918377623,329.7308490384411,347.3458648315301,7.522477932074796,2.3218457886773582,461.7201652008886,2.8349129423634682,0.2003582692996429
0.003,2061.6374419712256,1468.9703159658172,1.247302638046052,5422.999546166662,21.692787662533764,653.3388491498017,468.68005756578845,329.72614774751185,347.3308971560996,7.522376182189439,2.3217829780058765,461.64225606104463,2.8346737241568363,0.20047767334913433
0.004,2061.635741281792,1468.971773911592,1.2472788449149612,5422.856587342523,27.115644249876286,653.3135385854949,468.65976420037856,329.7198580009678,347.3159037613465,7.522274147023041,2.3217199920822655,461.5643350424361,2.8344344492996654,0.20059706776694594
0.005,2061.63349173463,1468.973200590456,1.2472518462537758,5422.712129819619,32.538356379695905,653.2882287522998,468.6394667015256,329.71272086818556,347.30090701085106,7.5221720698373185,2.321656981075171,461.4864319997384,2.834195209459582,0.20071645255316342
0.006,2061.6309480934633,1468.974610223807,1.2472231333681136,5422.5668925928685,37.960923272288774,653.2629196501027,468.6191691502588,329.7051305778334,347.2859102096924,7.522069986584874,2.3215939671783037,461.4085513358387,2.833956018167594,0.2008358277090204
0.007,2061.6282468315953,1468.9760106423432,1.2471935032112418,5422.421241878487,43.38334451416726,653.2376112787632,468.59887214947634,329.6972978055897,347.2709138461399,7.521967902577777,2.3215309536707815,461.33069369240815,2.8337168774068515,0.20095519323591174
0.008,2061.625461022168,1468.9774060701882,1.2471633822077235,5422.275370961924,48.80561988512919,653.2123036381322,468.57857578810456,329.68933527736834,347.25591799221655,7.521865818600155,2.321467941036631,461.25285915539087,2.8334777874541364,0.2010745491352586
0.009000000000000001,2061.6226297860258,1468.9787987733478,1.2471329985999176,5422.129382905534,54.22774926803472,653.1869967280575,468.5582800791379,329.681303329346,347.24092265845144,7.52176373476719,2.3214049293469494,461.1750477286484,2.83323874833416,0.2011938954084875
0.010000000000000002,2061.6197740660746,1468.980189965536,1.2471024745634716,5421.983332819936,59.649732600854655,653.1616905483882,468.5379850243702,329.6732342588224,347.2259278463028,7.521661651095403,2.321341918611928,461.09725940394225,2.832999760034468,0.20131323205702553
0.011000000000000003,2061.616905073579,1468.9815802965622,1.2470718754982595,5421.837250197227,65.07156985105188,653.1363850989748,468.51769062394885,329.66514535434186,347.2109335558953,7.521559567586799,2.321278908832801,461.0194941712595,2.8327608225371486,0.20143255908229515
0.012000000000000004,2061.614028810077,1468.9829701142755,1.247041236412028,5421.691150822876,70.49326100187476,653.1110803796682,468.4973968777767,329.6570458702511,347.1959397871555,7.521457484241218,2.3212159000094696,460.9417520203291,2.8325219358234843,0.20155187648572165
0.013000000000000005,2061.611148488214,1468.9843596048747,1.2470105760437133,5421.54504314635,75.91480604502111,653.0857763903173,468.47710378573487,329.64894076021216,347.1809465399928,7.5213554010583215,2.3211528921417157,460.86403294086176,2.8322830998746977,0.2016711842687292
0.014000000000000005,2061.60826582769,1468.9857488680263,1.2469799044236642,5421.398931690042,81.33620497671114,653.0604731307711,468.4568113476851,329.64083267576245,347.16595381430017,7.521253318037595,2.3210898852292203,460.7863369225547,2.832044314671955,0.20179048243274195
0.015000000000000006,2061.605381749024,1468.987137957077,1.246949226920698,5421.252818874459,86.75745779558561,653.035170600879,468.43651956349964,329.6327230361551,347.1509616099799,7.521151235178621,2.3210268792717197,460.70866395512206,2.8318055801964697,0.20190977097918378
0.016000000000000007,2061.602496744928,1468.9885269005767,1.2469185464084207,5421.10670599492,92.17856450158052,653.0098688004929,468.416228433051,329.6246126010327,347.1359699269339,7.521049152480983,2.3209638742689536,460.6310140282846,2.8315668964294654,0.20202904990947626
0.017000000000000008,2061.599611079119,1468.9899157138068,1.2468878644248436,5420.960593744443,97.59952509532496,652.9845677294601,468.39593795621033,329.6165017769697,347.1209787650633,7.52094706994424,2.3209008702206475,460.5533871317667,2.831328263352166,0.20214831922504334
0.01800000000000001,2061.596724892739,1468.9913044049435,1.24685718179312,5420.814482493682,103.02033957781865,652.9592673876311,468.3756481328477,329.6083907815689,347.105988124268,7.520844987567962,2.3208378671265297,460.47578325529895,2.8310896809458086,0.20226757892730682
0.01900000000000001,2061.593838261317,1468.992692978361,1.2468264989537583,5420.668372440749,108.44100795025939,652.9339677748565,468.35535896283636,329.600279731278,347.0909980044512,7.520742905351731,2.3207748649863396,460.3982023886204,2.8308511491916453,0.20238682901768756
0.02000000000000001,2061.5909512252615,1468.9940814363995,1.2467958161424544,5420.522263691329,113.86153021395072,652.9086688909848,468.3350704460435,329.592168688405,347.07600840551027,7.52064082329508,2.3207118637997834,460.3206445214698,2.830612668070917,0.20250606949760788
0.02100000000000001,2061.588063806182,1468.9954697803082,1.2467651334852932,5420.376156301738,119.28190637025246,652.8833707358664,468.31478258234137,329.5840576862791,347.0610193273472,7.520538741397588,2.3206488635666003,460.24310964359813,2.8303742375648975,0.20262530036848883
0.022000000000000013,2061.5851760156293,1468.996858010754,1.2467344510497056,5420.2300503018305,124.70213642055428,652.8580733093529,468.2944953716029,329.5759467427272,347.0460307698647,7.52043665965884,2.3205858642865262,460.16559774476224,2.830135857654864,0.2027445216317488
