,time,ain1,ain2,ain4,ain5,ain8,ain9,ain11,ain12,ain13,LCM101_LOADCELL_ain1,PX309_OMEGA_ain2,PX309_OMEGA_ain4,PX309_OMEGA_ain5,thermocouple_AD8495_ain8,thermocouple_AD8495_ain9,LC101_200_ain11,thermocouple_AD8495_ain12,thermocouple_AD8495_ain13
23,0.05750000000000455,6.66224,3.24712,2.28517,0.43265,-1.24743,-2.64077,1.93621,-0.84699,-1.77041,5533.8255,649.42301,457.03412,86.53078,-499.48658,-778.15362,65.43047,-419.39823,-604.08146
24,0.06000000000005912,5.72019,3.22532,2.29559,0.43044,-1.25091,-2.64993,1.92705,-0.84289,-1.76504,4738.57126,645.06489,459.11844,86.08866,-500.18135,-779.98529,65.0404,-418.57714,-603.00772
25,0.0625,6.50813,3.22785,2.29875,0.43076,-1.24143,-2.6354,1.94347,-0.82931,-1.74577,5403.72692,645.57018,459.75005,86.15182,-498.28652,-777.07988,65.73982,-415.86121,-599.15489
26,0.06500000000005457,5.95926,3.22817,2.30538,0.43897,-1.2408,-2.63161,1.91505,-0.84762,-1.76441,4940.38401,645.63334,461.07644,87.79401,-498.1602,-776.32195,64.52929,-419.52455,-602.8814
27,0.06749999999999545,5.23669,3.2288,2.29307,0.43644,-1.25028,-2.64582,1.94252,-0.83531,-1.75809,4330.41361,645.75966,458.61315,87.28872,-500.05503,-779.1642,65.69947,-417.06127,-601.61818
28,0.07000000000005002,5.84683,3.2288,2.28454,0.44086,-1.2427,-2.63508,1.91631,-0.84636,-1.75967,4845.47603,645.75966,456.9078,88.17297,-498.53916,-777.01672,64.58309,-419.27191,-601.93398
29,0.0724999999999909,4.67077,3.23038,2.28707,0.43613,-1.23196,-2.63129,1.9261,-0.83657,-1.75146,3852.67456,646.07546,457.41309,87.22556,-496.39169,-776.25879,65.00005,-417.31391,-600.29179
30,0.07500000000004547,5.59324,3.22185,2.28107,0.44244,-1.23827,-2.63445,1.90399,-0.85962,-1.77736,4631.39988,644.37011,456.21303,88.48878,-497.65491,-776.8904,64.05853,-421.92468,-605.47101
31,0.07749999999998636,6.0761,3.22343,2.28391,0.44623,-1.23764,-2.63635,1.92515,-0.85583,-1.77767,5039.02433,644.68592,456.78148,89.24671,-497.52859,-777.26936,64.9597,-421.16674,-605.53417
32,0.08000000000004093,5.52123,3.22532,2.28959,0.43676,-1.24238,-2.6395,1.93178,-0.84415,-1.76346,4570.61612,645.06489,457.91838,87.35188,-498.476,-777.90098,65.24216,-418.82978,-602.69192
33,0.08249999999998181,5.31533,3.23101,2.29401,0.44592,-1.2408,-2.63224,1.92041,-0.84794,-1.76851,4396.79588,646.20179,458.80264,89.18355,-498.1602,-776.44827,64.75795,-419.58771,-603.7025
34,0.08500000000003638,5.8822,3.21617,2.28549,0.44813,-1.24017,-2.62687,1.92041,-0.84478,-1.75809,4875.33472,643.23321,457.09729,89.62568,-498.03388,-775.37453,64.75795,-418.9561,-601.61818
35,0.08749999999997726,6.57918,3.22532,2.26464,0.4535,-1.24901,-2.64014,1.90526,-0.85678,-1.77988,5463.71089,645.06489,452.92865,90.69942,-499.80239,-778.0273,64.11233,-421.35623,-605.9763
36,0.09000000000003183,4.91552,3.22532,2.26496,0.45255,-1.24712,-2.64235,1.91663,-0.85331,-1.77514,4059.28604,645.06489,452.99181,90.50994,-499.42342,-778.46943,64.59654,-420.66145,-605.02888
37,0.09249999999997272,5.07247,3.22248,2.25896,0.44876,-1.24964,-2.63729,1.91347,-0.85236,-1.77293,4191.78398,644.49644,451.79175,89.752,-499.92871,-777.45885,64.46204,-420.47197,-604.58675
38,0.09500000000002728,5.25122,3.2228,2.26401,0.45255,-1.25028,-2.6354,1.91915,-0.84983,-1.77262,4342.677,644.5596,452.80233,90.50994,-500.05503,-777.07988,64.70415,-419.96668,-604.52359
39,0.09749999999996817,4.57982,3.22217,2.27159,0.44781,-1.24143,-2.62814,1.91284,-0.84952,-1.76504,3775.89507,644.43327,454.3182,89.56252,-498.28652,-775.62717,64.43514,-419.90352,-603.00772
40,0.10000000000002274,6.09379,3.22027,2.27917,0.45034,-1.24617,-2.63572,1.90778,-0.85741,-1.78146,5053.95368,644.05431,455.83406,90.06781,-499.23394,-777.14304,64.21993,-421.48255,-606.2921
41,0.10249999999996362,5.94441,3.22059,2.27096,0.45887,-1.21838,-2.6155,1.90968,-0.85141,-1.76946,4927.85403,644.11747,454.19187,91.77316,-493.67576,-773.10073,64.30064,-420.28249,-603.89198
