,Time      (s),Ullage       
0,0.0,0.2001228339301578
1,0.001,0.2002456514687042
2,0.002,0.2003684534751847
3,0.003,0.2004912397464417
4,0.004,0.2006140103378759
5,0.005,0.2007367652419705
6,0.006,0.2008595044665155
7,0.007,0.200982228015576
8,0.008,0.2011049358941156
9,0.009,0.2012276281068814
10,0.01,0.2013503046586665
11,0.011,0.2014729655542487
12,0.012,0.2015956107984082
13,0.013,0.2017182403959223
14,0.014,0.201840854351564
15,0.015,0.2019634526701033
16,0.016,0.2020860353563123
17,0.017,0.2022086024149544
18,0.018,0.2023311538507922
19,0.019,0.2024536896685893
20,0.02,0.2025762098731041
21,0.021,0.2026987144690902
22,0.022,0.2028212034613037
23,0.023,0.2029436768544921
24,0.024,0.2030661346534067
25,0.025,0.203188576862789
26,0.026,0.2033110034873881
27,0.027,0.2034334145319397
28,0.028,0.203555810001184
29,0.029,0.2036781898998545
30,0.03,0.2038005542326846
31,0.031,0.2039229030044096
32,0.032,0.2040452362197503
33,0.033,0.2041675538834353
34,0.034,0.2042898560001866
35,0.035,0.2044121425747254
36,0.036,0.204534413611767
37,0.037,0.2046566691160301
38,0.038,0.2047789090922255
39,0.039,0.2049011335450637
40,0.04,0.2050233424792503
41,0.041,0.2051455358994938
42,0.042,0.2052677138104932
43,0.043,0.2053898762169513
44,0.044,0.2055120231235639
45,0.045,0.2056341545350261
46,0.046,0.205756270456031
47,0.047,0.2058783708912712
48,0.048,0.206000455845429
49,0.049,0.2061225253231927
50,0.05,0.2062445793292431
51,0.051,0.2063666178682616
52,0.052,0.206488640944924
53,0.053,0.2066106485639072
54,0.054,0.2067326407298819
55,0.055,0.2068546174475195
56,0.056,0.2069765787214864
57,0.057,0.2070985245564468
58,0.058,0.2072204549570655
59,0.059,0.207342369928001
60,0.06,0.20746426947391
61,0.061,0.2075861535994485
62,0.062,0.2077080223092701
63,0.063,0.2078298756080234
64,0.064,0.2079517135003564
65,0.065,0.2080735359909146
66,0.066,0.2081953430843391
67,0.067,0.2083171347852725
68,0.068,0.2084389110983489
69,0.069,0.208560672028206
70,0.07,0.2086824175794772
71,0.071,0.2088041477567914
72,0.072,0.208925862564776
73,0.073,0.2090475620080578
74,0.074,0.2091692460912598
75,0.075,0.209290914818999
76,0.076,0.2094125681958959
77,0.077,0.2095342062265683
78,0.078,0.2096558289156249
79,0.079,0.2097774362676792
80,0.08,0.2098990282873379
81,0.081,0.2100206049792061
82,0.082,0.2101421663478902
83,0.083,0.2102637123979872
84,0.084,0.2103852431340978
85,0.085,0.2105067585608173
86,0.086,0.2106282586827379
87,0.087,0.2107497435044532
88,0.088,0.2108712130305494
89,0.089,0.2109926672656145
90,0.09,0.2111141062142292
91,0.091,0.2112355298809801
92,0.092,0.2113569382704418
93,0.093,0.2114783313871901
94,0.094,0.2115997092358021
95,0.095,0.2117210718208473
96,0.096,0.2118424191468969
97,0.097,0.2119637512185156
98,0.098,0.2120850680402681
99,0.099,0.212206369616717
100,0.1,0.2123276559524221
101,0.101,0.2124489270519385
102,0.102,0.2125701829198226
103,0.103,0.2126914235606272
104,0.104,0.2128126489789021
105,0.105,0.2129338591791909
106,0.106,0.2130550541660434
107,0.107,0.2131762339440006
108,0.108,0.213297398517601
109,0.109,0.213418547891385
110,0.11,0.2135396820698867
111,0.111,0.2136608010576398
112,0.112,0.2137819048591738
113,0.113,0.2139029934790185
114,0.114,0.2140240669216996
115,0.115,0.2141451251917386
116,0.116,0.2142661682936588
117,0.117,0.2143871962319782
118,0.118,0.2145082090112127
119,0.119,0.214629206635876
120,0.12,0.2147501891104794
121,0.1210000000000001,0.2148711564395339
122,0.1220000000000001,0.2149921086275457
123,0.1230000000000001,0.2151130456790186
124,0.1240000000000001,0.2152339675984549
125,0.125,0.2153548743903531
126,0.126,0.2154757660592119
127,0.127,0.2155966426095264
128,0.128,0.2157175040457884
129,0.1290000000000001,0.2158383503724884
130,0.1300000000000001,0.2159591815941146
131,0.1310000000000001,0.2160799977151511
132,0.1320000000000001,0.2162007987400825
133,0.1330000000000001,0.2163215846733907
134,0.1340000000000001,0.2164423555195506
135,0.1350000000000001,0.2165631112830414
136,0.1360000000000001,0.2166838519683339
137,0.1370000000000001,0.2168045775799033
138,0.1380000000000001,0.2169252881222148
139,0.1390000000000001,0.2170459835997377
140,0.1400000000000001,0.2171666640169351
141,0.1410000000000001,0.2172873293782686
142,0.1420000000000001,0.2174079796881985
143,0.1430000000000001,0.2175286149511831
