,time,Thrust,Pressure Tank,PX309_OMEGA_ain4,Combustion chamber pressure,thermocouple_AD8495_ain8,thermocouple_AD8495_ain9,Ox mass,thermocouple_AD8495_ain12,thermocouple_AD8495_ain13,Thrust avg,Thrust avg_integral,"Time      (s) efficiency_9,950e-01",Time      (s),ISP     (m/s),C*      (m/s),Pe/Pb     (-),Thrust (sim),Impulse (sim),Pressure Tank (sim),P inj. (psia),Pressure combustion chamber (sim),P crit (psia),m. ox. (kg/s),Gox (kg/s-m2),r.     (mm/s),Ullage       
7073,,,,,,,,,,,,,7.073000000000697,7.073000000000697,1913.4495569601493,1457.8832176795927,0.7422780580034471,3018.558998548613,23563.28630006671,549.3566066798217,450.91340031088026,196.2222135650966,339.23041875492896,1.237801044361513,139.98441204940252,2.3664057196604564,0.9552188721098616
7074,,,,,,,,,,,,,7.074000000000697,7.074000000000697,1913.4365167111544,1457.8796843137934,0.7422590172021919,3018.4683099235995,23566.304768376634,549.3359016772848,450.8952584306935,196.217180103404,339.2169245587881,1.2377688219898877,139.9682819964585,2.366269367443675,0.9552656453440084
7075,,,,,,,,,,,,,7.075000000000697,7.075000000000697,1913.423475716536,1457.8761507804854,0.742239976094164,3018.3776198372616,23569.32314599647,549.3151966516124,450.877116568791,196.21214656061525,339.2034304058245,1.2377365990986486,139.95215492454315,2.3661330325735936,0.9553124156888714
7076,,,,,,,,,,,,,7.076000000000698,7.076000000000698,1913.410433976176,1457.872617079642,0.7422209346792844,3018.286928289189,23572.34143292476,549.2944916027079,450.85897472508566,196.2071129367102,339.1899362959737,1.2377043756876485,139.9360308327908,2.365996715045889,0.95535918314457
7077,,,,,,,,,,,,,7.077000000000698,7.077000000000698,1913.3973914899525,1457.8690832112363,0.7422018929574592,3018.1962352789715,23575.35962916004,549.2737865304755,450.84083289949314,196.2020792316633,339.17644222917227,1.237672151756742,139.91990972033645,2.365860414856245,0.955405947711224
7078,,,,,,,,,,,,,7.078000000000698,7.078000000000698,1913.3843482577483,1457.865549175244,0.7421828509286037,3018.105540806209,23578.377734700847,549.2530814348189,450.8226910919286,196.19704544545291,339.1629482053574,1.2376399273057852,139.9037915863154,2.365724132000346,0.9554527093889534
7079,,,,,,,,,,,,,7.079000000000699,7.079000000000699,1913.3713042794477,1457.862014971639,0.7421638085926406,3018.014844870502,23581.39574954572,549.2323763156411,450.8045493023075,196.19201157805784,339.1494542244659,1.237607702334634,139.88767642986335,2.3655878664738768,0.955499468177878
7080,,,,,,,,,,,,,7.080000000000699,7.080000000000699,1913.35825955493,1457.8584806003955,0.7421447659494791,3017.9241474714445,23584.41367369319,549.211671172845,450.7864075305444,196.1869776294548,339.13596028643394,1.2375754768431435,139.8715642501162,2.3654516182725245,0.955546224078117
7081,,,,,,,,,,,,,7.081000000000699,7.081000000000699,1913.345214084079,1457.8549460614877,0.7421257229990394,3017.833448608627,23587.4315071418,549.1909660063341,450.7682657765533,196.18194359962203,339.12246639119775,1.2375432508311657,139.85545504620993,2.365315387391974,0.9555929770897902
7082,,,,,,,,,,,,,7.0820000000007,7.0820000000007,1913.3321678667728,1457.8514113548893,0.7421066797412293,3017.7427482816443,23590.44924989008,549.1702608160122,450.75012404024994,196.17690948853576,339.1089725386942,1.237511024298557,139.83934881728132,2.365179173827917,0.9556397272130176
7083,,,,,,,,,,,,,7.0830000000007,7.0830000000007,1913.3191209028992,1457.8478764805757,0.7420876361759758,3017.6520464901027,23593.46690193657,549.1495556017818,450.7319823215493,196.1718752961761,339.0954787288605,1.237478797245173,139.82324556246724,2.365042977576042,0.955686474447918
7084,,,,,,,,,,,,,7.0840000000007,7.0840000000007,1913.3060731923288,1457.8443414385197,0.7420685923031736,3017.561343233577,23596.4844632798,549.128850363546,450.7138406203656,196.1668410225159,339.08198496163203,1.2374465696708672,139.80714528090476,2.3649067986320427,0.9557332187946116
7085,,,,,,,,,,,,,7.085000000000701,7.085000000000701,1913.2930247349525,1457.8408062286962,0.7420495481227535,3017.4706385116733,23599.501933918316,549.1081451012105,450.6956989366133,196.16180666753607,339.0684912369455,1.237414341575493,139.79104797173133,2.3647706369916097,0.9557799602532177
7086,,,,,,,,,,,,,7.086000000000701,7.086000000000701,1913.2799755306496,1457.8372708510803,0.7420305036346271,3017.379932323995,23602.51931385064,549.0874398146758,450.6775572702099,196.1567722312141,339.0549975547393,1.2373821129589102,139.77495363408534,2.364634492650442,0.9558266988238552
7087,,,,,,,,,,,,,7.087000000000701,7.087000000000701,1913.2669255793,1457.8337353056445,0.7420114588387088,3017.289224670122,23605.536603075307,549.0667345038455,450.659415621067,196.1517377135265,339.0415039149476,1.237349883820968,139.75886226710432,2.36449836560423,0.955873434506644
7088,,,,,,,,,,,,,7.088000000000702,7.088000000000702,1913.2538748807865,1457.8301995923634,0.7419924137349151,3017.1985155496536,23608.553801590857,549.0460291686244,450.6412739891002,196.14670311445204,339.0280103175073,1.2373176541615218,139.74277386992685,2.3643622558486728,0.9559201673017036
7089,,,,,,,,,,,,,7.089000000000702,7.089000000000702,1913.2408234349905,1457.8266637112115,0.7419733683231609,3017.1078049621888,23611.570909395818,549.0253238089143,450.62313237422586,196.14166843396737,339.0145167623564,1.2372854239804283,139.72668844169206,2.3642261633794703,0.9559668972091528
7090,,,,,,,,,,,,,7.090000000000702,7.090000000000702,1913.22777124179,1457.8231276621632,0.7419543226033537,3017.017092907313,23614.587926488726,549.0046184246186,450.6049907763572,196.13663367204893,339.00102324943015,1.2372531932775408,139.71060598153886,2.364090088192321,0.9560136242291112
7091,,,,,,,,,,,,,7.091000000000703,7.091000000000703,1913.2147183010688,1457.819591445192,0.7419352765754135,3016.926379384621,23617.60485286811,548.9839130156413,450.58684919540906,196.13159882867467,338.9875297786647,1.237220962052712,139.69452648860656,2.363954030282925,0.9560603483616976
7092,,,,,,,,,,,,,7.092000000000703,7.092000000000703,1913.201664612708,1457.816055060273,0.741916230239255,3016.8356643937127,23620.621688532505,548.9632075818847,450.5687076312976,196.12656390382287,338.9740363499982,1.2371887303057991,139.67844996203527,2.363817989646988,0.9561070696070318
7093,,,,,,,,,,,,,7.093000000000703,7.093000000000703,1913.1886101765892,1457.8125185073789,0.7418971835947961,3016.7449479341803,23623.63843348044,548.9425021232518,450.550566083936,196.12152889747105,338.9605429633656,1.237156498036655,139.6623764009648,2.363681966280211,0.9561537879652324
7094,,,,,,,,,,,,,7.094000000000704,7.094000000000704,1913.1755549925952,1457.808981786485,0.7418781366419502,3016.6542300056185,23626.65508771045,548.9217966396471,450.5324245532393,196.1164938095971,338.94704961870366,1.237124265245134,139.64630580453573,2.363545960178301,0.9562005034364192
