,time,Thrust,Tank Pressure,Pinj,Combustion Chamber Pressure,Ox_w,Exp. Impulse,Time      (s),Thrust (sim),Impulse (sim),Tank Pressure (sim),Inj Pressure (sim),Combustion chamber pressure (sim)
0,0.0,3583.80568,672.60315,485.51981,58.55039,71.94044,0.0,0.0,4364.714065504328,4.364714065504328,747.0228528797437,602.792170886288,270.9198346104266
1,0.0024999999999977263,3739.23256,670.58199,473.39286,60.69787,71.05271,9.153797799991674,0.001,4364.5708749932855,8.729284940497614,746.991381015267,602.7606599327245,270.9207329143599
2,0.0049999999999954525,3823.60594,670.77148,477.43518,59.81361,71.07961,18.607345924983075,0.002,4364.460979873505,13.093745920371118,746.9599103690856,602.7340535609969,270.9191586540432
3,0.00750000000000739,4003.12738,669.25561,484.0671,60.19258,71.80593,28.39076257502979,0.003,4364.337058502929,17.458082978874046,746.9284410135474,602.7061707758138,270.91545033642217
4,0.010000000000005116,4036.63918,669.19245,489.18315,61.32948,71.87319,38.44047077502065,0.004,4364.213385730007,21.822296364604053,746.8969729294186,602.6786222960866,270.91052908499563
5,0.012500000000002842,3701.73328,668.11871,492.53069,60.38207,71.68488,48.11343635001185,0.005,4364.087478267846,26.186383842871894,746.8655061213367,602.6509883652476,270.9047975138238
6,0.015000000000000568,3319.91086,669.57141,482.1091,62.15058,71.40242,56.89049152500387,0.006,4363.960770829169,30.550344613701068,746.8340405877194,602.6233783760998,270.89855989021044
7,0.017499999999998295,3440.4685,669.06613,479.01421,61.77161,71.24102,65.34096572499618,0.007,4363.833390898465,34.914178004599535,746.8025763285998,602.5957638182273,270.89199745275266
8,0.01999999999999602,3756.62476,667.04497,473.45603,61.96109,71.48313,74.33733229998799,0.008,4363.70562449984,39.27788362909938,746.7711133435939,602.5681521218784,270.8852288500495
9,0.022500000000007958,4108.96528,667.17129,480.02479,62.15058,72.81471,84.16931985003494,0.009,4363.577600350567,43.641461229449945,746.7396516324267,602.5405413500263,270.8783287760295
10,0.025000000000005684,4139.7622,666.53968,483.05652,63.60328,71.37552,94.48022920002556,0.01,4363.449414321483,48.004910643771424,746.7081911947943,602.5129320071412,270.871345008149
11,0.02750000000000341,3669.57892,667.04497,493.22547,62.02426,71.76558,104.24190560001668,0.011,4363.321123825356,52.36823176759678,746.6767320303978,602.4853239613161,270.86430790759664
12,0.030000000000001137,3421.71886,668.37135,488.36206,62.78219,71.29482,113.10602782500862,0.012,4363.192766361938,56.73142453395872,746.645274138942,602.4577172465189,270.8572368194798
13,0.03249999999999886,3374.8447600000004,668.624,483.246,66.95083,71.69833,121.6017323500009,0.013,4363.06436556049,61.09448889951921,746.6138175201271,602.4301118534846,270.8501440562525
14,0.03499999999999659,3724.4704,667.99239,473.96131,65.11915,71.77903,130.47587629999282,0.014,4362.935936529708,65.45742483604892,746.5823621736561,602.4025077842135,270.8430374577728
15,0.037500000000008527,3981.70528,668.624,472.82441,65.75076,71.60418,140.1085959000388,0.015,4362.807488872481,69.82023232492139,746.5509080992322,602.3749050377722,270.8359220150665
16,0.04000000000000625,4149.13702,666.16071,480.90904,66.5087,71.30827,150.2721487750296,0.016,4362.679028707326,74.18291135362873,746.519455296556,602.347303613992,270.8288009057404
17,0.04250000000000398,4021.87702,667.67658,484.19342,65.75076,70.74336,160.4859163250203,0.017,4362.550559928815,78.54546191355755,746.4880037653314,602.3197035125024,270.82167615277666
18,0.045000000000001705,3956.25328,667.55026,491.52012,66.19289,71.67143,170.45857920001123,0.018,4362.422085017166,82.90788399857472,746.4565535052598,602.2921047329891,270.8145490441158
19,0.04749999999999943,3914.7241,666.666,480.71956,68.40353,70.97201,180.29730092500228,0.019,4362.293605551602,87.27017760412632,746.4251045160448,602.26450727512,270.8074203997008
20,0.04999999999999716,3949.55092,667.86606,481.16169,67.32979,70.90476,190.12764469999334,0.02,4362.16512253795,91.63234272666426,746.3936567973877,602.2369111385707,270.8002907415559
21,0.052499999999994884,4072.78102,665.65542,470.55061,68.21405,71.25447,200.15555962498422,0.021,4362.036636616871,95.99437936328113,746.3622103489938,602.209316323012,270.793160402023
22,0.05500000000000682,3997.78246,667.29761,471.94016,70.04572,71.16032,210.24376397503238,0.022,4361.908148196618,100.35628751147776,746.330765170563,602.18172282812,270.7860295926972
23,0.05750000000000455,3583.80568,666.09755,480.02479,67.58244,71.85974,219.72074915002375,0.023,4361.779657537429,104.71806716901516,746.2993212618012,602.1541306535646,270.7788984483014
24,0.060000000000002274,3160.4965,664.13956,484.69871,69.41411,70.44745,228.1511268750161,0.024,4361.651164805347,109.07971833382052,746.267878622411,602.1265397990225,270.7717670546192
25,0.0625,3302.51866,666.666,485.26716,71.11946,71.83283,236.22989582500875,0.025,4361.522670106442,113.44124100392696,746.2364372520926,602.0989502641664,270.7646354662776
26,0.06499999999999773,3838.3681,664.13956,477.24569,68.97198,70.77026,245.15600427500064,0.026,4361.394173508556,117.80263517743552,746.204997150553,602.0713620486671,270.7575037180724
27,0.06749999999999545,4196.05354,664.64484,474.08764,70.74049,71.72523,255.1990313249915,0.027,4361.265675055303,122.16390085249084,746.173558317493,602.0437751522024,270.750371832178
28,0.07000000000000739,4295.18908,662.56053,466.63462,69.79308,72.3574,265.8130846000422,0.028,4361.137174774735,126.52503802726557,746.1421207526166,602.0161895744429,270.7432398227207
29,0.07250000000000512,4080.84082,662.81317,476.4246,69.54043,71.28137,276.28312197503266,0.029,4361.008672685123,130.8860466999507,746.1106844556283,601.9886053150638,270.736107698723
